7626E8FB	Simple Group Password-based Authenticated Key Agreements for the Integrated EPR Information System
5E4CE5D9	Password security: an empirical study
80A677F8	The effects of Propiscin on the cardiac rate of isolated heart of common carp, Cyprinus carpio L.
7C3DC2E8	Localization and dynamics of Mel 1a melatonin receptor in the ovary of carp Catla catla in relation to serum melatonin levels
75709D8B	Expression of immune-related genes in the common carp ( Cyprinus carpio L.) after stimulation by CpG oligodeoxynucleotides
7C56F4AC	Differential transcription of multiple forms of alpha-2-macroglobulin in carp ( Cyprinus carpio ) infected with parasites
0A4EB5E4	Identity management : strengthening one-time password authentication through usability
5CCEB367	Cryptographic Human Identification — Extended Abstract —
7B67BBB9	Three weaknesses in a simple three-party key exchange protocol
7B91351F	Co-culture of carp ( Cyprinus carpio ) kidney haematopoietic cells with feeder cells resulting in long-term proliferation of T-cell lineages
815AA038	An improvement of dynamic ID-based remote user authentication scheme with smart cards
7AD37784	Allelic discrimination, three-dimensional analysis and gene expression of multiple transferrin alleles of common carp (Cyprinus carpio L.).
79E1272B	Quantifying the security of graphical passwords: the case of android unlock patterns
7F1BED14	Time signatures - an implementation of Keystroke and click patterns for practical and secure authentication
79871A0E	An Enhancement of a Smart Card Authentication Scheme for Multi-server Architecture
5A187B0A	A secure human-computer authentication scheme
788419FC	Security enhancement for the timestamp-based password authentication scheme using smart cards
7DE2BA97	Computer-assisted analysis [CASA] of common carp Cyprinus carpio L. spermatozoa motility in the presence of cadmium
776100C6	Different sensitivity of carp ( Cyprinus carpio ) and rainbow trout ( Oncorhynchus mykiss ) to the immunomodulatory effects of UVB irradiation
7A7F0E7D	The usability of passphrases for authentication: An empirical field study
814ADD59	The effects of nitrites [NO2] and nitrates [NO3] on sperm motility of common carp in vitro
7DA2F6FE	Genetic characteristics of carp breeding lines at the Institute of Ichthyobiology and Aquaculture of the Polish Academy of Sciences at Golysz. 2. Hungarian lines
79AF7B5B	Password authenticated key exchange using hidden smooth subgroups
7835F0A4	Systemic priming of alloreactive cytotoxic cells in carp, following anal administration of allogeneic cell antigens
7D5D8032	A usability trial of erythrocyte meal in feeding juveniles of common carp, Cyprinus carpio L.
7C672036	GOTCHA password hackers!
7F30AC1E	A Genetic Algorithm for the Capacitated Arc Routing Problem
7D2DA1ED	Improving password security and memorability to protect personal and organizational information
59809840	A Behavioral Analysis of Passphrase Design and Effectiveness
7E54779E	Oral immunization specifically inhibits intestinal protein uptake in the common carp Cyprinus carpio L.
76AECCE1	Alternative species for traditional carp polyculture in southern South America: Initial growing period
7893B45B	Review: Dynamic ID-based remote user password authentication schemes using smart cards: A review
7ABD0F23	A general compiler for password-authenticated group key exchange protocol
7A0A688D	Cryptanalysis of an e_cient three-party password-based key exchange scheme
7F39606A	The effects of copper and cadmium in single exposure or co-exposure on growth of common carp [Cyprinus carpio L.] larvae
83DE0874	ErsatzPasswords: Ending Password Cracking and Detecting Password Leakage
7AA518C4	Evaluating a trial deployment of password re-use for phishing prevention
7B014A3D	Improving interface designs to help users choose better passwords
7903239E	Cryptanalysis and security enhancement of a 'more efficient & secure dynamic ID-based remote user authentication scheme'
7CBF9317	Cytokine responses in the common carp, Cyprinus carpio L. treated with baker's yeast extract
79688330	An Efficient and Practical Solution to Remote Authentication: Smart Card
7CD0302F	Seasonal Variation in Condition Factor, Gonadosomatic Index and Processing Yield of Carp (Cyprinus carpio)
7F663F84	An efficient remote use authentication scheme using smart cards
7FAEBFA0	137Cs activity concentrations in carp and trout from Polish fish farms in 2008-2009
7654366C	Effects of acute thermal changes on cerebral blood flow and electroencephalograms in curarized carp
753AFB95	Monooxygenase activities in carp as biochemical markers of pollution by polycyclic and polyhalogenated aromatic hydrocarbons: choice of substrates and effects of temperature, gender and capture stress
7EA319DD	Adrenergic regulation of the innate immune response in common carp ( Cyprinus carpio L.)
7FBB680A	Gene structure of the carp fish ribosomal protein L41: seasonally regulated expression
0AFFE411	A robust remote user authentication scheme against smart card security breach
7DD457BE	Enhancing the Security of a "More Efficient & Secure Dynamic ID-Based Remote User Authentication Scheme'
76F75398	The in vitro effect of CpG-ODNs on the innate immune response of common carp, Cyprinus carpio L.
7CD8DE69	Efficient remote user authentication scheme using smart cards
7BF66AC4	Security enhancement on an improvement on two remote user authentication schemes using smart cards
7C1B0C64	Influence of duration of aeration on growth and survival of carp fingerlings during high density seed rearing
7D0DEA0D	Security Analysis of Hardened Retina Based Fuzzy Vault
7511EF20	Daily handling stress reduces resistance of carp to Trypanoplasma borreli: in vitro modulatory effects of cortisol on leukocyte function and apoptosis.
7F0AFA10	Expression changes of transcripts for fast skeletal myosin heavy chain isoforms in relation to those of MyoD and MEF2 families during warm temperature acclimation of carp
807E6230	Analysis of Brute-Force Break-Ins of a Palmprint Authentication System
7FF37240	Congener distribution of polybrominated diphenyl ethers in feral carp (Cyprinus carpio) from the Llobregat River, Spain
7DCFF635	On security of a more efficient and secure dynamic ID-based remote user authentication scheme
78C76C24	Characterization and expression analysis of an interferon-γ2 induced chemokine receptor CXCR3 in common carp ( Cyprinus carpio L.)
7F55A360	Effects of flow regulation on carp (Cyprinus carpio L.) recruitment in the Murray–Darling Basin, Australia
7FADF271	An improved three-factor authentication scheme using smart card with biometric privacy protection
7BEB64C9	ZEBRA: Zero-Effort Bilateral Recurring Authentication
794CB0BF	In vitro effects of steroid hormones on IgM-secreting cells and IgM secretion in common carp ( Cyprinus carpio )
789A4043	Bioaccumulation of micropollutants and biomarker responses in caged carp ( Cyprinus carpio )
787AAF94	Expression of cardiac ankyrin repeat protein, CARP, in malignant tumors: diagnostic use of CARP protein immunostaining in rhabdomyosarcoma
7FED7E74	Can long passwords be secure and usable?
79F7D9D2	Neural Regulation of Dark-Induced Abundance of Arylalkylamine N-Acetyltransferase (AANAT) and Melatonin in the Carp (Catla catla) Pineal: An In Vitro Study
7AC6BB78	Biogenic amines in carp roe ( Cyprinus carpio ) preserved by four different methods
80F5A73E	Biometric-rich gestures: a novel approach to authentication on multi-touch devices
777CC0A3	OmpA is an adhesion factor of Aeromonas veronii, an optimistic pathogen that habituates in carp intestinal tract
75B0F4D4	Better Together: Usability and Security Go Hand in Hand
7B5D3C8A	Weakness and solution of Yang et al.’s protected password changing scheme
81025F21	Action-based user authentication
7BD75D0D	Hierarchy of users׳ web passwords: Perceptions, practices and susceptibilities
7A9D2045	Security Analysis of a Chaotic Map-based Authentication Scheme for Telecare Medicine Information Systems
7CD43843	ProActive Approach for Generating Random Passwords for Information Protection
7FB1D264	Attacks and Solutions of Yang et al.'s Protected Password Changing Scheme
78B5B0C5	Differential regulation of the two metallothionein genes in common carp
8174E083	A large-scale study of web password habits
78B0F248	Fibroin‐like substance is a major component of the outer layer of fertilization envelope via which carp egg adheres to the substratum
7A7E1D09	On the security of HY-key authentication scheme
7E2DDA7E	An improvement of Xu et al.'s authentication scheme using smart cards
8038CB8F	Interaction of ghrelin and opioids in luteinizing hormone (LH) secretion by pituitary cells of common carp, Cyprinus carpio (Actinopterygii: Cypriniformes: Cyprinidae), cultured in vitro
0EAE4FF1	Effect of the pineal gland and melatonin on dopamine release from perifused hypothalamus of mature female carp during spawning and winter regression
7CF00CDB	Temporal induction of cytochrome p450 1a in the mirror carp (Cyprinus carpio) after administration of several polycyclic aromatic hydrocarbons
7C35A4B0	Provably secure three party encrypted key exchange scheme with explicit authentication
80314277	Introduction of jundia Rhamdia quelen (Quoy & Gaimard) and Nile tilapia Oreochromis niloticus (Linnaeus) increases the productivity of carp polyculture in southern Brazil
7AC7C7A0	ANKRD1, the gene encoding cardiac ankyrin repeat protein, is a novel dilated cardiomyopathy gene.
7DD7EE56	Comparing passwords, tokens, and biometrics for user authentication
7D55BE00	An efficient remote user authentication scheme secure against the off-line password guessing attack by power analysis
78B2130C	Polymorphism of transferrin of carp seminal plasma: Relationship to blood transferrin and sperm motility characteristics
7B484956	Hippocampal CARP over-expression solidifies consolidation of contextual fear memories
7963FD9E	The induction of nitric oxide response of carp macrophages by transferrin is influenced by the allelic diversity of the molecule.
7DBE238B	A password-based authenticator: P-Auth
8078E32D	Client-to-client Password-Based Authenticated Key Establishment in a Cross-Realm Setting
7B56B6A7	Characterization of teleost phagocyte NADPH oxidase: Molecular cloning and expression analysis of carp ( Cyprinus carpio ) phagocyte NADPH oxidase
7A323258	Identification of the glutamine residue that may be involved in the transglutaminase-mediated intramolecular crosslinking of carp and walleye pollack myosin
781EF4EE	Cross‐linking of ZP2 and ZP3 by transglutaminase is required for the formation of the outer layer of fertilization envelope of carp egg
7F3C1098	Functionality of a Bacillus cereus biological agent in response to physiological variables encountered in aquaculture
761C0EE8	Cryptanalysis and improvement of a password-based user authentication scheme for the integrated EPR information system
7575917B	Responses of carp hepatopancreatic 7‐ethoxyresorufin‐O‐deethylase and glutathione‐dependent enzymes to organic pollutants—a field study
7A449E52	Comparative proteomics of copper exposure and toxicity in rainbow trout, common carp and gibel carp.
7CB13348	Protection against experimental Aeromonas salmonicida infection in carp by oral immunisation with bacterial antigen entrapped liposomes
8025530F	Password security: a case history
7ACEE529	Improved remote authentication scheme with smart card
76C33B14	Public-key cryptography and password protocols
7D36519F	Strongly pH-Buffered Ringer's Solution Expands the Receptive Field Size of Horizontal Cells in the Carp Retina
5BA9E028	Metrics of password management policy
7947839A	Motility and fertilizing capacity of frozen/thawed common carp ( Cyprinus carpio L.) sperm using dimethyl-acetamide as the main cryoprotectant
5DD860BD	A novel key agreement scheme in a multiple server environment
7D21EACB	Cryptanalysis of Wang et al.'s Remote User Authentication Scheme Using Smart Cards
813378A5	Virtual password using random linear functions for on-line services, ATM machines, and pervasive computing
5E233230	Cryptanalysis of two provably secure cross-realm C2C-PAKE protocols
780C9B32	Knock x knock: the design and evaluation of a unified authentication management system
7F0D2166	Pitfalls in the automated strengthening of passwords
77507F57	Seasonal Acclimatization of the Carp Involves Differential Expression of 5.8S Ribosomal RNA in Pituitary Cells
75A7B975	Protecting users against XSS-based password manager abuse
75359575	Differential spontaneous killing of human and murine tumour cell lines by leucocyte subpopulations from carp peripheral blood leucocytes
78D9B203	Temporal relationship between the circulating profiles of melatonin and ovarian steroids under natural photo-thermal conditions in an annual reproductive cycle in carp Catla catla.
81606656	Anti-Phishing by Smart Mobile Device
7CE0FBF7	An efficient and complete remote user authentication scheme using smart cards
7CAED90C	The security of modern password expiration: an algorithmic framework and empirical analysis
75AE3747	β-glucan enriched bath directly stimulates the wound healing process in common carp (Cyprinus carpio L.)
8020F94C	Yaksha: augmenting Kerberos with public key cryptography
7EE476DE	Evaluation of the carcass and commercial characteristics of carps
7CB93A39	Attacks and Improvement of an Efficient Remote Mutual Authentication and Key Agreement Scheme
763F1747	Priority management actions for alien freshwater fish species in Australia
786FA5DC	PIN selection policies: Are they really effective?
7549363F	Study on the properties of gelatins from skin of carp ( Cyprinus carpio ) caught in winter and summer season
7C24C932	Enhanced Dynamic Authentication Scheme (EDAS)
7DA19C95	Stress response to waterborne Cu during early life stages of carp, Cyprinus carpio
76709BD1	A more efficient and secure dynamic ID-based remote user authentication scheme
7AA9C3B9	A remote user authentication scheme using hash functions
7BFE2F5C	UbiKiMa: ubiquitous authentication using a smartphone, migrating from passwords to strong cryptography
755C474C	Methods for Protecting Password Transmission
79C2CFF3	Preliminary results on sea bass ( Dicentrarchus labrax ) larvae rearing with compound diet from first feeding. Comparison with carp ( Cyprinus carpio ) larvae
7B2D6272	A new authentication protocol for healthcare applications using wireless medical sensor networks with user anonymity
7FB2EE79	Transcriptional analysis of the common carp ( Cyprinus carpio L.) immune response to the fish louse Argulus japonicus Thiele (Crustacea: Branchiura)
800E3251	The influence of mercury on computer analyzed sperm motility of common carp, Cyprinus carpio L., in vitro
8086AC14	Biometrics-based cryptographic key generation
7796EE88	Effect of different river flow rates on biomarker responses in common carp ( Cyprinus carpio )
7CC6B647	Honeywords: making password-cracking detectable
7B5C99F4	Robust key authentication scheme resistant to public key substitution attacks
5F5728CD	Spelling-error tolerant, order-independent pass-phrases via the damerau-levenshtein string-edit distance metric
80FA135D	The ability of students to convert their knowledge of IT concepts into IT competencies
7F07155B	Cryptanalysis of password authentication schemes: Current status and key issues
804E6FB9	The effect of temperature decrease on carp, Cyprinus carpio L. culture in a temperate climate. Part.I. Survival of carp juvenile in ponds and swim bladder inflammation
7D32FA9F	A comparison of password feedback mechanisms and their impact on password entropy
790C88D9	A flexible remote user authentication scheme using smart cards
764A6500	Cloning and expression of carp cathepsin Z: Possible involvement in yolk metabolism
7AAC39AD	An efficient and security dynamic identity based authentication protocol for multi-server architecture using smart cards
7813C834	Security flaw of Hölbl et al.'s protocol
765EC1B5	Grow-out production of carps in India.
5D84972A	A survey on attacks in remote user authentication scheme
79E040F9	Security Flaws in Three Password-Based Remote User Authentication Schemes with Smart Cards
79665B2D	An improvement of security enhancement for the timestamp-based password authentication scheme using smart cards
81D00379	A secure effective dynamic group password-based authenticated key agreement scheme for the integrated EPR information system
7C7131BE	The combined use of chemical and biochemical markers to assess water quality along the Ebro River
7AE2BFE1	PCB and PBDE levels in wild common carp ( Cyprinus carpio ) from eastern Lake Erie
7C92D5B8	Verifier-based computation-and communication-efficient 3EKE protocols
79AB3282	A novel smart card and dynamic ID based remote user authentication scheme for multi-server environments
7B20B89F	Voltage clamp study of electrophysiologically-identified horizontal cells in carp retina
7A7FB402	A new method for fish leucocyte counting and partial differentiation by flow cytometry.
787B6985	Cryptanalysis of two password-based authentication schemes using smart cards
7FFE3101	Isolation and antibiotic susceptibility of Aeromonas hydrophila in a carp [Cyprinus carpio] hatchery farm
74E2555F	Software smart cards via cryptographic camouflage
7F9813C8	Improvement of Encryption Processing Speed for a User Attestation System Using a Cellular Phone
80B899FA	Cardiac ankyrin repeat protein, a negative regulator of cardiac gene expression, is augmented in human heart failure.
7C25B0A2	In vitro modulation of common carp ( Cyprinus carpio L.) phagocytic cells by Di- n -butyl phthalate and Di-2-ethylhexyl phthalate
8136A275	A study of user password strategy for multiple accounts
75B3C64B	Can a low-gradient vertical-slot fishway provide passage for a lowland river fish community?
7AFC9EAA	Impact of artificial lighting conditions on the diurnal profiles of gut melatonin in a surface dwelling carp (Catla catla)
7E440E03	Security Analysis of Two Password Authentication Schemes
774A48EE	Production of a monoclonal antibody for carp ( Cyprinus carpio L.) phagocytic cells and separation of the cells
774CDC3E	A novel remote user authentication scheme using bilinear pairings
7690F480	Computer‐assisted motion analysis of sperm from the common carp
7DF5E1C8	Of passwords and people: measuring the effect of password-composition policies
7DF8A170	Password authentication with insecure communication
79A9AC97	The effect of the subunit composition on the thermostability of collagens from the scales of freshwater fish
77CB7A1E	Improvement of a security enhanced one-time two-factor authentication and key agreement scheme
7AAABE54	Artificial spawning of carp (Cyprinus carpio L.); differences between the effects of reproduction in females of Hungarian, Polish and French origin treated with carp pituitary homogenate or [D‐Tle6, ProNHEt9] GnRH (Lecirelin)
81701F91	CpG oligodeoxynucleotides enhance the non-specific immune responses on carp, Cyprinus carpio
8033768F	Real-time gene expression analysis in carp (Cyprinus carpio L.) skin: inflammatory responses to injury mimicking infection with ectoparasites.
59C2DC27	On the Security of Some Password Authentication Protocols
7F486C73	Memorability of persuasive passwords
5F446BFA	How to construct secure and efficient three-party password-based authenticated key exchange protocols
805697E8	Reduction of bacterial contamination of common carp under various rearing conditions
777925AA	Cloning of opioid receptors in common carp ( Cyprinus carpio L . ) and their involvement in regulation of stress and immune response
68A77F5B	Security of Improvement on Methods for Protecting Password Transmission
7D86AA5A	Security Analysis of Two Remote User Authentication Schemes Using Bilinear Pairings
7C275C58	Tackling the Password Problem: Image-and Gesture-Based Alternatives to Alphanumeric Passwords
7617E778	Separation of carp ( Cyprinus carpio L.) thrombocytes by using a monoclonal antibody, and their aggregation by collagen
8136A4B9	Visualizing semantics in passwords: the role of dates
801F092C	EARS: Efficient Entity Authentication in Remote Systems
805D5DFE	Serotyping of Aeromonas species isolated from Polish fish farms in relation to species and virulence phenotype of the bacteria
7C2E4394	Efficient nonce-based remote user authentication scheme using smart cards
75F60D55	Neutrophilic granulocytes in carp, Cyprinus carpio , possess a spontaneous cytotoxic activity
76F2BB56	A user friendly remote authentication scheme with smart cards against impersonation attacks
7F3249DB	안전한 휴대 저장장치로서의 스마트카드를 활용한 (ID, 패스워드) 쌍들의 안전한 저장 및 검색 기법
752D953C	Protein polymorphism of an isoform of the third complement component in the common carp Cyprinus carpio
33181361	Complex passwords: How far is too far? The role of cognitive load on employee productivity
5C650F27	Secure remote user authentication scheme using bilinear pairings
7EE1DEB6	Effect of Season on Fatty Acid Composition and n‐3/n‐6 Ratios of Zander and Carp Muscle Lipids in Altinapa Dam Lake
5F643276	Persuasion for Stronger Passwords: Motivation and Pilot Study
5DB59A2A	Making Passwords Secure and Usable
78BF5438	Tutorial: Efficient and secure password-based authentication protocols against guessing attacks
77686363	Passwords decay, words endure: secure and re-usable multiple password mnemonics
816CE5BB	Improving the Generalized Password-Based Authenticated Key Agreement Protocol
7F056367	Remote mutual authentication and key agreement scheme based on elliptic curve cryptosystem
7A7D997C	Clonal growth of carp ( Cyprinus carpio ) T cells in vitro : Long-term proliferation of Th2-like cells
7BE32409	A PIN-entry method resilient against shoulder surfing
802E3787	Secure and Efficient Authentication Scheme for Remote Systems
764490EC	On the security of Wu-Lin’s robust key authentication scheme
7A28050B	Movements of Radio- and Acoustic-Tagged Adult Koi Carp in the Waikato River, New Zealand
8501DF67	Recombinant carp IL-4/13B stimulates in vitro proliferation of carp IgM + B cells
80FDABE3	The effects of metals on swimbladder inflation of common carp [Cyprinus carpio L.] larvae
79C894BD	Two-server password-only authenticated key exchange
798925F6	Password entry usability and shoulder surfing susceptibility on different smartphone platforms
7A9CEECB	MTAPIN: multi-touch key input enhances security of PIN authentication while keeping usability
79D3FA94	Copper exposure induces toxicity to the antioxidant system via the destruction of Nrf2/ARE signaling and caspase-3-regulated DNA damage in fish muscle: Amelioration by myo -inositol
79BE92D4	Melatonin accelerates maturation inducing hormone (MIH): induced oocyte maturation in carps
7ABA0670	Password authentications using triangles and straight lines
8156EEAF	An off-line dictionary attack on a simple three-party key exchange protocol
77648690	The influence of temperature during the embryonic period on larval growth and development in carp, Cyprinus carpio L., and grass carp, Ctenopharyngodon idella (Val.): Theoretical and practical aspects
7CB4D2E9	Remote System User Authentication Scheme using Smartcards
7990E9B2	Breaking undercover: exploiting design flaws and nonuniform human behavior
6A8329E0	Interactive diffie-hellman assumptions with applications to password-based authentication
7A0F997D	Characterization, expression and antibacterial properties of apolipoproteins A from carp ( Cyprinus carpio L.) seminal plasma
78F1D15A	Upregulated expression of cardiac ankyrin–repeated protein in renal podocytes is associated with proteinuria severity in lupus nephritis
5D508BE2	Forward secure password-enabled PKI with instant revocation
78185880	Authentication Using Session Based Passwords
7FB9E52E	Effect of time after hormonal stimulation on semen quality indicators of common carp, Cyprinus carpio (Actinopterygii: Cypriniformes: Cyprinidae)
7618E4C5	Two-factor mutual authentication based on smart cards and passwords
7595AE3D	An Improved Authentication Scheme for Telecare Medicine Information Systems
7B645D08	Isolation and characterization of α1-proteinase inhibitor from common carp ( Cyprinus carpio ) seminal plasma
7B9F29EE	Extending web applications with a lightweight zero knowledge proof authentication
7C05FF51	Changes in sperm motility in response to osmolality/Ca 2+ in three Indonesian fresh water teleosts: Goby ( Oxyeleotris marmorata ), Java carp ( Puntius javanicus ), and catfish ( Clarias batrachus )
765F19EB	An increased expression of nucleolin is associated with a physiological nucleolar segregation
78039F53	Weaknesses and improvement of Wang et al.'s remote user password authentication scheme for resource-limited environments
7BF04849	Query-directed passwords
08DED6F7	Helping users create and remember more secure text passwords
76AC29EC	Cryptanalysis of a robust smart card authentication scheme for multi-server architecture
7B77CD8A	Fiber connections of the central nucleus of semicircular torus in cyprinids
79B14C5E	Melatonin concentrations in relation to oxidative status and oocyte dynamics in the ovary during different reproductive phases of an annual cycle in carp Catla catla
7E8243C3	A study of biochemical polymorphism in carp (Cyprinus Carpio): Detect new alleles in transferrin
0B822E7F	Effects of a Mnemonic Technique on Subsequent Recall of Assigned and Self-generated Passwords
0860D5E6	Security vulnerabilities of user authentication scheme using smart card
01B83892	Encrypted remote user authentication scheme by using smart card
7981D35E	Effect of Delayed Icing on Biogenic Amines Formation and Bacterial Contribution of Iced Common Carp (Cyprinus carpio)
78D1AB2F	Johnny in internet café: user study and exploration of password autocomplete in web browsers
7934964C	Cryptanalysis and improvement on two efficient remote user authentication scheme using smart cards
7C5EA00C	A dynamic password-based user authentication scheme for hierarchical wireless sensor networks
788E202C	Effect of grammar on security of long passwords
76A9707F	Demonstration of t cell and macrophage progenitors in carp (Cyprinus carpio) kidney hematopoietic tissues. Development of clonal assay system for carp hematopoietic cells.
7CABF085	Catalytic and structural characteristics of carp hepatopancreas d-amino acid oxidase expressed in Escherichia coli
77B2FB51	Carp neutrophilic granulocytes form extracellular traps via ROS-dependent and independent pathways
7FBB0C8D	Cold shocks: a stressor for common carp.
7EC32E57	An Identity-Based One-Time Password Scheme with Anonymous Authentication
7A1AEB92	Analysis of end user security behaviors
76B2AD55	Comparative susceptibility of carp fingerlings to Lernaea cyprinacea infection
7CEA5090	A secure improvement on the user-friendly remote authentication scheme with no time concurrency mechanism
77F20F96	Robust biometric-based three-party authenticated key establishment protocols
78140E62	An assessment of website password practices
77DFEF9B	A developmental solution to (dynamic) capacitated arc routing problems using genetic programming
7F2DA9EF	β-Glucan protects neutrophil extracellular traps against degradation by Aeromonas hydrophila in carp (Cyprinus carpio).
78BDFEBB	Modulation in hepatic and head kidney parameters of carp ( Cyprinus carpio L.) induced by copper and chitosan
7607FD0E	Honey, I shrunk the keys: influences of mobile devices on password composition and authentication performance
13E8BE45	Invasive Aquatic Animals
7F5C93FD	Pretty good persuasion: a first step towards effective password security in the real world
79A8AF87	Improvement of the secure dynamic ID based remote user authentication scheme for multi-server environment
7F1580D5	Revisiting graphical passwords for augmenting, not replacing, text passwords
77DABAB9	Molecular characterization and expression analysis of two new C-reactive protein genes from common carp ( Cyprinus carpio )
7852DCC6	A diary study of password usage in daily life
7D35D09E	Efficient password authenticated key agreement using smart cards
7A364046	Personalized password guessing: a new security threat
7BB36A56	A note on the special fillet fatty acid composition of the dwarf carp (cyprinus carpio carpio) living in thermal Lake Hévíz, Hungary
7FDF6F85	Improvement upon Mutual Password Authentication Scheme
79F42C8A	Fixing problems in Lin et al.’s OSPA protocol
797AB87F	A secure dynamic identity based authentication protocol for multi-server architecture
762792A8	Purification, characterization, and molecular cloning of an outer layer protein of carp fertilization envelope
6E5869F9	Anonymous password-based key exchange with low resources consumption and better user-friendliness
8150CEAC	An improvement of the Yang-Shieh password authentication schemes
7EEA603D	TwoKind authentication: protecting private information in untrustworthy environments
797195FF	Collisionful keyed hash functions with selectable collisions
780BF2AF	The existence of aspolin and its trimethylamine‐N‐oxide demethylating activity in the muscle of freshwater fish
756834FC	A novel push trap element to manage carp (Cyprinus carpio L.): a laboratory trial
7B1492A1	Usability and security evaluation of GeoPass: a geographic location-password scheme
792F15B5	Rational security: Modelling everyday password use
687DE4AC	Three-party password-based authenticated key exchange protocol based on bilinear pairings
8158676D	Expressions of heat shock and metallothionein genes in the heart of common carp ( Cyprinus carpio ): Effects of temperature shock and heavy metal exposure
787FAA21	A Password-Based User Authentication Scheme for the Integrated EPR Information System
7D0776D2	An Evolutionary Approach to the Multidepot Capacitated Arc Routing Problem
7C8A1E0A	A new method for using hash functions to solve remote user authentication
76BD1A22	Identification of cystatin as a component of carp chorion
76FB147E	Effect of iced-storage on the activity of cathepsin L and trypsin-like protease in carp dorsal muscle
78E9A3D2	Daily and seasonal profiles of gut melatonin and their temporal relationship with pineal and serum melatonin in carp Catla catla under natural photo-thermal conditions
