7F1A1204	7C3A80EF 7D6DB019 791B6623
8137E6D6	7DA1D6E2 7E3D6C91 5D0D0B48 80C5DF92 7BD599D3
83497492	7F554ADA 7ED8EA1D 79082482
80C886EE	81690DE0 7DEADE34 76BC5571 77B80A11 7B45480A
801A72B9	7F3247ED 224DB39C
7E6E619E	79A5D17E 627BEF99 7C7AD690 8131FBD3 793B4E0A 782A893D 755D6D7E 78CF8505 7896360C 7783990A 7A906F24 5D206456 7AA03D77 7AE5C4B6 77F60F5C 7ABA40AB 79B907AC 7CB5001F 79986430 7C3CA7A1 795D56A5 7D51FAB4 7A83830D
80798395	79791DD7 5D12BD74 7BDF28D0 80961DD6 7F2EEFE1 79C00350 7F837103 75E33557 7EC86520
808B1DF5	7D806486 7EB31B96 7BCAD65E 800924F3 7E1C860A 7FDF6C19 76F6E2DC 7CCA37CC 76F0FE48 7C3C912C 7572900C 7F67641D 78B2F945 59495E46 5F446363 7936046B
7F916723	5EBBB80F 7DAF1AD8 7D830F99 7FB80E0B 7E26D086 7E84D286 7FDE8E38 7D124666 7E8083D3 8178F2A0 7BD6AF40 7E417916 5F2F5E13 7EF3D31A 7F98F86C
804A4A23	78C70AA5 7A4D33BD 7A467111 79EA0ADC 7E06ADDD 7D4258AA 78164444 7707FD5A 7B4F962F 750D392B 7B04BE60
79F521C3	7C137174
7FD44479	75353C05 7CC16794 76FE1E3C 77088612
6F72BC83	78E71777 8112DD00 80856702 7BB66A46 5B5A9580 7B6A89CC 7F38356F 7F99E7F3 77411B08 77757F7E 7C876255 8036CF8F 7D339844 7997DC91
7E3EB381	7581ED6B 763F4A93 7715F13D 7805221F 777AC673
7F99C6CA	76F4D539 8165D349 76C6318B 8146FE90 5C93F5AE 7CBB0DF4 7798C2AC 769B6E70 7514B41E 800D554D 788768F3 809138D8 81324FD9 5F56A7F0 7C5D4608 0AA1C532 7D6225F8 80E435FA 7E6DDFF3 7AD90089 76C08F26 7B0B6D00 81699AD6 799D52AA 796EB157 7CF80B5C 7E09476E 7C286E48 7E4C6F89 80E5A926 7D130847 7D68456D 7CFF85A7 7A36B3DE 778C1DF5 7CFA15D8 7FBA0F45 7B5D66E4 801D2F7A 80F8A933
7F5C7A3B	0631B5ED 7EBB9965 7D859943 810E4502 81FA6644 810909C6 5A15BDF8 793ECA8F 805ABEAF 7B5F09EC 7D7FAE68 7E67867B 812B9983 73AF9A7E 7D8E7B89
7DB24E33	7B90E8F3 80043845 7EA49C88 75F98D0D 7CFCA29C 7FE1EACC 7556441B 77841FB1 7B866EBD 5AD8A645 7C146CC9 7DF9F96E
80E386DB	7A6E3D38 7858173A 75308656 79D33A7B 7970B6A0 7A66DF11 7F2B5500 7834E258 7B32EBDD 7B830CEF 75D5787E
7FDD1AFB	79AAC7CA 7937A785 7DA82A0B
7EAE00EB	8047E3CD 599A7DA4 81225F3E 5B803289 78681917 7710F7D5 01B33F30 815A6C26 70099E13 7C6CDFF4 58DAEBA3 65533F3D 7CF0A015 75B5C219 5F143277 7E4AEF43 80F35E0C 002BD922 59E8A7AA 77215BB3 7E94D0DC 7F16815F 73EF3A1D 7F5C3AD0 7FF6C7B5 6C49AB0D 7E727039 801B8BFF 5F69950F 77890DDB 7F83BB96 7D2E0E0C 7D2B857C 0B9C6D59 5D09C3B9 7AD3E400 7F653A58 745BEA0F 0A611E26 80642822 00872CF3 65D409DB 7966870C 7D450DB3 78BCE495 04125638 7F0DD925 80DFB7A9 593E5200 7F7BA869 7D2633F2 80F9A846 5DFD675E 7B8C256B
76CFBCD8	6C7F84C8 7A629929 7EE97289 7EF0C445 7D25C809 7918C071 7E54579B 7E413ABC 7FE1008B 7C1BB004 7EB01459 77D82840 7A5BCBC3 7678F647 811C0885
7EC0E1FA	58F17CC8 7FDBE945
77A9D611	770F7840 7C0B1509 7EC240B7 0251819F 7A8C0FCB 80E894C0 75C96B09 7D8128D7 5C33F14C 77D1BAD9 7C802D74 0B75347D 7CBD1ABC 80518E32 77F84F92 8018A414 6D2771A9 75F1E2AA 7AB947BF 80A000FC 7BB2427F
7DE1C03F	806EF020 800EA30D
7D2E244C	7DE29C0D 77CEBC76 60754979 7B6257D5 8079198E 7720136E 05F4C38A 5EDC80BC 8118AD5B 75831EED 79CE3DC1 85A47112 737FEBDF 7A19C102 7DCBABEC 814B5587 78000D69
76E98031	75F699B1 7E6A44F1 75E9F8C3 78D85232 765E224C 75A228E3 7546FFC0 77B46BE7
7B8B18DF	7BA8C30F 845F946A 7E40B43B 7EA0F480 7B319F4B 603F235B 7544DD04 813B3F14
7D399F4A	7CABEA91 7C0CB062 5DCF0074 710A000A 809F2FF4 8173C326 7EDE4C20 71A35CC1 786A4A05 8054AC25
7F370559	76A1666D 7F9EC9D2
7EED4695	5BD645A4
7C306A5F	7B8058A4 7D286506 7D4BA2FE 78E8181A 7675A1B9 781B5C10 7E43E167 75468F46 7B469B05 7C8572B9 75D7ABAF 80543536 7AFD32E4 5E4272D7 7A112FA4 798CD5E0 7A644F9D 7AD8C37F 78FFC09C 7904E873 78437A77 791BDA93 7C91969B 780C7994 78CB22A8 7751F86E 797045D6 773AA66D 77C3824C 784F32B7 7B4B2C59 7572E792 7EE7DF92 7529DF37 7AEA3B82 7686FA5E 7733B1F7 7A8AD3B4 7B330C5C 75D7A657 75E8524B
800A8249	8081FC1D 7F0ED817 7E44BDE1 265387C8 5BAC1F96 30B77C26 5D116292 781C49B0 8012230F 8589B704 78BA585B 813B04C0 758F9518 75092D4F 7F9A752D 78C1DC0F 795F81C4 7D0C096B 75DBC542 80A9418D
7A042E53	7CA05D8E 7FB86AC9 80784ABD 7EB97615 75279612 7F6B51A8 7731A197 7A89A80F 03A10A53 7F603296 8097EAE3 751EAEA5 7827E47A 7C3DDE87 7A0283B5 79E979F6 7EE522F1 7F9206D3 8125DA65 7B7F6F02 78D11A03 7E0941E3 7508F5D9 7C55E304 80A599BB 7A440AE9 7B935BD5 79D00B1A 7C5C4756 78017D9D 7851AD5C 7D4B64B5 7F779B90 77B86501 7D865BF7 81005562 769B64AD 7ADBA2E5 78472F11 7A837E17 76CBC628 77918038 77E7FE69 7B7ADFC8 7D602CDB 1334EDC5 768FA516 015799D3 7DC1944C 75F3908C 76ACD854 7C82566F 75626D12 7A143018 75A54FFE 7F6861CE 76253C1F 7C895C38 7F073AF4 811E2A09 7EB7F56D 78D7A11C 7A80D7F4
7DA18F92	05B0A54C 79E1033A 75EBC191 6DDE2196 817550F5 7ACF9785 80C6E13D 7EC86B20 75E13947 7B01B5FE
7FD5A12E	7B962EE6
7FC14F0D	7820C55C 79B14354 7AA57905 5A73093E 7B8C376B 7D2D092C 78271A55 76625D0E 7E3A83DF 7AC857D2 8129817A 7AFDC91E 81382951 786490A7 7BBA719D 7AEEB827 7136F661 79FEA3ED 5EE56766 7BA80F60 75F53D4A 8006EE23 7598AE66 7B23177E 7F03EB9C 7C9C6C46 796AD9FC 811C6C39 7B4F0401
7F0426FB	77D6B27B 7DF4CE46 7EC4C480 0698B1E5 7EA05E60 8001D61E 810A8E95 7DCE1CA9 7D77B93A 7FA72A39 7FC9EE98 7EFAC6F3 7F31C12D 814DEFF5 7E8BF938 8179AF1A 7D9780FE 7FCA0200 77F89E94 7DE34D93 7D3A46F2 7DB695C4 7E3EBD3E 8008149E 81386E4B
7C385AF5	772C3D43 7DE5B0A9 7F462BDD 7AC7BA9D
7E3CF831	5CB5BD61 7DC7CBE2 5E2D1A01 7D0AEDC3 7D906B26
79643651	7B22F75B 7C08D621
7F25CEF5	5E968ADF 80C9262B 80B7662C 80CCE0CA 5AD855B9 78F81C95 7E6A4C69 801046D5 7D31B9F1 78A29E53 7F131BED 805D620B 5D7B1EE5 7EC74DCD 5B1AC3BC 5BB90C80 5D651E00 7ED9A73D 7F8EC899 7CBFF456 81045A93 814B7F7A 805F5439 7EB0AA2F 813BEE00 7F26125C 5B9BEB98 792F28E7 7B3DF622 7CEB2F03 80A42C48 7C4992D1 7DB2296D 83B5B571 5ECF8CF9 800DDCD2 7A631AC4 760EB5F5 5D654128 5C37166E 79F6CE7B
7F5CD22D	62B45FF8 802D6D15
5C9B517D	7EFCF896 270B4F72 7D7C7862 762177CB 78999E37
79E4CEB9	5F15FAC4 79EE152C 7B1778A1 7C559650 766174D7
7F59178C	78C3F57A 75150FF5 5BF0AF40 7CD4305C 7CB0166C 783A7CED 7CAE4BA1
7E435A69	77896047 7F5D03EC 7A4A1AA5 8097DC22 7D27988B 77AB30B5 816699D5 7BDF216A 81329F66 800C5944 7D38AF67 7D5FE185 7E192C2C
7E69E987	75E2CF03 7613E096 750FD09F 7D844036 81198836
7E6CC88C	7A9C83CC 80248520 7F3FBB3F
7E0909FB	7F3AAF95 77D6B27B 78A46545 7D77B93A 7641555B 7FD62689 0DD89985 5953A93F 7E8BF938 7D9780FE 80BAB2AF 7E75274B 7D1B0541 7DF4CE46 7F0138CC 7EF6138A
7774FEFF	7B48AB88 7CBFFB20 7ABA46B0
7F4325B1	810E6BD0 5C32E50D 8016438E 80D5386F
7E15049F	7F0059BA 746CFB49 7DB0387F 71D89F6E 8129E5F4 0A5DCFEE 7E75274B 8208258B 80832226 810E6BD0 5CF35814 81A6DCDA
7E99AABF	5953A93F 7914A0A6 80331D2A 809138D8 7E09476E 075B5866 5EB41DCD
7B205A19	0C067C36 79F15F80 69B676D5 79FFCB55 75650C96 770D6ADB 7C4B4065
5AFD9EF4	7BCC5E1C 7F3DC765 7D2B443F 781C5390 7B7FEDA8
8083B6EA	7D1A89B3 71A35CC1 7C0CB062 7CABEA91 7EDE4C20 5DCF0074
7DB8DCCC	5E0260C8 76734C15 8039B3EE 78052C1C 780634B8 809B5850 78F0CF6B 7BD77240 774591EC 63494BA7
7EEDFD01	7B79A2E3 7819791C 7C130758 7A3556C8 79CEE971 79EFBD96 77DB3111 77761413 7D823494 7C2B733E
7EED5A93	75E701A3 7F8D6D38 6421ED94 7CCDBC54
7F79D34C	7B484830 76860F17 7AD90866 814A194D 6C81A934 81521C88 7E63A0FA 7B5F4FDF 786346FD 8107F1CD 7CBCCDB1 1277AC18
764ED761	75DE0B5E 76B4B20D 76D64D51 7772F149 794368AF 798CD9DF 743EF4A9 75F2A7B2 7CB85ADA 776F0D78 7DD0CC6F 810F7476 7F91FE66 75B53848 800D1221 764AE16E 7B6B3981 7EEFE4AB 75C3C7CD 7A6AE5F6 776170F4 80A867D5 7A6EF167 774E744A 75860883 77C221D7 784D9FA4 79A08779 79EF6BD5 7DB8495C 7DE213D4 78A59120 7B0ED029 77666BC3 782D846E 0106751A 777D0B89 7721762F 7893E851 5877B5B1 75D3703C 77ECD83F 7B5B6E8D 7D91B16E 762BCCF0 7916B94F 79C3E678 7FF3B7D7 750DB756 77A378AA 79FC2F08 75642AD3 75C8EC5B 7778D346 78D1893E 7E3C32A6 7595A0BC 79BB314B 75AB1016 76BD8E0B 7BC5E420 7ADCE9CE 75D9AE13 7D9AB5FD 76164557 7761E2D2 7C69D756 77F7A2EA 76E86BDE 75B5CDEA 7F3FC0C4 76186316 78479ECA 7FFBDF1F 5BDDDEFF 7B3D0547 7BAACE80 7F3BB98E
763DD5C0	76B6184C 6EF4D029 7DB05FB4
7F13CEEC	72A3EEB1 807F66AB 7D64C2D0 7FBC3D99 7D2E6FEA 7D45BCA0 7FE381AD 808B20DC 804FCDBF 768AA1DE 7B40218E 77357870 7D467A92 7E544F24
7BC20465	7C27DC37
812F652A	777A2D35 5DA23023 8178C236 7F42F873
8163E4B0	75C89ABD 797912A9 7E3A8BC6 7D6959AC
80703000	0A68561F 7A07F858 0A5558FD 5FD069DF 788161CE 25832005
7D34A441	59C015B7 8159BCFE 7E8ED0E9 5F5DF92C 7DBAA1AD 7D995459
7F674463	816ACE3F
814003AF	5BEB748B 77E65E23 7CAAA9E0 78B733D7 790E3265 02FF158B 7E44CE4B 056D3C9A 5CD9B091 80AA238F 5CD75517 7D06D2B3 80B76967 817A7185 760476BE 77DF4A2A 3B08A93F 79A0FC8E 7D7178DE 7FF56AFF
7D5E480B	7DA36DF4
7A029674	805DDEB4 59CCB84E 5E2DA586 800A12D7 76CE2046 58AB6C28 7767ED6D 7F5E9084 5BD032C5 7F1FCEEA 7E504AC2
80033CA5	7E8CAC86 793A79A6 7DBAD306
7ECE43E6	7FEA292F 79F181C2 81699AD6 7DFE8F0D 7D9351D6 760E7EF8 7F9B02BB 7FBA0F45 6778AE95 7E46491D 5DFCC7EF 7E3DFCEE 8125DA97 5ADDE296 73DC5359 800D554D 77E5E8C1 809138D8 7F9AC2C3 806A613C 7E1FCF4B 7BEA14F6 7E6DDFF3 778C1DF5 77690365 7D9B7AC7 80287445 7CFF85A7 801D2F7A 80521193 804A9F15 813FFC63 7E8B8534 5D8E0301 7ED2629A 7D3FA3AE 7D3ED11B
7ED999C2	7D9A75F4 7730CCEB 7C94F063 796B0706 759B6964 5C945EE9 7E699059 8135BEE4 811CB931 769F4C3B 7760446A
58701695	21787638 25DF8A21 04C3CC49
82307B94	7AD80FA3 7AC53978 7B279B04 7F0D669E 814D4548 7F1D64E3 8134ADA1 7901A73E
7D2F7A89	813B15A8
8056DD2B	586085B5 7F34BC58 5BAC1F96 7D7FC84B 7F0E2A26 78CE19EF 5B6EECFE
7E25180C	7FCCE9A3 80276F97 7EC59834
76860F17	76D72CF0 7BCF2802 7B5F4FDF
7F65D44C	7C24FEE2 797B6B17 2665C2E8 79C9FB87 7E56BECB 78FF840B 7D123B1A 78647F89 7BDE0883
7EB9F1D8	803989BE 8030EF4C 752836D6 79042979 7D9611CF 5852FEA0 76DBE0AA 7D5B9C7B 7F7D8822 7D4CF96C 8061FCB3 7DC312C6
7F56068F	81288F82 5CE14BA4
80291BD7	799C3B43 7DF88B32 78DE9D6E 5A423B12 8070E064 7D093C69 77071A32 7ED86BE7
7C17F450	7E9531F5 772C292D 80BB6639 7D3FD579 79077321
7EE520BE	64AB6CF6 7C37334D 8104FB81 7EEBB6AE 5F6CB368 78D1CAFA 6E100E05 7B0B7079 6992809D 7F8A2CA6 7E62C044 7E2D547D
804CDE75	75AA7565 797DA5D9
7952099E	23DD1224 810FAB84 5A0A72D3 7D911D99 802FEAE0 761062C8 75B1A02B 75D05C7D 5D74FC6B 793432B5 7F896605 80D4C012 7E71AA3E 7F16380B
77E6A74D	7B3EDFCA 7BDE7B5D 7C661C2E 7B6CDB6A 7F58F42A 7D10B21F
7C724997	7F6ACC6B 77739C26 82FF5402 786E1022 7FE9F538 813E29F1 757CD237 8047C8D2 83BC690E 7EB92565 7EE80665 7F979B2E 80C7BE7A 639E49E6 79433BFE 7E6C123D
78527A34	752D63FE 760DEE69 762D2552 0B8B83E1 78C61485 7955CEE5 7B2BCFE4 76C4B13F 75740BDB 03A4A222 76DEF9A8 7A93E89C 7F733292
7D05E8FD	5A29DCA8 785E700F 7DB9FC4F 7F1A6289 7F4EAB6C 7CB7FBCD 7D3F80D3 7E480497 7E70DBB6 6FCBA787 58BBBA35 7CBFD782 7ED5188C 5E82F91A 75894BB2 8044D08D
7F4BEE82	7B272795 75E9905C 7926FC77 7899647B 7CA900A3
81377C81	7C3E81EE 7ED8688A 216FF92F 7F0ECC09 75BA1EBB 22B2643A 78F9BC57 776232DD
7ECAF1C8	7736DBB5
7EF69448	73431538 591CA169
775F3BD1	76B6A07B
7F277A3E	755FD99D 7ECB3CD3
7834A9CA	7B2FB14F 78653DBB 75AB408A 7A90148F 7B7188DB 77F2FBDD 7567B401 6D5D3866 7A929AB0
77334EF9	7F67CEA5 7DB87EA1 7FE96031 800A3BF6 791746DE 7D587A40 76FBBDDD 804654FA 58B4F0CE 808716FE 78335156 80EEEEE0 7F1C9D4B 59176758 624146B5 8034BEA2 7D585069 8115B1D5 7D03574B 7EFAEEA4 79143BC9 7D202F30 7DB5BE83 8076A4CC 7E754740 7F304A7C 7EE365BA 7820C25B 7F447970
8147F2DB	5E3665F3 75826601 7E06ADDD
80BAFECC	7F9263C9
7FEF78B6	7B1647BE 7D291192 7D326E3E 5B832CE6 72CCB0BD 7C324C09 78BD9658 7B30A637 750C4258 81252534 7A448B61 76F6E8D1 7B10D920 77E935BE 77E6356E 7A1E32E4 07F0737B 77913BB0 7B5658B8 7D3D1DCB 7485BE47 7CA71FAD 75B0C999 7BB6F8B4 781C09ED 7EFCF7FD 7A2ECB95 7DB697B9 7552FB89 77700CB7 795DD273 762CFDB5 7A4C0D93 7DC9CF42 7F05F6A5 7C5DBF5E
807932F1	5B530471 7D0D1D55
7E5360B8	767D0C0E 7D4E0A44 801F4D80 7E7ABE10 7FF6025F 7DFC2F0A 6EEC51E7 80D0950A 7EF7F0CF
61D08EEE	62AE30A5 80BA0DF8 635D4E0F 7F26DD80 630B72F9
7C8E9275	789F11D0 7A3FCC79 77995E89 7675D015 7C70DBAE
7A2FBF85	7E6578AD 7F56D93D 812C5B4C 7FA48859 7E0D774B
7D220910	7EAFC442 783D8666 7DE92EC8 7EE2F7FF 7891496D 7E5C6A05 7ED89748 813BBFE5 7F8E5E2C 7F921725 768E4ECB 755738AD 7D9C5F7B 7F2473E4 80732DB7 5940FE17
811E0278	780178C7 60F07F2D
7EC44E82	81025F64 80C47A6B 7624FCC2 7B5ADCF5
7DFD47E0	7A7A55E4 814829DF 7FEE379C 7DFEECA6
7DD1A16D	7E723A68 7D801862 7E2FD76E
7F51DDD8	0ACAB407 7E08DA63 7C74E527
7A728258	7A8DABAE 7A56DD9C 7FF6025F 7C94F063 7F42F873 7FA94F6C 7AEB315F 809138D8 7DA0258F 6CE1C0E3 7A579676
5A04AC8C	785DF1D0 7C251CC2 22717C98 7A064735 82407948 81336AB9 81A4705A 7FF68D8B 81E9EC45 7C65938E
7E999F76	80AF6F23 7A3843EB 039CB2A5 7DBBAB9F 810CEA53 080429F5 77539DDE 7D137634 78F1DB0D 782D2F35 02EB4C1F 0B63CA32
7F6E679C	7EE91B7E 7844142D
7E675612	7EC19D1F 7A9739FD 8142AB74 7D8AEF45 7E30DF5A 7FEF867E 7DA2F416 75B715FD 58C32506
80C6A91F	76314DC7 78713F27 80B66F40 7569F562 7894670A 76E76DC6
7D957EFE	5A651D5D 821A37E5 5D6B37CE 7C04DC2E 7CE41B13
80F8B4C0	5953A93F 7DE24168 8169F9D8
7DA0258F	7C7E0554 7F76C1D9 806A613C 8118AD5B 7F150A2C 7AEB315F 7E0B5F46 769F4C3B
7FF6C298	7EFC5DBC 7A0613EC 7B646D11 7FBDB394 8163C73B 77E645D0 7EFB7CC3 81461DDC 773E5389 7DAC3E1D
7EC064F5	7E16CF0B 585021B4 7D99603C 79695553 5F1CB447 7DFBA4A4 817716FB 7D0D6EE6 81146DD4 7FD2CA56 780C6BE5 7B23CD13 7FF56619
80B43039	7C0540E0 80F48579
7DE7D48D	74DAC03C 59890660 7FE4F912 79D26215 7D57EDE3 77EFF906
7FDDE057	23FE97A9
795F47C7	77374795
8033AB08	786E9997 806A3BCD
7E429C47	8178B389 78EB6677 750DF553 8079198E 7ACA9C14 812602AA 78D2201B
7FBCAD07	781A3108 72713BCE 7BFB3FE3 7E2C950B 7C370C41 777CA053 763C8A38
7D1E361D	7CBCCDB1 77D99B7E 76DAA46D 81521C88 7AC817BB 793768AB 7B5EAE92 78DF38A7 7C92D4EE
7F24E257	7D64C255 7DB13E18 7818D622 7E09476E 7E4B4DC2 7E414E27 80F6FB6E 777A2D35 7DB83997
7F30ECF2	80A9E545 5C06715A 76B1A747
7EE560F3	7BD4A7C4 7AEF6AA0 7C83209D
79AC4A6C	78AEE139 78E8DDF6 5BC947C2 75A22960 7F2B28D2 80457141 80C37C34 76F69EDC 7E3E5FD5 79811E3E 8049B7C4 7A496F9D 7C6C4441 80615F3E 817463D3 786771E7 7578480D 7A798493 80A82ACC 794E15E1 7F49ECCA 7D1B5583 783503E5 75874373 7645A978 752FFB6B 7559C94D 7DF1E93E 76C3A134 793FA151 804DA51C 7B293520 7D4FE8E4 7C177557 7CC40760 780457AD 80B78FE3 778386F5 7BA21328 7AAECADB 7D4A81A7 7A456140 76C93BA0 77D2CA15 7D0940D8 7EDF6EB7 75DC44ED 7AAF73AF 80212450 682F8651 7C6E1724 7B04DE21 77A04F86 79A5FC9A 7E1FD69C 76F11D77 7906E671 7A8B26D4 812D75B6 765C68B4 62DE9BD4 7B545196 7B9C0CB0 760A7831 77E54CB5 7D0076B9 7678CD53 7D226C44 77772EFB 78BC0355 667B7AC9
7FF1C206	59D16AF3 74E2649C
793A7805	0949912E 79D62A07 7B38EE36 809DBC44 814820BE 7BF54555 6179044B 797853E0 813764FA 7832E0B0 7BF6A473 78DF7967 7A545ACE 7AA1EBA7 808E3C72
7F5D69B9	7AF7576A
7D7BE137	80790296 80FBC12D 7F568FEF 7D10BD38 7B13F805 7A343A9E 80D46BC3 7DF961F6 8061091E 6C61E537 7EBD64C9 81360D9B 7EF1A94D 5E1BF451 7EFD0060 5EE64686
78F1368A	80198C30 80E4C6A4 7A8650B7 7E1704EA 7E8F143D 7F1E226F 7CA323E6 80B22AC7 7B86A1AB 7D88D046 7F10E7D2 72F598D7 758130D7 754C4800 7C14CD15 7F2C3158 7F48C00C 760AD228 7DFD4810 7F4E54FF 770A8280 8018DB62 76DE1E1B 793CEA6E 752D7DBD 7981DD07 76C158B9 7CA4CB15 785B6F31 7D4127F4 7EEDF2C5 7A0E5C0E 812ADAB9 760FB363 80CA40AB 7663187D 7C82B472 7A59D12B 765D287B 81446111 751321C8 7764B956 7CE774B7 76D0C95D 7A633506 779BD172
81B83C49	7EA2CC65 7EF70283 816935D0 7B53CE96 7F627736 5E5F833B 779AC232 80353BEB 80C2DE61 806CF941 59B07A46 5F59F597 81728855 7FEC9BD1 7DAF05AC 7F8C77FF 7CF20E35 7E3BBA93 7F4BB3DA 80B490EB 7B16CCE8 7F75255D 80CA2080
815E26A1	771AB73E 7BFCD546
77802B31	7895AD8B 7B92A6D7 7DE7620C 7E14B65B 76914A32 78175C19 7A0616BC 7C9758CE 7CE50A92 75C7DA0F 836064E8 75278866 7E0D8993 75789B4D 792910D7 793FA957 7BE701B5 7C739198 7F70A53F 760ACEE8 7B911D03 7BCD5A8A 7E289225 7F763272 7A77980C 7EF54FC4 7F6E0F36 7F8CF733 01E7C002 738B7F15 759922C2 76584881 7EE01748 7D0B0EF1 7FF994E9 83C0068D 7D01BD2F 7ACA58BA 8247F2A1 08260F6B 5B2DF3FB 740FAF6C 7F42BE86 7FC2FB18 75BB5B30 7AB7A2CB 75E0BD61 7D6425D3 8036F752 7D8C5E0B 815A41B6 7DC9FA27 7858AD00 800F18EC 0327CE7F 790E3F88 7A93C2F0 7BA51F31 7F97C917 809E1E6F 7834CB36 80E296A2 76DEC562 784ACF4D 7D8EF172 7DFA6239 7FB2C088 807A56D8 5F82F87C 75B843F8 7AD0E5CA 7AF78E28 7B99CE89 7BDAAC60 7D76304D 7ECEAA25 80CCA280 810AA051 7D56C025 7E0D7BCC 7E4C886F 7FF05AF2 6F377F61 7B27080F 7F51B313 7D481DB8 7E386175 00D60AEE 774EF94D 7C6DF068 7DA8AA83 80213827 803D5407 7C433DB8 7511E8D6 75B7943E 803129CB 7E342F9A 7F9072C8 75D3B364 80AF448D 7871EA4D 7C721A4A 7F8599C0 7F980A9C 752296A6 75C0777A 77BE4A4C 85E8343F 73886DF8 7707D542 7DC4E9CF 062127A4 74CA7F72 7DCC8E87 7134FEBF 7A4F029B 80E7EA69 7F762BAF 7FA3F729 813D2F8A 7C227BC6 7F45EC94 80195953 81584014 81EB1AC3 79C1A88C 801688C7 7F30C859 80A4EE69 80C83AE0
80852B7F	760476BE 81336AB9 80ECF696
7FD89D91	5B167341 8569FEB0 7BD7E0C7
80016AC0	760415A8 801F7C49 7BB94D17 8043DF70
7CD85656	80353BEB 75503658 80CA2080 7A0D2818 784078AE
80DBCB4B	0AA1C532 781E2B5F 7DE4E62B 7F54C0DA 5B4979B3 8108F8BD 7712387F 791C87FD 7E5523A0 809138D8 812557FE 58E55D58 5E6DE469 80521193 7E09476E
7669536B	7B416178 7FC4C58C 791A33E2 7829D866 7E146D99 7609F79C 7F7BBB3C 76FB5D70 779366C3 7BFF0F19 7CE0A4D9 7F4FC486
7E405D85	7AE946BE 7B805B90 7BC01563 79F2226F 6F3984A6 707221EB 7A98CEEE 75A9B28A 7B2E426E 7DCF7477 7E7B8115 803B0464 77C9D646
80F6BF89	806714FF 0271626E 5B668069 7E3BA6E4 60DCFE3D 00AD0663 7D91C8B2 7F5CEEFD 7CFBD474 26BF7731
7E1DEDA3	79CFCCAE 7AF556EB 5A830181 77468405 7584E57F 79D787F3 7F6AA0D2 7BEC9BB9
8198CFB3	7A6DB19B 7EC46A3A 813FAD1B
816864BB	7C573CB2 7DC4D7FE 78BE4FFD 7F6D74A7 80124EBF
