3316C1E9	Geoffrey Mazeroff A
2F708589	Characterization of Hierarchical Cellular Automata
7E8D063C	Generating rough ontology based on rough concept lattice
7B5F1F53	Essential oil composition of nine Apiaceae species from western United States that attract the female Indra Swallowtail butterfly ( Papilio indra )
7A613485	Hierarchical cycle accounting: a new method for application performance tuning
7FCF03B2	A method for locating multiple sources from a frame of a large-aperture microphone array data without tracking
84D51E70	Comparison of Modal Variables Using Multivariate Analysis
7815C984	A selective coding method based on global/local motion information
7F7F0993	Where are the missing galactic satellites?
0844D429	On Simulating Hierarchical Clusters for Performance of Ising Spin Systems
7EECD19B	Spatiotemporal Analysis of Sensor Logs using Growth Ring Maps
77855AE5	Fruit and seed diversity of domesticated carob ( Ceratonia siliqua L.) in Morocco
794E5AF5	Aluminium dynamics from soil to tea plant ( Camellia sinensis L.): Is it enhanced by municipal solid waste compost application?
0239ECC8	Discriminating Subsequence Discovery for Sequence Clustering
7EEF340D	Multi-resolution 3D terrain modeling based on scale space hierarchical clustering algorithm
74ADA662	Hybrid clustering with application to Web mining
5A5224B7	Effect of feature extraction and feature selection on expression data from epithelial ovarian cancer
77E0986E	Scale-space unsupervised cluster analysis
60B0E7C8	Moving clusters in the Solar neighbourhood
77DE6AC3	Segmentation of the Angler Population by Catch Preference, Participation, and Experience: A Management-Oriented Application of Recreation Specialization
7A2F6BB2	Comparative analysis of synchronization strategies in sensor network with misbehaving clocks
7F0931C4	Computing Brain Activity Maps from fMRI Time-Series Images: Multivariate approaches: connectivity maps
79CD4D56	Participation in Maternal Marker Screening for Down Syndrome: Contribution of the Information Delivered to the Decision-Making Process
7652D1D2	Chemometric analysis of volatiles of propolis from different regions using static headspace GC-MS
002BDA10	A Benchmark Dataset for Audio Classification and Clustering
8130D90E	Prediction for silicon content in molten iron using unsupervised optimal fuzzy clustering
7712AEE7	Design of hybrids for the minimum sum-of-squares clustering problem
768585AE	Linear and non-linear multivariate analysis in the quality control of industrial titanium dioxide white pigment
7BF88ABA	An energy efficient cooperative hierarchical MIMO clustering scheme for wireless sensor networks.
7EF16D8D	Practical data-oriented microaggregation for statistical disclosure control
007B8A4F	Radial Profiles of Collsionless Dark Matter Halos
02D8BABD	On the Role of Hierarchy for Neural Network Interpretation
7CE7A3BA	Clustering Strategy to Euclidean TSP Hamilton Path Role in Tour Construction
5ADEFF91	Learning a hierarchical fuzzy system with autonomous navigation as an example
7B810099	Extensive Methylation Is Associated with β-Catenin Mutations in Hepatocellular Carcinoma: Evidence for Two Distinct Pathways of Human Hepatocarcinogenesis
04208BBF	New Fuzzy Hierarchical Clustering Algorithms
77A27DE1	Use of Metals and Anion Species with Chemometrics Tools for Classification of Unprocessed and Processed Coconut Waters
5A656C15	A Structural Analysis of Social Work Journal Network:
7C6DACF6	Optimal Capacitors Placement of Distribution Systems Using 2nd Order Power Loss Sensitivity Analysis and Hierarchical Clustering
84F6B61A	‘십장가’ 대목의 어휘 사용 유사도와 계층적 군집 분석 방법을 이용한 판본 계통 분류 연구
7AF807C7	Does testing for circulating autoantibodies against disease-relevant citrullinated antigens add value to the CCP2 assay in diagnosing RA among early undifferentiated arthritis patients?
054507F3	CLUSTERING OF INDUSTRIAL PRODUCTS FOR REUSE
82F0CAF7	Hierarchical Clustering of Categorical Data using Improved Inter-Cluster Similarity
76F860AF	CIT: A Cluster Identification Tool based on Biclustering and Hierarchical Clustering
63AC54E7	Power-efficient Routing & Increased Yield Approach For WSNs
7E69465C	Multivariate classification based on chemical and stable isotopic profiles in sourcing the origin of marijuana samples seized in Brazil
7EC7D627	High-density lipoprotein proteome dynamics in human endotoxemia.
81044735	An Agent for the HCARD Model in the Distributed Environment
7A862414	Hierarchical clustering in the spectra of incommensurate systems
7673980E	Means for finding meaningful levels of a hierarchical sequence prior to performing a cluster analysis
59473A4A	Tipificación de miel de diferente origen botánico o geográfico mediante la espectroscopia de infrarrojo cercano
757F46DF	Searching for hierarchical clusters of disease: spatial patterns of sudden infant death syndrome.
7A86C6CF	The problem of multivariate classification of samples with radial (or V-shaped) chemical data
79777413	Giant Ringlike Radio Structures Around Galaxy Cluster Abell 3376
75EB37E8	Woody vegetation of protected areas in northern Togo. Cases of Barkoissi, Galangashi and Oti-Keran： ecological and structure analyses of plant communities
5DED3B8F	A Lotting Method for Electronic Reverse Auctions
810EAD9F	Conserved Subgroups and Developmental Regulation in the Monocot rop Gene Family
78C6EDE2	Settling the Polynomial Learnability of Mixtures of Gaussians
80B2A2C1	A hierarchical density-based clustering analysis of auditory fMRI activation data
7A83FF7B	THE USE OF X-RAY PHOTOELECTRON SPECTROSCOPY FOR THE STUDY OF ORAL STREPTOCOCCAL CELL SURFACES
7A9E77EF	Characterization of Physical and Chemical Evaluation on Six Apple Varieties
7AEB666E	Fermentation condition outweighed truffle species in affecting volatile organic compounds analyzed by chromatographic fingerprint system
7E342E65	Rail-Road terminal locations: aggregation errors and best potential locations on large networks
5E1C657D	Grammatical Noun Cases for Non-Linguists
7CAC4580	Estimation of the number of clusters and influence zones
80A557FE	A Divide-and-Conquer Approach for Minimum Spanning Tree-Based Clustering
5C930B75	Conocimiento sobre riesgos y benefi cios del consumo de distintos tipos de carne en la RegiÃ³n de La AraucanÃ­a, Chile
5D969132	A hierarchical clustering scheme for asymmetric matrices : (preprint)
79DAD8B1	Hierarchical exploration based active learning with support vector machine
7DB3EE9B	Clustering of Population Pyramids
7BA0DC70	P2broadcast: a hierarchical clustering live video streaming system for P2P networks
755D3262	A comparison of antioxidant, antibacterial, and anticancer activity of the selected thyme species by means of hierarchical clustering and principal component analysis
7C9C6A62	Study on chemical fingerprinting of crude and processed Atractylodes macrocephala from different locations in Zhejiang province by reversed-phase high-performance liquid chromatography coupled with hierarchical cluster analysis
7907621A	Assessment of ftir spectrometry for pesticide screening of aqueous samples
75FC7F37	Piezophysiology of genome wide gene expression levels in the yeast Saccharomyces cerevisiae
5D17AD1C	Hierarchical Organization of Functional Modules in Weighted Protein Interaction Networks Using Clust
7A592B4F	High-Content Screening with siRNA Optimizes a Cell Biological Approach to Drug Discovery: Defining the Role of P53 Activation in the Cellular Response to Anticancer Drugs
5ACD056C	Interferon-α/β receptor-mediated selective induction of a gene cluster by CpG oligodeoxynucleotide 2006
796A084F	Archaeometric study of fictile tubes from threee churches in Milano
76F9EB7B	Automated search for potentially active compounds by using cluster trees
012A40CD	ABUNDANCIA DE P-DIFENOL : OXIGENO-OXIDORREDUCTASAS (LACASAS, EC 1.10.3.2) EN EUBACTERIA : HOMOLOGIA ESTRUCTURAL CON EUCARYA MEDIANTE Hydrophobic Cluster Analysis (HCA)
76AD1EA9	Computer-aided diagnosis of leukoencephalopathy in children treated for acute lymphoblastic leukemia
781EAF57	Fast face recognition using a combination of image pyramid and hierarchical clustering algorithms
5CF44314	A scale space based hierarchical clustering method of network partitioning for zonal pricing
7B9D71A6	Mean-shift and hierarchical clustering for textured polarimetric SAR image segmentation/classification
75C2AF99	Menstrual phase-dependent gene expression differences in periurethral vaginal tissue from women with stress incontinence
7C99E562	Multivariate morphometric analysis of the Apis cerana populations of oceanic Asia
5E2A405A	Gene expression data analysis for identifying crucial gene markers and subtype classification in breast cancer
5ED6836C	Formal Identification of Right-Grained Services for Service-Oriented Modeling
5A38CA86	A Structure-Activity Relationship (SAR) Study of Neolignan Compounds with Anti-schistosomiasis Activity
77D7CAF4	Heat-induced changes to lipid molecular structure in Vimy flaxseed: Spectral intensity and molecular clustering
05152C69	Application of Exploratory Multivariate Analysis for Network Security
7AD544E6	On semi-supervised fuzzy c-means clustering
08CDB7DE	A Modified Multilevel Approach to the Dynamic Hierarchical Clustering for Complex types of Shapes
7696D302	Compressive strength of human openwedges: a selection method
80695AC2	Shape and size of red blood cells from the Pygoscelid penguins of Antarctica using atomic force microscopy
0C389EC6	Course 1: The Universe at High Redshift
76DF53B2	Classification algorithms applied to 10 588 low-resolution slitless spectra - A search for unusual and interesting objects
75DF207B	Exploded logit modeling of stakeholders' preferences for multiple forest values
766E3F0C	Colour-magnitude relations and spectral line strengths in the Coma cluster
8037F4AE	U.S. Army and Moldovan troops assess EUCOM humanitarian projects
0C071110	Statistical Evaluation of a Bottom-Up Clustering for Single Particle Molecular Images
1138CFC3	The structure of nearby clusters of galaxies - Hierarchical clustering and an application to the Leo region
80E106AC	Study on Cooperation Mechanism in Agent Organization
75F0B161	Identifying schematized views of self with significant others: Convergence of quantitative and clinical methods.
7F8EB2D3	Automatic Learning of Semantic Region Models for Event Recognition
79E6E3F9	WAIS-R Digit Symbol Patterns for Persons 75 Years and Older
594CF14D	Partitional vs Hierarchical Clustering Using a Minimum Grammar Complexity Approach
5E35C868	Building a hierarchy of events and topics for newspaper digital libraries
804BBF3E	Constructing Molecular Classifiers for the Accurate Prognosis of Lung Adenocarcinoma
085F2417	The Independency tree model: a new approach for clustering and factorisation
7A510F51	Global MicroRNA Expression Profiling of High-Risk ER+ Breast Cancers from Patients Receiving Adjuvant Tamoxifen Mono-Therapy: A DBCG Study
768AFC85	The information transfer specialist in successful implementation of decision support systems
7F7D8078	ANMP: ad hoc network management protocol
7FDF64B1	Consumo de alimentos y asma en niños escolares de Cuernavaca
7C155474	Genetic networks in nonpermissive temperature-induced cell differentiation of Sertoli TTE3 cells harboring temperature-sensitive SV40 large T-antigen
7594BEEA	A cluster analysis to define human aging phenotypes
77ACF6E3	Systematic analysis, comparison, and integration of disease based human genetic association data and mouse genetic phenotypic information
70367352	Ranked Adjusted Rand: integrating distance and partition information in a measure of clustering agreement
766A64D8	Re-Conceptualizing the Past: Historical Data in Vocational Interest Research.
750B4C28	Morphometric and meristic variation in Galician threespine stickleback populations, northwest Spain
7D22A1D3	Assessing the phylogenetic usefulness of a previously neglected morphological structure through elliptic Fourier analyses: a case study in Bruchus seed‐beetles (Coleoptera: Chrysomelidae: Bruchinae)
7D33DEF4	Allophone clustering for continuous speech recognition
5F78E2C8	Experimenting SnakeT: A Hierarchical Clustering Engine for Web-Page Snippets
78828A54	Quantitative Evaluation and Analysis on Human Health Risk
76DC139E	Multiple Stereotypes of Stepfathers
84A23E78	November's Worst Healthcare ETF
59D450FD	Phase-Space Structure of Dark-Matter Haloes: Scale-Invariant PDF Driven by Substructure
7F5B0FDF	High Performance MPI on IBM 12x InfiniBand Architecture
81535121	A WDM based virtual bus for universal communication and computing systems
7A5FD870	Spatially weighted functional clustering of river network data
7EC9275F	An Intelligent Intrusion Detection and Response System Using Hybrid Ward Hierarchical Clustering Analysis
77295250	Minimum sum of diameters clustering
80D5643B	Cluster based wireless sensor network routings using Artificial Bee Colony Algorithm
7B3CE8FD	A transcriptomic analysis of type I-III neurons in the bed nucleus of the stria terminalis.
7B8FC913	Classification of DNA methylation patterns in tumor cell genomes using a CpG island microarray.
0E9E062D	hTERT Promoter-Mutationen in humanen Tumoren der Leber
80DB6474	NIPALSTREE: A New Hierarchical Clustering Approach for Large Compound Libraries and Its Application to Virtual Screening.
7BCE2B36	Genomic profiling reveals subsets of dedifferentiated liposarcoma to follow separate molecular pathways
815304D4	Application of the exploratory analysis of data in the geographical discrimination of okra of Rio Grande do Norte and Pernambuco
803CA4FB	A Characteristic Sequences and Normalized Euclidean Distance Based Method for RNA Secondary Structures Comparison
640BAB37	Identifying Reference Objects by Hierarchical Clustering in Java Environment
26A43FE7	2215 CAE を用いた車両性能設計における設計領域を示す新設計手法の開発
5EBB1B67	Secular Evolution in Disk Galaxies: The Growth of Pseudobulges and Problems for Cold Dark Matter Galaxy Formation
7522AA2F	Volatile Components of Whole and Different Plant Parts of Bastard Balm (Melittis melissophyllum L., Lamiaceae) Collected in Central Italy and Slovakia
75126C01	Fuzzy classification of earth terrain covers using complex polarimetric SAR data
7B5726B8	Analysis of hierarchized structures in astronomy
79C0AB99	Real-time video object segmentation for MPEG-encoded video sequences
7153665B	VIH/SIDA: Lesiones bucales en niños de 0 a 4 años de edad
0C3DE298	The Diatoms: Numerical methods for the analysis of diatom assemblage data
7EB2C03A	Hierarchical Cluster-based Partial Least Squares Regression (HC-PLSR) is an efficient tool for metamodelling of nonlinear dynamic models
7B4516DD	Ising spin system on the Fibonacci chain
7B4E5B7B	An approach to tree-classifier design based on hierarchical clustering
85560964	Análise Multivariada do Perfil das Concentrações de Elementos Presentes na Erva-mate (Ilex paraguariensis) comercializada no MERCOSUL
79894769	Rapid bacterial identification using evanescent-waveguide oligonucleotide microarray classification
7929D69D	Competitive extraction of lanthanides by solvent extraction using Cyanex 272: Analysis, classification and mechanism
75E883DE	Relationships among filamentous microorganisms in rotating biological contactors.
7921A21B	Sentences, Hierarchical Clustering for Shopping Search
7BF1AF63	Identifying protein binding functionality of protein family sequences by Aligned Pattern clusters
7DC40B9B	Compound extraction and fitting method for detecting cardiac ventricle in SPECT data
03B10DDE	Elliptical Galaxy Globular Cluster Systems: The Origin Of Color Bimodality
81313EB1	A clustering approach to multireference alignment of single-particle projections in electron microscopy
797EB06F	Spatial reasoning: improving computational efficiency
753C50F7	A Variable Round Mechanism for Routing Protocols Based on LEACH
760AEC0E	Multivariate comparison of concentration profiles in materials analysis
7FBDF3A1	Vector quantization of images using modified adaptive resonance algorithm for hierarchical clustering
771ADA2F	Closing the loop on a complete linkage hierarchical clustering method
0C4A15EF	Clustering based on rank distance with applications on DNA
7F7A3500	Genetic heterogeneity of stably transfected cell lines revealed by expression profiling with oligonucleotide microarrays
784FA799	Analysis of landscape pattern change trajectories within areas of intensive agricultural use: case study in a watershed of southern Québec, Canada
80712CB9	A lotting method for electronic reverse auctions
798CB14F	Statistical evaluation of cross-classifications derived from rearranged community data matrices
7CECF5D5	EINSTEIN Cluster Alignments Revisited
7C3B7E08	Systematic analysis of genes required for synapse structure and function
7F323194	FISH: Finding of identical spectra set for Homogenous peptide using two-stage clustering algorithm
775F00AC	Cluster-cluster aggregation of magnetic particles
590CEA87	Identifying the Underlying Hierarchical Structure of Clusters in Cluster Analysis
7937340B	Identification of genes whose expression is associated with cisplatin resistance in human ovarian carcinoma cells
80F7C4C4	Genetics of metabolic syndrome: is there a role for phenomics?
7A4EBE2C	Applications of web mining for marketing of online bookstores
79843DD4	Determination of dehydroevodiamine in Evodia rutaecarpa (Juss.) Benth by high performance liquid chromatography and classification of the samples by using hierarchical clustering analysis
5E9C49A5	Classification of Chinese herbs based on the cluster analysis of delayed luminescence
1356403A	音源別の住民反応に基づいた音環境の評価方法--階層的クラスタ分析の適用 (京都大学環境衛生工学研究会 第29回シンポジウム講演論文集)
5EA717AF	.comQ: Dimensionalizing, Measuring, and Predicting Quality of the E-tail Experience
784E55B9	The Baryonic Content of Galaxies and Clusters
02BCA14F	Alignments in hierarchically clustered populations
77DE328A	Acculturative Strategies and the Psychological Adaptation of Brazilian Migrants to Japan
7A58A2D6	Estudo do coeficiente de partição octanol-água de bifenilas policloradas (PCBs) utilizando parâmetros topológicos
7B7662CE	Trace-Level Microanalysis of Roman Glass from Khirbet Qumrân, Israel
773228B1	Graph-theoretic quantum system modelling for neuronal microtubules as hierarchical clustered quantum Hopfield networks
621EA07C	Tokunaga self-similarity for symmetric homogeneous Markov chains
6DE68C2F	Large-scaleword representation features for improved spoken language understanding
800CCD11	Global Analysis of Gene Expression Changes During Retinoic Acid-Induced Growth Arrest and Differentiation of Melanoma: Comparison to Differentially Expressed Genes in Melanocytes vs Melanoma
7A290230	A Method of Initialization for Nonnegative Matrix Factorization
674E9D20	Analysis of the impact of physicochemical parameters characterizing coal mine waste on the initialization of self-ignition process with application of Cluster Analysis
755A4D49	Isolation by distance in a hierarchically clustered population
62533083	Merger-driven galaxy evolution, faint IR source counts and the background
78F0B6FE	Observations of the two components of the Abell 98 cluster of galaxies
6B2F244C	Are High-Velocity Clouds the Building Blocks of the Local Group?
77560214	Attribute discretization algorithm for data stream based on hierarchical clustering and information entropy
7CA218EE	Visualizing Bag-of-Features Image Categorization Using Anchored Maps
7A3AD5F0	In vitro efficiency and mechanistic role of indocyanine green as photodynamic therapy agent for human melanoma
7CAA1937	Australian dust storms: temporal trends and relationships with synoptic pressure distributions (1960–99)
8013697A	Research on the Choice of District Resolves Solution of Chinese Railway Reform and Restructuring
7E9BEE61	HYDROELECTRIC ENERGY FORECAST
5CBD1810	A clustering validation based method for zone number determination in network partitioning for voltage control
5B3C1696	Cluster Analysis for Classifying Similar Shared Resources in Cooperative Design
77475EB8	Observational and Theoretical Constraints on Singular Dark Matter Halos
77DB2B39	Multivariate analysis of fresh-cut carambola slices stored under different temperatures
76D69B7C	Variability and predictability of Antarctic krill swarm structure
77729EF7	Structuring n-way trip distribution matrices using standardization and hierarchical clustering procedures
6F6022DE	Subtypes of adolescents with substance use disorders and psychiatric comorbidity using cluster and discriminant analysis of MMPI-A profiles
0121792D	Utilizando uma abordagem h� ibrida para interpretac � � ao do clustering hier� arquico
7F3C2F07	Facial expression synthesis based on motion patterns learned from face database
81113EB5	Comprehensive proteomic profiling identifies serum proteomic signatures for detection of hepatocellular carcinoma and its subtypes.
782DBB92	Study on Sub-Level Classification Method of Road Tunnel Surrounding Rock According to the Hierarchical Cluster Analysis
7C9B0B66	All common embedded subtrees for clustering XML documents by structure
800265A4	Gossip-based spectral clustering of distributed data streams
7D25FBE0	Improvement in LEACH protocol for large-scale wireless sensor networks
03B35F65	A Hierarchical Clustering Scheme for Unstructured Text Data
5DEFCA14	Uncentered (centered) Correlation Clustering Method Fit for Establishing Theoretical p38 MAPK Signal
79EA8856	The relationship between leisure theory and recreation practice
806D3275	Clustering Ensemble Based on Hierarchical Partition
6061EAB5	Self-organized Criticality in Hierarchical Brain Network
7B935479	Climate zones of the conterminous United States defined using cluster analysis
7A294214	The effect of non-Gaussian statistics on the mass multiplicity of cosmic structures
6BA7C8BF	Numerical Simulations of Galaxy Formation
7CFB2EAA	Factors determining the centrifugal organization of remnant Festuca grassland communities in Alberta
7D2CC9D5	Multivariate analysis of germination ability and tolerance to salinity in Agropyron desertorum genotypes in greenhouse condition
0554FFA8	Unsupervised Multiscale Image Segmentation Using Wavelet Domain Hidden Markov Tree
80D353A4	Clinicopathologic implications of tissue inhibitor of metalloproteinase-1-positive diffuse large B-cell lymphoma
7EFA0034	An Adaptive Deformation Method Based on Hierarchical Progressive Meshes
7646F167	Protein signatures associated with tumor cell dissemination in head and neck cancer
7FD14A24	Highest Column Entry Hierarchical Clustering: A Redevelopment and Elaboration of Elementary Linkage Analysis.
7C70A485	A cellular automaton model of gravitational clustering
7AB862CA	A Rough Set based PCM for authorizing grid resources
0B8F3623	Incidence of missing values in hierarchical clustering of microarrays data
778383D9	Maximally Stable Colour Regions for Recognition and Matching
5936D213	Design of a mesh-type systolic array architecture for the fast computation of the single linkage algorithm
8039454A	Legible Simplification of Textured Urban Models
79CA9BE4	Ouabain Mimics Low Temperature Rescue of F508del-CFTR in Cystic Fibrosis Epithelial Cells
0078F4FA	Extraction of topic transition from document stream based on hierarchical clustering
7B297D68	Intent and error recognition as part of a knowledge-based cockpit assistant
7F107413	Cosmological Reionization Caused by Structure Formation
7F3E1BCB	Agglomerative clustering on range data with a unified probabilistic merging function and termination criterion
6D0CA6EE	A Multivariate Statistical Approach to Comparison of Essential Oil Composition from Three Mentha Species
7C8625DE	A Hierarchical Clustering Algorithm Based on Energy and Distance Balancing for WSN
75472C1C	'Openness' and the public airwaves
5F9F88BB	Molecular Similarity Determination of Heteroaromatics Using CoMFA and Multivariate Data Analysis
5B7A83A3	Development and Validation of the Impediments to Change Scale - Educational Version : A Study of Children and Adolescents With Emotional Disturbance
7A989C58	A Hierarchical Possibilistic Clustering
7FA946A3	CLUSTERING SENTENCE LEVEL TEXT USING A HIERARCHICAL FUZZY RELATIONAL AND K-MEANS CLUSTERING ALGORITHM
71E3D31C	A hierarchical cluster based preprocessing methodology for Web Usage Mining
7BAEE957	Progressive perceptual audio rendering of complex scenes
80EF6786	Feedback-Based Closed-Loop Carrier Synchronization: A Sharp Asymptotic Bound, an Asymptotically Optimal Approach, Simulations, and Experiments
67B4528F	Evaluation of hot and cold extraction of bioactive compounds in teas
630C784D	Squarepants in a Tree: Sum of Subtree Clustering and Hyperbolic Pants Decomposition
59106D94	A new procedure for extrapolating turnover regionalization at mid‐small spatial scales, tested on British butterflies
7C703997	Perturbational profiling of a cell-line model of tumorigenesis by using metabolic measurements
615C669E	Mothe-Diniz Asteroid Dynamical Families V1.0
78BC8E76	Development and performance evaluation of neural network classifiers for Indian internet shoppers
