7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
7ACF4642	Reducing False Alarms from an Industrial-Strength Static Analyzer by SVM
7F0AE896	Support Vector Machine Based on Universal Kernel Function and Its Application in Quantitative Structure - Toxicity Relationship Model
7EC7A189	A knowledge based real-time travel time prediction system for urban network
81649CC9	Stock tracking : a new multi-dimensional stock forecasting approach
7DA0AD17	Techniques for evaluating the spatial behaviour of river fish
8088128A	Building a software cost estimation model based on categorical data
7FB3AB28	Predicting Defects for Eclipse
7F56A3A8	Predicting the Reliability of Software Systems Using Fuzzy Logic
761163C8	Investigating the effect of dataset size, metrics sets, and feature selection techniques on software fault prediction problem
7D467DAF	Solar radiation prediction using statistical approaches
7FA982AC	Performance-Oriented Drilling Fluids Design System with a Neural Network Approach
80824101	Forecasting time series with genetic fuzzy predictor ensemble
7522C726	External validation is necessary in prediction research:
80B86B7C	A computational study on solder bump geometry, normal, restoring, and fillet forces during solder reflow in the presence of liquefied underfill
7D0927FF	Bankruptcy prediction for credit risk using neural networks: A survey and new results
5FB37D4C	A hybrid battery model capable of capturing dynamic circuit characteristics and nonlinear capacity effects
80C65AF0	A genetic algorithmic approach for optimization of surface roughness prediction model
7EF708BF	A Bandwidth Management Scheme based on Time Multiplexing for Wireless Networks with Predictive Services
7EB77240	Merits of using repository metrics in defect prediction for open source projects
5AFCA8D1	Application of Data Mining Techniques in the Estimation of Mechanical Properties of Jet Grouting Laboratory Formulations over Time
7772B19F	Bundling classifiers by bagging trees
804121FB	Adaptive parameter forecasting for FOREX automatic trading system using fuzzy time series
810134F3	The effect of externally applied electrical fields on myocardial tissue
7ABDB166	Putting the parts together: Combining in vitro methods to test for skin sensitizing potentials
813CFCB3	Quantifying Changes in Building Electricity Use, With Application to Demand Response
83D499C4	Performance and Resource Prediction at High Utilization for N-Tier Service Systems in Cloud an Experiment Driven Approach
808933AE	A Continuous Murphy's Integral
801B4308	Use of importance sampling and related techniques to measure very high reliability software
7A0BCD39	Climate change increases deoxynivalenol contamination of wheat in north-western Europe
815E82CB	A Simulation Model for Two Dimensional Recording on Continuous Granular Media
80BC1DC3	Towards a chip level reliability simulator for copper/low-k backend processes
80DCFAA3	Optimal control of PMSMs using model predictive control with integrator
8128FFCE	Performance Models for Automatic Evaluation of Virtual Scanning Keyboards
6CBC4AEB	Intelligence for the personal web
5CF47F62	Application Server Aging Prediction Model Based on Wavelet Network with Adaptive Particle Swarm Optimization Algorithm
7D40B883	Implementation of hybrid short-term load forecasting system using artificial neural networks and fuzzy expert systems
7B0E0168	Personalization of search results using interaction behaviors in search sessions
7B2A3E6D	Nonlinear prediction of chaotic time series
7FCC7A19	Inclusion of hysteresis and eddy current losses in dynamic induction machine models
80175DD7	Effort-Aware Defect Prediction Models
7ED6645E	Comparative Assessment of Prediction Models in Voltage Control
780901E3	Logistic regression had superior performance compared with regression trees for predicting in-hospital mortality in patients hospitalized with heart failure.
5B847712	Predicting customer behavior via calling links
7E711C2A	Chaotic wind speed series forecasting based on wavelet packet decomposition and support vector regression
788ADDD9	Comparison of Two Negative Binomial Regression Techniques in Developing Accident Prediction Models
7DEC1F2F	Classifying feature description for software defect prediction
7FB3FBFC	Prediction-based dynamic load-sharing heuristics
7BA911C3	A Biological Assessment of Streams in the Eastern United States Using a Predictive Model for Macroinvertebrate Assemblages1
8012E500	Analysis of WiMAX Radio Measurements and Comparison With Some Models Over Dense Urban Western India at 2.3 GHz
7C011A3F	Community evolution prediction in dynamic social networks
8077E3A9	Prediction of electromagnetic forces and vibrations in SRMs operating at steady state and transient speeds
764D68F6	Inter-item correlations among function points
118E817E	Sharing Executable Models Through an Open Architecture Based on Geospatial Web Services: a Case Study in Biodiversity Modelling
804ABC83	Parameter-free, predictive modeling of single event upsets due to protons, neutrons, and pions in terrestrial cosmic rays
5A1813CD	Challenges in the Analysis of Mass-Throughput Data: A Technical Commentary from the Statistical Machine Learning Perspective
8102B20B	The Feedback Robust MPC for LPV Systems With Bounded Rates of Parameter Changes
813C0D9E	The overall small-signal model of the synchronous switch postregulator
7ED2A955	Robust model predictive control for constrained distributed delay systems
7B21DA0B	Bayesian model checking for multivariate outcome data
7D0DFD7A	Fast Video Motion Estimation Algorithm for Mobile Devices
80E08C8D	Accurate Modeling Of Vector Hysteresis Using A Superposition Of Preisach-type Models
7FB6E9B1	Monitoring NOx Emissions from Coal Fired Boilers Using Generalized Regression Neural Network
75BA5408	Accident modeling approach for safety assessment in an LNG processing facility
8137F68F	Resampling methods for input modeling
7B57BB96	SOUND INSULATION OF DOORS—PART 1: PREDICTION MODELS FOR STRUCTURAL AND LEAK TRANSMISSION
7A2C9AC5	Dislocation filtering: why it works, when it doesn�t
7743BFB9	Antenatal prediction of neonatal mortality in very premature infants.
7E704E2F	Predicting Object-Oriented Software Maintainability Using Projection Pursuit Regression
81295025	Bilinear Compensated Predictive Controller: A state variables approach
5B6F4BEE	A Stratified Model for Short-Term Prediction of Time Series
7D8D8254	Cycle time prediction in wafer fabrication line by applying data mining methods
7B021F89	An improved grey-based approach for early manufacturing data forecasting
7A22D02A	Continuous analysis of move suppressed and shifted DMC
7E99E514	Millimeter wave package design: a comparison of simulation and measurement results
8130EF71	Spike train driven dynamical models for human actions
5B291F1D	Ensemble prediction of commercial bank failure through diversification of input features
7E41B3C3	Architectural features and urban propagation
753DB01B	Bioinformatics for study of autoimmunity
75FA3FC4	Long-tail longitudinal modeling of insurance company expenses
81736796	The Effects of Over and Under Sampling on Fault-prone Module Detection
7DF966B8	Modeling Propagation Dynamics of Bluetooth Worms (Extended Version)
5ABB2536	Facts and fiction in spectral analysis of stationary stochastic processes
790F48C9	A software-reliability growth model for N-version programming systems
5F0D4DF6	Predictive control method for load current of single-phase voltage source inverters
600826AE	A simplified Mixed Logical Dynamic model and Model Predictive Control of Boost converter with current reference compensator
77959643	Self-sustained oscillations in pipe systems with multiple deep side branches: Prediction and reduction by detuning
810FD27C	Space, atmospheric, and terrestrial radiation environments
7D407A04	Hybrid artificial neural network system for short-term load forecasting
7E2DE046	Modeling manufacturing yield and reliability
7FFE4329	Channel noise modeling of deep submicron MOSFETs
7FBD14CF	Application of wavelet and neural network models for wind speed and power generation forecasting in a Brazilian experimental wind park
7AEBE0B4	Prediction of cadmium uptake by brown rice and derivation of soil-plant transfer models to improve soil protection guidelines.
7FDBF19B	A fine‐scaled predictive model for changes in species distribution patterns of high mountain plants induced by climate warming
7E81291C	Segmentation for Fabric Pilling Images Based on Edge Flow
71F7F0FD	A forecasting approach for stock index future using grey theory and neural networks
79503CE8	Soil-Tool Interaction Theories as They Apply to Lunar Soil Simulant
7F384F25	Constrained predictive control with terminal ellipsoid constraint and artificial Lyapunov function
807B594C	Predictive model for aerobic biodegradability developed from a file of evaluated biodegradation data
7E3998E3	Investigation of drain electric field and its role in impact ionization in SOI MOSFETs
80123459	SEU measurements and predictions on MPTB for a large energetic solar particle event
7529CD0E	Performance Model Estimation and Tracking Using Optimal Filters
7ED557B2	Improving MHC binding peptide prediction by incorporating binding data of auxiliary MHC molecules
797EC0DF	Predictive modeling of thermoelastic energy dissipation in tunable MEMS mirrors
78BAF607	Online Reliability Estimates for Individual Predictions in Data Streams
77AEE6DE	Climate models: challenges for Fortran development tools
7E836E81	Stochastic model predictive control of time-variant nonlinear systems with imperfect state information
7F22F2EB	Predictive data mining in clinical medicine: Current issues and guidelines
7AC4B5F7	Quantifying recontamination through factory environments—a review
7D91D8AF	Model Predictive Direct Torque Control—Part II: Implementation and Experimental Evaluation
7D8432B0	A frequency dispersion model of GaAs MESFET for large-signal applications
7AE9CA10	Modelling habitat preferences for fin whales and striped dolphins in the Pelagos Sanctuary (Western Mediterranean Sea) with physiographic and remote sensing variables
7A263A75	Sensory Effects of Transient Electrical Stimulation - Evaluation with a Neuroelectric Model
759B4A25	Soil Organic Carbon mapping of partially vegetated agricultural fields with imaging spectroscopy
7EF34E5D	Monte Carlo simulation of ions in a magnetron plasma
766225F8	A Clustering Rule Based Approach for Classification Problems
7FF7A709	Dynamic neural control for a plasma etch process
8058CB23	Performance Evaluation of Neural Network and Linear Predictors for Near-Lossless Compression of EEG Signals
7D0F7F31	Data-based dynamical modeling of externally observed actuators-only robots
79BE9DAB	Neural network prediction model for the methane fraction in biogas from field-scale landfill bioreactors
7A9A322B	Classification of personal exposure to radio frequency electromagnetic fields (RF-EMF) for epidemiological research: Evaluation of different exposure assessment methods.
8096D353	Stability of model predictive control with soft constraints
7794DD3F	Hardened density of freshly compressed concrete and its effect on mechanical properties
78B80C31	Predictive model of Vibrio parahaemolyticus growth and survival on salmon meat as a function of temperature
80C85C54	A systematic approach to software reliability modeling
805DC584	Nonlinear Model Predictive Formation Flight
79027858	Artificial neural networks approach for zeta potential of Montmorillonite in the presence of different cations
7BCB5C31	A simple empirical model to predict forest insecticide ground-level deposition from a compendium of field data
710257F7	Implications of non-stationarity on predictive modeling using EHRs
76D25040	Temperature dependence of growth kinetics of food bacteria
80B18862	Load forecasting via suboptimal seasonal autoregressive models and iteratively reweighted least squares estimation
7F55BF51	A particle swarm optimization to identifying the ARMAX model for short-term load forecasting
8007ABB3	A statistical, nonparametric methodology for document degradation model validation
7DACDD3A	Optimizing and simplifying software metric models constructed using maximum likelihood methods
802DF3E7	Decision Fusion of Machine Learning Models to Predict Radiotherapy-Induced Lung Pneumonitis
7E4DB4FD	Minimizing Leakage of Sequential Circuits through Flip-Flop Skewing and Technology Mapping
7D513743	Evolutionary regression prediction for software cumulative failure modeling: A comparative study
7D8FD58A	Using SQL Hotspots in a Prioritization Heuristic for Detecting All Types of Web Application Vulnerabilities
78C83140	Application of a modified Wheeler model to predict fatigue crack growth in Fibre Metal Laminates under variable amplitude loading
5F051027	Predicting grazing damage by white‐fronted geese under different regimes of agricultural management and the physiological consequences for the geese
759608AA	In silico prediction of unbound brain-to-plasma concentration ratio using machine learning algorithms
7E6CD687	The Impact of Business Groups on Bankruptcy Prediction Modeling
8090315E	A nonlinear propagation model-based phase calibration technique for membrane hydrophones
75B9FC8E	Shelf-life Estimation of Frankfurter Sausage Containing Dietary Fiber from Rice Bran Using Predictive Modeling
7D729F15	Probabilities and Predictions: Modeling the Development of Scientific Problem-Solving Skills.
7D9DD138	Modeling video traffic using M/G//spl infin/ input processes: a compromise between Markovian and LRD models
7094B14B	Mining Web Logs to Improve Web Caching and Prefetching
7EF34047	Urban Road Network Safety Model at the Transportation Planning Process
78FC6303	Predictive depth of jet penetration models for abrasive waterjet cutting of alumina ceramics
77F39494	Prediction modeling using EHR data: challenges, strategies, and a comparison of machine learning approaches.
8110AD65	Robust Model Predictive Control of Nonlinear Systems: Handling Rate Constraints
7BF0B495	An empirical model for predicting proton induced upset
811638E9	UAV Guidance with Control of Arrival Time
7585FB69	Novel QCA methodologies and angiographic scores
7DB56E0D	Effective models in evaluating radio coverage on single floors of multifloor buildings
761A1C49	Service Reliability Prediction Method for Service-Oriented Multi-agent System
7D4F603A	Online visualization of adaptive distributed sensor webs
7F90A0A8	Model predictive speed control with optimal torque constraints handling of drive systems with elastic transmission
7ECD3B75	Reducing synchronization overhead in parallel simulation
72AD883B	Non-stationary time-series prediction using fuzzy clustering
7592F15A	Application of artificial neural network in estimating monthly time series reference evapotranspiration with minimum and maximum temperatures
79658AF5	SpliceIT: A hybrid method for splice signal identification based on probabilistic and biological inference
7D3BC2A9	Code-excited iterated function prediction
7D32DE25	An Integration of ANN Wind Power Estimation Into Unit Commitment Considering the Forecasting Uncertainty
7E09490B	Improved Linear Prediction Technique for Musical Onset Detection
7E55E87A	Wind Speed Prediction Using OLS Algorithm based on RBF Neural Network
7EBF73A7	The Intelligent Control and Modeling of a Traffic Circle
77181F1F	Sensitivity Analysis in Predictive Models for assessing the Level of β-Glucan in Oats and Barley Cultivars Using Meta-Models
7F273B11	Improved multi-level pedestrian behavior prediction based on matching with classified motion patterns
78A8FDC0	Predicting patient risk of readmission with frailty models in the Department of Veteran Affairs
8078F995	Simplified model predictive control for a shunt active power filter
7DAA2F18	Simulation Differences Between Academia and Industry: A Branch Prediction Case Study
777E154A	Decompressive craniectomy for neurotrauma: the limitations of applying an outcome prediction model
60E58E3C	Model Predictive Control of Modular Multilevel Matrix Converter
8045675B	Application of chaotic particle swarm optimization in the short-term electricity price forecasting
7D081347	Modeling of cross-regulation in multiple-output flyback converters
80C09982	First-state contractive model predictive control of nonholonomic mobile robots
7F1E5C49	CASRE: a computer-aided software reliability estimation tool
76452BCB	Patient No-Show Predictive Model Development using Multiple Data Sources for an Effective Overbooking Approach
7C3D2F3D	Growth hormone therapy
7E70D709	Clinical Measures Identify Vitamin D Deficiency in Dialysis
765E4BDE	Propagation prediction model and performance analysis of RFID system under metallic container production circumstance
5C639034	A survey on web usage mining techniques and applications
58E003A1	GaN HEMT Noise Model Based on Electromagnetic Simulations
78794439	Estimating physical soil parameters for sample plots of large-scale forest inventories
7701B3EF	Development and validation of a predictive model for chemotherapy-associated thrombosis.
805112E8	Evaluating the Effectiveness of Personalized Web Search
804567E1	A hydrogen-transport-based interface-trap-generation model for hot-carrier reliability prediction
7E30A756	Monte Carlo simulation of radiation effects in microelectronics
7F490E67	Nonlinear model predictive control of a continuous bioreactor using approximate data-driven models
7D18142D	A risk-based strategy for power system optimization
810D32B7	Predicting Soft Tissue Deformation Based on an Improved Biomechanical Model
813A4589	Prediction of software faults using fuzzy nonlinear regression modeling
7755894B	Investigation of stochastic implementation of reaction diffusion (RD) models for NBTI related interface trap generation
80931271	Moderately rough surface underground imaging via short-pulse quasi-ray Gaussian beams
7961D6B9	Mineral Resource Prediction and Assessment of Copper Multi-mineral Deposit Based on GIS Technology in the North of Sanjiang Region, China
7D0A3AE0	Circum-Pacific Seismic Potential: 1989–1999
7BCBA087	Towards a domain-specific framework for predictive analytics in manufacturing
7FA5FADD	Geospatial predictive modelling of the Neolithic archaeological sites of Magnesia in Greece
8000EAB3	An Adaptive Markov Game Model for Threat Intent Inference
7A2C1D86	Decoding continuous variables from neuroimaging data: basic and clinical applications.
798BFAE3	Predicted and observed growth and toxigenesis by Clostridium botulinum type E in vacuum-packaged fishery product challenge tests
77BC18A9	Preoperative Prostate-specific Antigen Isoform p2PSA and Its Derivatives, %p2PSA and Prostate Health Index, Predict Pathologic Outcomes in Patients Undergoing Radical Prostatectomy for Prostate Cancer: Results from a Multicentric European Prospective Study.
7187C408	Climate and satellite‐derived land cover for predicting breeding bird distribution in the Great Lakes Basin
7FFD0400	Research on combination forecast method of instrument precision
7D88939F	Application of some theoretical models for coverage prediction in macrocell urban environments
80616853	Prediction models for short children born small for gestational age (SGA) covering the total growth phase. Analyses based on data from KIGS (Pfizer International Growth Database)
7FD2C408	Nonlinear model predictive control using neural networks
78917157	Predicting Future Threats to the Native Vegetation of Robinson Crusoe Island, Juan Fernandez Archipelago, Chile
7DB2264A	Extended forecast of CPU and network load on computational Grid
80273794	Accelerating Multiprocessor Simulation with a Memory Timestamp Record
801182F9	Assessment of a stochastic interpolation based parameter sampling scheme for efficient uncertainty analyses of hydrologic models
7854C5D2	Modeling the effect of temperature on the growth rate and lag phase of Penicillium expansum in apples
803D4321	Link prediction approach to collaborative filtering
754A3C22	Two New Algorithms for On-Line Modelling and Forecasting of the Load Demand of a Multinode Power System
7F239A43	Financial Market Trading System With a Hierarchical Coevolutionary Fuzzy Predictive Model
78C9F5D8	A survey of business failures with an emphasis on prediction methods and industrial applications
7CF61380	Electric Load Forecasting Based on Statistical Robust Methods
7E8CA0A9	Statistical analysis of embedded capacitors using Monte Carlo simulation
7EBD1E47	Evaluating performance tradeoffs between fine-grained and coarse-grained alternatives
7CBB5F24	Intensive Care Unit Admission Parameters Improve the Accuracy of Operative Mortality Predictive Models in Cardiac Surgery
7DEC4899	The effect of bilateral contracting and demand responsiveness on market power in the Mexican electricity system
7F86E9E4	On Non-sequential Context Modeling with Application to Executable Data Compression
8101E662	An evaluation of linear models for host load prediction
813C3191	A Hybrid Particle Swarm Optimization Neural Network Approach for Short Term Load Forecasting
7CEED8CE	Evaluating prediction models in reproductive medicine
5E060F72	Key factors influencing worm infection in enterprise networks
7AF42117	Effects of temperature, pH and sugar concentration on the growth parameters of Saccharomyces cerevisiae, S. kudriavzevii and their interspecific hybrid
7C84026D	An Incremental-and-Static-Combined Scheme for Matrix-Factorization-Based Collaborative Filtering
8129BD5A	Performance modeling using anthropometry for minority population
7F2B12A2	Optimizing intensive care capacity using individual length-of-stay prediction models.
7CE895A0	Fuzzy temporal rules for mobile robot guidance in dynamic environments
7F09D115	The Forecasting of China Natural Gas Consumption Based on Genetic Algorithm
776E363A	Accident modelling and safety measure design of a hydrogen station
7EAF981B	Short-Term Load Prediction For Economic Dispatch Of Generation
7E9B4FB8	Modeling of Cold Cathode Fluorescent Lamps (CCFLs) With Realistic Electrode Profile
775B76AE	Short-term air quality prediction using a case-based classifier
76368F24	Data-based construction of feedback-corrected nonlinear prediction model using feedback neural networks
7E45D308	A Recommendation Agent for Mobile Phone Users Using Bayesian Behavior Prediction
7D846102	Accurate prediction of physical design characteristics for random logic
8101305E	The predictive value of medical history taking and Chlamydia IgG ELISA antibody testing (CAT) in the selection of subfertile women for diagnostic laparoscopy: a clinical prediction model approach
780FADFF	Optimization of solar-powered reverse osmosis desalination pilot plant using response surface methodology
7D21B1AA	Constructing a point-based prediction model for the risk of coronary artery disease in a Chinese community: A report from a cohort study in Taiwan
76AE26A4	Predicting Cumulative Number of Failures in Software Using an ANN-PSO Based Approach
7D556635	Intelligent forecasting system based on grey model and neural network
7CFE7E9D	Constraining the size of the instantaneous alphabet in trellis quantizers
7F4D4A63	Implementing the PPM data compression scheme
791FAEA0	Identification of chronic hepatitis B patients without significant liver fibrosis by a simple noninvasive predictive model.
73FE9900	Decentralized model predictive load-frequency control for multi-area interconnected power systems
76D2D310	Supervised group Lasso with applications to microarray data analysis
801C3C79	Very Short-Term Load Forecasting Based on ARIMA Model and Intelligent Systems
59C08966	How can a transport model be integrated to the strategic transport planning approach: A case study from Budapest
7FC00F3D	Neural-network prediction with noisy predictors
77396963	A symbolic fault-prediction model based on multiobjective particle swarm optimization
7B43C7DE	The Utstein template for uniform reporting of data following major trauma: A joint revision by SCANTEM, TARN, DGU-TR and RITG
7F81C3AC	Control of integral processes with dead time.3. Deadbeat disturbance response
7C7E6A5D	Predicting voting behavior with implicit attitude measures : the 2002 German parliamentary election
7BFB7421	Predicting benefit from fulvestrant in pretreated metastatic breast cancer patients
7B2145ED	STAP: Spatial-Temporal Attention-Aware Pooling for Action Recognition
7676EB6E	Predicting the efficiency of UAG translational stop signal through studies of physicochemical properties of its composite mono- and dinucleotides
7798731C	Use of tolerance values to diagnose water-quality stressors to aquatic biota in New England streams
80821B7D	Critical assessment of new risk factors for breast cancer: considerations for development of an improved risk prediction model
7E437090	A distributed and self-calibrating model-predictive controller for energy and thermal management of high-performance multicores
75A3AC68	Long-term Surface Elevation Change in Salt Marshes: a Prediction of Marsh Response to Future Sea-Level Rise
80838B9B	An Adaptive Media-Aware Retransmission Timeout Estimation Method for Low-Delay Packet Video
7D7EAB12	Spatio-temporal rain attenuation model for application to fade mitigation techniques
7B0E2DD3	Development of amperometric horseradish peroxidase based biosensors for clozapine and for the screening of thiol compounds
