7632557C	Information not present<---Quality of service provision under channel fading
75AF80A8	Ieice Transactions<---100 Gb/s Ethernet Inverse Multiplexing Based on Aggregation at the Physical Layer
7EF3D31A	IEEE Transactions on Communications<---Outage probability in Nakagami channels using fade duration distribution approximate results
5999F9F0	Personal, Indoor and Mobile Radio Communications<---A low complexity directional scheme for mobile ad hoc networks
80664FD2	IEEE Transactions on Communications<---Cross-Layer Rate and Power Adaptation Strategies for IR-HARQ Systems over Fading Channels with Memory: A SMDP-Based Approach
5CC688E9	Information not present<---An enhanced noise cancelling system for a comprehensive monitoring and control of baby environments
78533B2F	IEEE Journal on Selected Areas in Communications<---Cross-Layer Handoff Design in MIMO-Enabled WLANs for Communication-Based Train Control (CBTC) Systems
7ADDEFD6	Information not present<---Modeling Information Utility in Systems of Systems
806F6A61	International Conference on Computer Communications<---Flow Control Over Wireless Network and Application Layer Implementation
8034F86D	Global Communications Conference<---Providing Secrecy Irrespective of Eavesdropper's Channel State
597B1B20	Vehicular Technology Conference<---A Cross-Layer Aware Sensing-Throughput Tradeoff for Multi-Channel Cognitive Radio Networks
7FC76B93	New Technologies, Mobility and Security<---Security Analysis of Tu and Piramuthu's Protocol
7FE9B466	Advanced Materials Research<---Equipment Design for Classroom Electrical Monitor Based on Power Line Carrier Communication
78C812D5	International Conference on Computer Communications<---What details are needed for wireless simulations? - A study of a site-specific indoor wireless model
16B1D10C	Information not present<---基于3G通信的PLC嵌入式监控终端设计与实现Design and Realization of Embedded Termination of PLC Equipments’ Remote Monitoring Based on 3G Technology
7CD60139	Information not present<---Cross-layer call admission control in packet CDMA wireless networks employing ARQ
7F5713A5	Consumer Communications and Networking Conference<---Implementation Experience of a Prototype for Video Streaming over Wireless Mesh Networks
77D0DC7E	IEEE Communications Magazine<---IPTV Systems, Standards and Architectures: Part II - Application Layer FEC In IPTV Services
7FF2A5B8	Pacific-Asia Workshop on Computational Intelligence and Industrial Application<---Design of the embedded remote monitor system for building automation system based on the VxWorks
7D9C9ADB	Information not present<---Robust IEEE 802.15.4a energy detection receiver using statistical interference modeling
5D055E95	Information not present<---802.11b wireless LAN enhancement using space-time transmitter beamforming
7E7674DE	Wireless Communications and Networking Conference<---Multilevel type-II HARQ with adaptive modulation control
78B48A50	IEEE\/OSA Journal of Optical Communications and Networking<---A Power Consumption Analysis for IP-Over-WDM Core Network Architectures
787C92AB	Journal of Network and Computer Applications<---Review: Relay technologies and technical issues in IEEE 802.16j Mobile Multi-hop Relay (MMR) networks
72BF1E1F	Vehicular Technology Conference<---Physical layer design for packet data over IS-136
7EBF58DD	Pacific-Asia Conference on Circuits, Communications and Systems<---An Empirical Likelihood Scheme for Signal Detection in MIMO Systems with Nonlinear Interference
8043DF70	Journal of The Society for Information Display<---Motion artifact elimination technology for liquid‐crystal‐display monitors: Advanced dynamic capacitance compensation method
73818FD3	International Conference on Communications<---Cooperative jamming for secure communications in MIMO Cooperative Cognitive Radio Networks
7D46D4BC	Local Computer Networks<---Effect of hidden terminals on the performance of IEEE 802.11 MAC protocol
7D6A8AE3	Global Communications Conference<---Cross Layer Multirate Adaptation Using Physical Capture
7E7289D0	International Solid-State Circuits Conference<---A Dual-Channel Direct-Conversion CMOS Receiver for Mobile Multimedia Broadcasting
7E35E601	Global Communications Conference<---Cross-layer MAC design for wireless networks using MIMO
84AB55CC	Modeling Analysis and Simulation of Wireless and Mobile Systems<---Traffic scheduling for frame length minimization in OFDMA based systems
7F3680BA	Document Analysis Systems<---Enabling FlexRay for avionic data buses
764D0B65	Computer and Information Technology<---Discrete-Time Simulator for Wireless Mobile Agents
7E871623	Information not present<---Ekta: an efficient DHT substrate for distributed applications in mobile ad hoc networks
809997ED	Vehicular Technology Conference<---Random Beamforming OFDMA for Future Generation Cellular Communication Systems
810225BE	International Conference on Networking<---Comparison of Two Forward Error Correction Approaches for Packet Protection in HDTV with Variable Bit Rate Transmission
7E647D99	Information not present<---A model analysis method of cognitive radio based on game theory
7E56978C	Information not present<---QoS-aware RWA algorithms for path-protected DWDM networks
7F6921F6	Local Computer Networks<---On the potential connectivity advantage of multiple relay technologies in wireless sensor networks
7EC85BD9	Panhellenic Conference on Informatics<---A Study on the Performance of Adaptive Modulation and Cross-Layer Design in Cognitive Radio for Fading Channels
0CC4F5C6	Information not present<---Mitsubishi MDT221WTF Viseo HD Monitor With Tuner | Gear Live
7AD81015	IEEE Transactions on Wireless Communications<---Effective Capacity for Multi-Rate Relay Channels with Delay Constraint Exploiting Adaptive Cooperative Diversity
7D5110B0	Optics Express<---Short range radio research in Twente
7B540970	ACM Sigcse Bulletin<---A tutorial program for propositional logic with human/computer interactive learning
7E0A5595	Pacific-Asia Conference on Circuits, Communications and Systems<---A New Cross-Layer Interface for MANET
7E5138B2	Information not present<---Power-optimized cooperative spectrum sensing in cognitive radio networks using bandit processes
7E93B84F	Global Communications Conference<---GMPLS-Based Hybrid 1+N Link Protection Over p-Cycles: Design and Performance
30594B8F	Information not present<---FORWARD SCATTER FROM PRECIPITATION AS AN INTERFERENCE SOURCE AT STATIONS MONITORING SATELLITES
7F6984BD	IEEE Communications Magazine<---Cross-Layer Modeling for QoS-Driven Multimedia Multicast/Broadcast over Fading Channels in Mobile Wireless Networks
75D23535	Ieice Transactions<---A New User Selection Measure in Block Diagonalization Algorithm for Multiuser MIMO Systems
772FAC4E	Information not present<---A Non-Invasive Ultrasonic Urinary Bladder Internal Pressure Monitoring Technique: Its Theoretical Foundation and Feasibility Test
81200A58	Information not present<---Resource management in software radio environment
7DAFE546	Information not present<---Performance of linear multi-user MIMO precoding in LTE system
7B74DF55	Information not present<---The WINLAB Network Centric Cognitive Radio Hardware Platform - WiNC2R
7A865358	Information not present<---QoS routing in MANET through cross-layer design with BER and modifying AODV
6F848C26	Document Analysis Systems<---Performance of VDL mode 2 for the Aeronautical Telecommunications Network
75FFC73E	Information not present<---Performance of a point-to-multipoint WiFi network in 400/700 MHz band
7DECA1AD	Global Communications Conference<---A load-aware handoff and cell-site selection scheme in multi-cell packet data systems
803BF788	Information not present<---Vertical interconnect measurement techniques based on double-sided probing system and short-open-load-reciprocal calibration
777E008E	Information not present<---A new algorithm to find the optimal numbers and locations of power quality monitors
811A40DF	IEEE Transactions on Consumer Electronics<---Internet Access For Personal Mobile Equipments In A Wireless WAn Environment
70C1D62E	Information not present<---Low delay and high quality scheme for H.264 video transmission
80577F20	Vehicular Technology Conference<---Dynamic power-conscious routing for MANETs: an initial approach
7E75F583	Information not present<---Medical Writing: Some examples rewritten
81115913	Wireless Communications and Networking Conference<---XLRP: Cross Layer Routing Protocol for Wireless Sensor Networks
8029BB2C	Wireless Communications and Networking Conference<---Bridging the Gap between Physical Layer Emulation and Network Simulation
596CA05C	Information not present<---Design principles and practical implementation of a Situation Aware Multipath routing algorithm
5A359D59	International Conference on Networks<---International aspects of the B-ISDN signalling network
5DAF6427	International Conference on Telecommunications<---CSMA/CA with multiple-variable contention window for wireless multimedia communication systems
77D07975	Procedia Engineering<---Research and Implementation of Monitoring System for Injection Pump Durability Tester
59886E4A	Resource and Energy Economics<---The consumer electronic bus symbol encoding sublayer: a twisted pair implementation
78663E35	Information not present<---Software defined radio
80889C93	Ubiquitous Computing<---State of the Art in Cross-Layer Design for Cognitive Radio Wireless Networks
7F69524D	Archives Des Maladies Professionnelles Et De L Environnement<---Joint adaptive rate control and randomized scheduling for multimedia wireless systems
7E3A0737	Information not present<---Intelligent cross-layer adaptation scheme for wireless links with QoS-guaranteed traffic
817730E1	International Solid-State Circuits Conference<---A gigabit transceiver chip set for UTP CAT-6 cables in digital CMOS technology
7E601A8D	Information not present<---Experimental demonstration of a self-optimised multi-bit-rate optical network
58D007A4	Information not present<---Agile all-photonic networks
7FB41377	International Conference on Computer Communications<---Performance Comparison of Weather Disruption-Tolerant Cross-Layer Routing Algorithms
804D67DE	IEEE Transactions on Communications<---Performance Analysis of the IEEE 802.15.4a UWB System
79D04947	Wireless Communications and Networking Conference<---Practical Physical Layer Network Coding in Multi-Sources Relay Channels via the Compute-and-Forward
7D8DCEE8	Intelligent Service Robotics<---Simultaneous localization of multiple unknown CSMA-based wireless sensor network nodes using a mobile robot with a directional antenna
5BE08672	Information not present<---An efficient distributed ad hoc MAC protocol for UWB time-hopping code impulse radio
80052A6D	Personal, Indoor and Mobile Radio Communications<---Comparison of the Smart Antenna Architectures for OFDM-WLAN Systems in a Rich Multipath Environment based on a Spatio-Temporal Channel Model
7DA89DF0	Information not present<---Investigation of intense electromagnetic transient phenomenon with application to fast switching physics
00596793	Information not present<---[abstract] PERFORMANCE EVALUATION OF TRANSCUTANEOUS OXYGEN (TcPO2) MONITORS.
81738357	Vehicular Technology Conference<---Robust and High Data Rate Wireless Link for Security Between a Bus and a Control Centre
791F93FF	Information not present<---Design of the control system for the 1.8-GeV third-generation synchrotron-radiation source at TSRF
7FB4F3FD	IEEE Transactions on Intelligent Transportation Systems<---A Model of Risk-Sensitive Route-Choice Behavior and the Potential Benefit of Route Guidance
7F76C351	Journal of Software<---Timeslot-Reservation Based Weighted Fair Scheduling
5C51A68A	International Convention on Information and Communication Technology, Electronics and Microelectronics<---Developments and current trends in Ethernet technology
80281B61	Signal Processing Systems<---Transport level performance-energy trade-off in wireless networks and consequences on the system-level architecture and design paradigm
7F08D26D	International Conference on Wireless Communications and Mobile Computing<---Graph coloring based physical-cell-ID assignment for LTE networks
80F33A3E	Information not present<---Joint phy-mac design for opporunistic spectrum access with multi-channel sensing
0CECA9F4	Information not present<---LTE-Advanced: a hardware-software development environment (無線通信システム)
7EAB0D0F	IEEE Transactions on Mobile Computing<---Performance impact of interlayer dependence in infrastructure WLANs
7FC51237	Symposium on Application Specific Processors<---Heterogeneous multi-core architectures with dynamically reconfigurable processors for wireless communication
7C5235D9	Information not present<---Quality of Service Networking for Smart Grid Distribution Monitoring
75AD2CF1	Ocean Engineering<---A hierarchical real-time control architecture for a semi-autonomous underwater vehicle
7B1777D8	Information not present<---Performance assessment based on field measurements of Mobile Satellite Services over hybrid networks in S-Band
7F5CCF1E	International Conference on Communications<---High Order Geometric Range Free Localization in Opportunistic Cognitive Sensor Networks
7F000933	Multimedia Signal Processing<---Medium access control with channel state information for large sensor networks
592157BB	Information not present<---Delay-aware energy-efficient communications over Nakagami-m fading channel with MMPP traffic
59B07E6D	Information not present<---Progressive MS Treatment Algorithms
05236F9D	Information not present<---DISTI | VIJESTI - DISTI večer na 17. Sarajevo Film Festivalu
81059DDF	Information not present<---Experimental demonstration of an enhanced impairment-aware path computation element
07598E14	Information not present<---Cross layer design and performance analysis of 3G cellular CDMA downlinks
7BD2A918	Information not present<---Design of the SPI interface of 10-gigabit ethernet with FPGA
76E91A7D	IEEE Signal Processing Magazine<---Optimized error protection of scalable image bit streams [advances in joint source-channel coding for images]
7F2636D9	Consumer Communications and Networking Conference<---Dimensioning Hierarchical WiMax-WiFi Networks
77F51D11	Information not present<---Developing cyber-physical experimental capabilities for the security analysis of the future Smart Grid
7F69336A	Information not present<---Design and Implementation of a Software Radio based WiMAX Communication System using LabVIEW
589F7D06	International Conference on E-Business and E-Government<---Notice of Retraction Construction vision of beijing e-government reticulation structure
81700A77	Applied Mechanics and Materials<---MVEE: A Defence Mechanism against Code Injection Attacks
25736F10	Information not present<---Low complexity iterative MIMO receivers for DVB-NGH using soft MMSE and quantized log-likelihood ratios
8140EDE3	Information not present<---Adaptive cross-layer resource allocation for wireless orthogonal-access networks
149EF224	Information not present<---In-Ear Monitoring For Control Freaks - DRUM! Magazine
7DDF00B7	Conference on Communication Networks and Services Research<---TCP Dynamics and Adaptive MAC Retry-Limit Aware Link-Layer Adaptation over IEEE 802.11 WLAN
7DAFD053	Advanced Materials Research<---Monitor for the Construction for Extra Large Solder Ball Grid Roof
6F1EEC4C	Free Radical Biology and Medicine<---Network based remote control of multiple satellite teleports
8386D8F6	Information not present<---The European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment: Genesis of an Exemplary Model of International Control on Human Rights
81376850	IEEE Wireless Communications<---IEEE 802.11s: The WLAN Mesh Standard
5F954D05	Real-Time Systems Symposium<---Building robust wireless LAN for industrial control with DSSS-CDMA cellphone network paradigm
7F7129E5	International Conference on Multimedia and Expo<---A Handover Approach to DVB-H Services
5BDBF8BC	Information not present<---Recent progress in the Optical Pan-European Network project (ACTS/OPEN)
7E37C738	Wireless Communications and Networking Conference<---Fair and efficient scheduling in wireless networks with successive interference cancellation
80941876	Global Communications Conference<---A Cross-Layer Solution for Ultrawideband Based Wireless Video Sensor Networks
7970F803	IEEE Transactions on Communications<---A hybrid contention-based TDMA technique for data transmissions
194D2105	Information not present<---インプラント施術時における術中管理システムの研究-第1報 Video Overlay Monitoring Systemの構築-
802476C7	International Conference on Communications<---An integrated data-link energy model for wireless sensor networks
7E63F982	Journal of Lightwave Technology<---A Novel Offline Physical Layer Impairments Aware RWA Algorithm With Dedicated Path Protection Consideration
7AB07CBA	Information not present<---MPA: Committees: Finance and Resources reports 17-Feb-11 (02)
03D99EB7	Information not present<---Wireless Sensor Networks: QoS Provisioning at MAC and Physical Layers
062C49FB	Information not present<---Development and Verification of Web-based Bridge Monitoring Interface
7465E03E	Information not present<---IEEE Std 802.11n-2009 Standard with IEEE 802.11n Physical Layer eLearning Tutorial - Bundle
100B8127	Information not present<---BenQ Goes Green with LED-backlit V2400 and V220 Eco | Gear Live
812D5F78	Information not present<---System-level modeling and performance analysis of IEEE802.11 wireless communication protocol
76A3D29A	International Conference on Wireless Communications and Mobile Computing<---Predicting burst error statistics of digital wireless systems with HARQ
5C142E3C	IEEE Transactions on Information Theory<---Energy Efficient Error Correction in Mobile TV
5AF4E79C	Cluster Computing<---Studying vertical dependence to improve NFS performance in wireless networks
8104320C	IEEE Signal Processing Letters<---A Blind Fine CFO Synchronization for UWB-OFDM
7E93EF3C	Local Computer Networks<---A deterministic communication protocol for distributed real-time systems
30BDDBD9	Information not present<---VDL Mode 2接收機架構之研究及DSP實現
76B300A0	Proceedings of SPIE<---Broadband wireless optical network technology
7ED35F17	Information not present<---Sectorprofielen arbeidsongevallen. Bijlage bij de Monitor arbeidsongevallen in Nederland 2009
79A47B72	Information not present<---Tactical data link based on OMNET++
7E08B590	Global Communications Conference<---Performance enhancement in limited feedback precoded spatial multiplexing MIMO-OFDM systems by using multi-block channel prediction
7DA54139	International Symposium on Information Theory and its Applications<---Impact of nonlinear amplifiers on the UMTS system
7D146CF3	Custom Integrated Circuits Conference<---1.5 watt 622/155 Mbps single chip for full ATM-SDH/SONET physical layer in 0.5 /spl mu/m BiCMOS 3.3 V
7A61881E	International Conference on Computer Communications<---Optimal scheduling policies with mutual information accumulation in wireless networks
7DF89D0C	Wireless Network Security<---ASK-BAN: authenticated secret key extraction utilizing channel characteristics for body area networks
7588D25E	Testbeds and Research Infrastructures for the DEvelopment of NeTworks and COMmunities<---Large-scale Hybrid Testbed for Cognitive Radio Networks by Real-and-Virtual Execution
7E205ED7	IEEE Transactions on Consumer Electronics<---Performance evaluation of 'WBC over DVB-H' system
7E450763	Information not present<---Analog to digital converter resolution of multi-band OFDM and pulsed-OFDM ultra wideband systems
6672F17F	Information not present<---Archaeology and the Social History of Ships: New technologies and naval warfare
7E810BB6	International Symposium on Wireless Communication Systems<---QoS Adaptation in SIP-based VoIP calls in Multi-rate IEEE 802.11 Environments
7D706693	IEEE Transactions on Broadcasting<---An Analytical Approach for Performance Evaluation of Hybrid (Broadcast/Mobile) Networks
79AC8681	Adaptive Hardware and Systems<---High Performance Embedded Reconfigurable Concatenated Convolution- Puncturing Fabric for 802.16
80A360A2	The Astrophysical Journal<---SGR J1550-5418 Bursts Detected with the Fermi Gamma-Ray Burst Monitor during Its Most Prolific Activity
80776E8A	International Conference on Communications<---TCP performance in wireless access with adaptive modulation and coding
7AFEBB12	Performance Evaluation<---Performance evaluation of multiple-rate mobile ad hoc networks
6366C846	Free Radical Biology and Medicine<---Modified byte insertion/deletion for HDLC in ISDN
806B9347	Wireless Communications and Networking Conference<---Two Cross-Layer Optimization Methods for Transporting Multimedia Traffic Over Multicode CDMA Networks
7658CD9B	Nuclear Instruments & Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment<---Cavity BPM system tests for the ILC energy spectrometer
7EE602DE	Design, Automation, and Test in Europe<---Design of a Virtual Component Neutral Network-on-Chip Transaction Layer
753C18C7	Wireless Communications and Networking Conference<---Energy-Aware Spectrum Sensing in Cognitive Wireless Sensor Networks: A Cross Layer Approach
7E79A0FE	Information not present<---A Performance Comparison of IrBurst and IrOBEX for High-Speed Exchange of Large Data Contents
8149A6A3	Personal, Indoor and Mobile Radio Communications<---Security system for wireless local area networks
7E67D0CF	IEEE Communications Magazine<---Broadband wireless access solutions based on OFDM access in IEEE 802.16
7A8E1575	Computer and Information Technology<---An adaptive channel estimation technique for OFDM based cognitive radio systems
7DF3836B	International On-Line Testing Symposium<---Error-injection-based failure characterization of the IEEE 1394 bus
781BE764	International Conference on Intelligent Computing<---A Heterogeneous Internet Device design based on Android OS
80E68DA5	International Conference on Communications<---Fragment adaptive reduction: coping with various interferers in radio unlicensed bands
810635B6	IEEE Transactions on Broadcasting<---A Cross-Layer Delay Differentiation Packet Scheduling Scheme for Multimedia Content Delivery in 3G Satellite Multimedia Systems
7BC83FAB	IEEE Transactions on Information Theory<---Achieving Wireline Random Access Throughput in Wireless Networking Via User Cooperation
7CC71AB6	Photonic Network Communications<---Performance enhancement for impairment-aware SRLG failure protection in wavelength-routed optical networks
7FFC99C8	Information not present<---Parallelism as an Architecture for High Data Rate Networks
5E38CE7B	Information not present<---cdmaOne(R) (IS-95) technology overview and evolution
6CDCCDD7	IEEE Communications Magazine<---Rreverse link high-speed packet data support in cdma2000 1×EV-DV: upper layer protocols
75C2ED3E	Global Communications Conference<---Coset codes in a multi-hop network
59ABCFD9	International Solid-State Circuits Conference<---Session 5 overview - WLAN transceivers
858C2191	Information not present<---Robustness of Predictive Sensor Network Routing in Fading Channels
7E9ABB1A	International Conference on Communications<---Fast Flooding using Cooperative Transmissions in Wireless Networks
7DE16BD7	Wireless Communications and Networking Conference<---Reconfigurable outer block interleaving over correlated Rayleigh fading for 3GPP turbo coding
7D4D9618	Conference on Emerging Network Experiment and Technology<---Capture-aware staggering for concurrent transmissions
7C6168CB	Information not present<---End-to-end QoS guaranteed seamless handover scheme for cognitive heterogeneous networks
81339DDB	Wireless Communications and Networking Conference<---WiFlex: Multi-Channel Cooperative Protocols for Heterogeneous Wireless Devices
7D0BE0BE	Global Communications Conference<---Joint control of bandwidth and playout-delay for streaming traffic over faded links
77297DA7	Developmental Neuroscience<---Origin of the Cortical Layer I in Rodents
83059CBD	IEEE Communications Magazine<---To avoid or not to avoid CSI leakage in physical layer secret communication systems
76FC7261	Iet Communications<---Token-based opportunistic scheduling protocol for cognitive radios with distributed beamforming
7F3C45AC	Wireless Communications and Networking Conference<---Evaluation of Communication Distance of Broadcast Messages in a Vehicular Ad-Hoc Network Using IEEE 802.11p
7F683E48	Rapid System Prototyping<---Design and Implementation of an UWB Digital Transmitter Based on the Multiband OFDM Physical Layer Proposal
7883C3B1	Information not present<---Interference Mitigation by Statistical Interference Modeling in an Impulse Radio UWB Receiver
5C6EFDF7	Information not present<---The scrambler attack: A robust physical layer attack on location privacy in vehicular networks
7F542D94	Wireless Communications and Networking Conference<---Network Coded ALOHA for Wireless Multihop Networks
811EA535	Information not present<---Opportunistic Packet Scheduling in OFDM Distributed Antenna Systems
59AD8900	Information not present<---On cross-layer design of wireless networks
76EE4667	Computational Sciences and Optimization<---An Embedded Real Time Remote Control System for Home Network
80B21D71	International Conference on Intelligent Computing<---Queuing Network Models Analysis Based on CPN
7785D86A	Wireless Communications and Mobile Computing<---Cross‐layer design vehicle‐aided handover scheme in VANETs
7E483B9A	IEEE Transactions on Wireless Communications<---Cross-layer modeling for quality of service guarantees over wireless links
718F80BB	Information not present<---무선센서네트워크기반의 디지털 도어락을 이용한 홈오토메이션 시스템 개발
75C5979B	Information not present<---E-commerce application system security policy
77E804A6	Insects<---Bed Bug (Cimex lectularius L.) Population Composition as Determined by Baited Traps
7D6F91E6	Wireless Networks<---Feedback-assisted MAC protocol for real time traffic in high rate wireless personal area networks
72883190	Wireless Communications and Networking Conference<---Capacity of broadband CDMA wireless local loop systems
8150CB10	Wireless Communications and Networking Conference<---Channel Capacity of Virtual MIMO-Based Wireless Sensor Networks with Imperfect CSI
84F0AC2F	Information not present<---Mio Alpha Heart Rate Monitor Sports Watch
7EF4350B	Information not present<---Improved particle swarm optimization algorithm based cross-layer power allocation scheme in distributed antenna systems
7B2770FA	Performance Evaluation Methodolgies and Tools<---Spectrum-aware channel and PHY layer modeling for ns3
0AD5E983	Information not present<---DISTI | VIJESTI - 3-u-1 sa Distijevcima
7D84D686	Vehicular Technology Conference<---IEEE 802.11b SDMA Performance in Realistic Environments
7EEED8D1	International Conference on Networking and Services<---Broadband wireless networks for airport surface communications
7C68013C	Consumer Communications and Networking Conference<---A New Beacon Mechanism for 60 GHz Wireless Communication Networks
2423C1B9	Information not present<---SISTEMA PARA LA ADMINISTRACION DE LA INFORMACION DE ACCIDENTES EN CARRETERAS FEDERALES (SAIACF)
7D998D88	International Conference on Communications<---The performance of concatenated coding OFDM system in Intra-Flight Data Link
7EE4EF68	IEEE Transactions on Nuclear Science<---Electronics of BESIII TOF Monitor System
75CBEE2B	Information not present<---Communication range extension for the Intelligent Munitions System
70ADEBB7	Information not present<---Design and testing of a sliding-window protocol in a protocol testing system
7FADEFA4	Information not present<---Layered communications architecture for the Global Grid
7EBEFA3E	IEEE\/ACM Transactions on Networking<---Cross-layer designs in coded wireless fading networks with multicast
80F17674	International Conference on Computer Communications<---Delay-constrained scheduling: power efficiency, filter design, and bounds
804F8286	Information not present<---Integrating flash-based SSDs into the storage stack
824D97A2	Information not present<---Pthreads and Applications of Mutex-Abstraction
7DD758C8	IEEE Communications Magazine<---cdma2000 ® high rate broadcast packet data air interface design
73EB581B	Information not present<---Digitale Radiographie: Ist die Qualität der Röntgenaufnahmen am Monitor besser als am Leuchtkasten?
8016CA83	Clinical Orthopaedics and Related Research<---Cooperative Protocols for Random Access Networks
80EEF7EB	IEEE Transactions on Vehicular Technology<---Second generation wireless information networks
7D01A786	Global Communications Conference<---An Ultra-Wideband Impulse-Radio Communication Method and Transceiver
8016CA89	Information not present<---Optical layer reconfigurability: Applications and technologies
804FE58A	Wireless Communications and Networking Conference<---Radio Link Level Performance in Multi-Rate MIMO Wireless Networks: Analysis and Optimization
7A2E8A3C	Information not present<---Distributed PCI Assignment in LTE Based on Consultation Mechanism
7AEC967D	Computer Communication Review<---Repeatable and realistic wireless experimentation through physical emulation
7D305B7B	Personal, Indoor and Mobile Radio Communications<---Cross-Layer Performance Analysis of Two-Hop Wireless Links with Adaptive Modulation
7D3BF1E6	Photonic Network Communications<---On the impact of filter dispersion slope on the performance of 40 Gbps DWDM systems and networks
7E57B2E4	IEEE Journal on Selected Areas in Communications<---Channel coding and decoding in a relay system operated with physical-layer network coding
72F5ACAE	International Conference on Communications<---A collision resolution paradigm for random access channel control in multi-access wireless networks
7EE7DA77	International Conference of the IEEE Engineering in Medicine and Biology Society<---An IEEE-1394 based outlet for home automation and health care networks
7F0EAF87	Information and Communication Technologies and Development<---PDF Research on IEEE802.11 DCF in Wireless Distributed Measurement System
7D026023	Information not present<---Throughput optimization in wireless multihop networks with Successive Interference Cancellation
76CC9DD1	Information not present<---PHY-DLL dialogue: cross-layer design for optical-wireless OFDM downlink transmission
322542B1	Information not present<---A monitoring system for synoptic observations of Jovian and solar decameter- wave radio emissions
7DA26CB1	IEEE Communications Magazine<---Enabling collocated coexistence in IEEE 802.16 networks via perceived concurrency
229EDCD0	Information not present<---DISTI | VIJESTI - F-Secure Internet Security u 3 minute i 27 sekundi
7577347B	Information not present<---The Design and Implementation of MDSS Based on Data Warehouse
7D2CE2A3	IEEE Transactions on Mobile Computing<---Analysis of Cross-Layer Interaction in Multirate 802.11 WLANs
