757BA39E	Information Systems Management<--Information Hiding in Real-Time VoIP Streams
80AA5E5F	International Conference on Acoustics, Speech, and Signal Processing<--An adaptive predictor for media playout buffering
7DDF15E2	Information not present<--Erasure-robust speech coding and concealment in VoIP systems with frame packetization
7DCBCB60	International Conference for Young Computer Scientists<--A Covert Communication Model Based on Least Significant Bits Steganography in Voice over IP
01014831	Information not present<--Impact of Packet Loss Location on Perceived Speech Quality
7E1E9CC9	IEEE Transactions on Mobile Computing<--Measurement and Analysis of the VoIP Capacity in IEEE 802.11 WLAN
7E923534	Advanced Information Networking and Applications<--Stream authentication scheme for the use over the IP telephony
7F80D600	Advanced Information Networking and Applications<--High-speed stream cipher
7E03F6EF	Conference on Network and Service Management<--Risk management in VoIP infrastructures using support vector machines
652368DD	International Conference on Image Processing<--Spatially disjoint source channel coding: taking advantage of the current dial-up architecture for video over the Internet
7CEC8964	Computer Networks<--Outbound SPIT filter with optimal performance guarantees
7D662126	World of Wireless, Mobile and Multimedia Networks<--Gauging VoIP call quality from 802.11 WLAN resource usage
6D785A11	Security and Communication Networks<--On steganography in lost audio packets
58CF9412	Information not present<--Assessing the Quality of VoIP Transmission Affected by Playout Buffer Scheme
764AF17F	Information not present<--Cloud consulting: ERP and communication application integration in open source cloud systems
8054009E	ACM Computing Surveys<--VoIP steganography and its Detection—A survey
75EAC64A	Designs, Codes and Cryptography<--Enhanced Lossless Coding Tools of LPC Residual for ITU-T G.711.0
7EFA283A	International Conference on Acoustics, Speech, and Signal Processing<--Resynchronization of the Adaptive Codebook in a Constrained celp Codec After a Frame Erasure
7C8D0145	Information not present<--A technique for classification of VoIP flows in UDP media streams using VoIP signalling traffic
5C691BA5	Clinical Orthopaedics and Related Research<--On Steganography in Lost Audio Packets
7F6DAD9F	Information not present<--Performance of FMIPv6-based cross-layer handover for supporting mobile VoIP in WiMAX networks
58C68905	Information not present<--Incorporating global positioning data in real time P2P audio/video streams for mobile devices
7FCD235E	Security and Communication Networks<--A VoIP system for mobility voice security support using the VPN
78F4BCB6	International Conference on Acoustics, Speech, and Signal Processing<--Selective encryption based data security for Ogg streams
80843370	International Workshop on Quality of Service<--Fast Detection of Denial-of-Service Attacks on IP Telephony
2DDA12E0	Information not present<--Wireless Communication Systems: Source coding I: speech and audio coding
80D69E67	ACM Special Interest Group on Data Communication<--How green is IP-telephony?
80508BA5	IEEE Communications Letters<--Redundant bundling in TCP to reduce perceived latency for time-dependent thin streams
7D6DEB86	International Conference on Computer Communications and Networks<--Exploiting the flexibility of MAC layer in WiMAX networks for improved data and VoIP traffic
7550F29B	International Journal of Interdisciplinary Telecommunications and Networking<--Implement VoIP Based IP Telephony with Open Source Asterisk Architecture
036916A5	Network and Distributed System Security Symposium<--Secure IP Telephony using Multi-layered Protection
7839BC52	Information not present<--IP multimedia subsystem testbed using open source elements
79208D58	Proceedings of SPIE<--MPEG-4 low-delay general audio coding
7B1DD2CD	Information not present<--Steganography and steganalysis in voice-over IP scenarios: operational aspects and first experiences with a new steganalysis tool set
7D6F6428	International Conference on Communications<--An M-Sequence Based Steganography Model for Voice over IP
7D35A58A	Information not present<--Wireless VoIP Adaptive Source Rate Control Algorithm
75D2EB80	Multimedia Tools and Applications<--Using Transcoding for Hidden Communication in IP Telephony
58FF219F	Information not present<--A study of Skype over IEEE 802.16 networks: voice quality and bandwidth usage
0F885325	Signal Processing<--Optimal matrix embedding for Voice-over-IP steganography
7D3C3318	Information not present<--Secure steganography in audio using inactive frames of VoIP streams
84F40BB8	Information not present<--Deployment of a sustainable, production-grade VoIP system based on open source software component in an educational institution
2EC0FE68	Information not present<--LSP-Based Multiple-Description Coding for
7EEEAF03	Network Protocols and Algorithms<--Dynamic VoIP codec selection on smartphones
800A2FE1	International Conference on Acoustics, Speech, and Signal Processing<--Improved packet loss recovery using late frames for prediction-based speech coders
025B47E4	Autonomous Infrastructure, Management and Security<--SPRT for SPIT: using the sequential probability ratio test for spam in VoIP prevention
7A5925AC	Information not present<--Real time implementation of Elliptic Curve Cryptography over a open source VoIP server
