794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
7DD86B2B	Working resolution of 0010 cm^-1 between 20 cm^-1 and 1200 cm^-1 by a Fourier spectrometer
7E3A32BA	A Miniaturized Lamellar Grating Based Fourier Transform Spectrometer With Electrostatic Actuation
7E89E80E	Comparison of time-frequency distributions for Doppler spectral estimation
80C201A8	An Implementation of the L-Estimate Distributions for Analysis of Signals in Heavy-Tailed Noise
7C601B1D	Universal and special keys based on phase-truncated Fourier transform
7D3F4FB2	Analytic 1-D $pn$ Junction Diode Photocurrent Solutions Following Ionizing Radiation and Including Time-Dependent Changes in the Carrier Lifetime From a Nonconcurrent Neutron Pulse
765A03CA	Silicon Oxysulfide, OSiS: Rotational Spectrum, Quantum-Chemical Calculations, and Equilibrium Structure
7E8A8398	Eigenfunctions of the offset Fourier, fractional Fourier, and linear canonical transforms
80FA3E75	Regularization operators for natural images based on nonlinear perception models
752647B5	Discrimination and evaluation of the effects of uncompensated resistance and slow electrode kinetics from the higher harmonic components of a fourier transformed large-amplitude alternating current voltammogram
7E8D662D	Sinc Interpolation of Nonuniform Samples
78309495	A new computational algorithm for Green's functions: Fourier transform of the Newton polynomial expansion
7954D315	The Microwave Spectrum of the Methanol Dimer for K = 0 and 1 States
76119D51	A Generalized Thermoelasticity Problem for a Half-Space with Heat Sources and Body Forces
7939DFA5	A semi-analytical method for the vibration of and sound radiation from a two-dimentional beam-stiffened plate
76808248	Phasing arbitrarily sampled multidimensional NMR data.
7DC31339	Mean matrices and infinite divisibility
75975BDD	A half-space saturated poro-elastic medium subjected to a moving point load
5F7BA62B	The v 6 + v 10 band of ethane
7D68F18D	On the trade-off between mainlobe width and peak sidelobe level of mismatched pulse compression filters for linear chirp waveforms
7556A52C	Two-dimensional near-infrared correlation spectroscopy study of premelting behavior of Nylon 12
759F4B7D	Numerical Modelling of Frequency-Dependent Transmission-Line Parameters in an Electromagnetic Transients Program
773BDD9A	An illustration of modification of geomagnetic pulsation structure by the ionosphere
803F9591	Invariance between subjects of brain wave representations of language
7BC344EB	Transverse Shape Analysis of Xylem Ground Tissues by the Fourier Transform Image Analysis: III. Shape reconstruction of earlywood tracheids in 22 species and some parameters for normalizing cell shapes
7FFD6B3A	Harmonic-frequency-comb spectroscopy in the mid infrared and THz regions
76B147C0	High-Resolution Fourier Transform Spectrum of the D~2O Molecule in the Region of the Second Triad of Interacting Vibrational States
7B58DEC7	A two‐dimensional Fourier transform electron‐spin resonance (ESR) study of nuclear modulation and spin relaxation in irradiated malonic acid
7C736C01	Real-Time Walsh-Hadamard Transformation
794D1EBD	The Application of Constrained Least Squares Estimation to Image Restoration by Digital Computer
7EB1C064	A Closed-Form Approach to the Inverse Fourier Transform and Its Applications
752B5154	Fourier transform spectra and torsion–rotation structure of the CO-stretching 2 ν 8 overtone and 2 ν 8 – ν 8 hot band of CH 3 OH
77CC9548	Effects of organic and inorganic polyamine cations on the structure of human serum albumin
79C87483	Using Carrier Fringes to Study the High Temperature Deformation Behavior of a BGA Package Under Extended Dwell Times
7595C82C	Averaging lemmas and the X-ray transform
80D74312	A probabilistic technique for finding almost-periods of convolutions
7E6C4828	Short-time spectral and autocorrelation analysis in the Walsh domain
806739F2	Two Approaches of Implementing Fractional Correlation Operation
775EE4C2	Gabor and lensless Fourier transform X-ray holograms: a comparison
80940896	A Wiener-Hopf-type analysis of uniaxial substrate-superstrate microstrip structures
806626C8	Novel Inverse S Transform With Equalization Filter
75CF3B2F	Analytical full-field solutions of a magnetoelectroelastic layered half-plane
78A2C7CA	Analytical pricing of discrete arithmetic Asian options with mean reversion and jumps
7C40554F	Analysis and Convenient Formulas for Elasto-Plastic Contacts of Nominally Flat Surfaces: Average Gap, Contact Area Ratio, and Plastically Deformed Volume
7A6503CF	Diffusive and oscillatory dynamics of liquid iodobenzene measured by femtosecond optical Kerr effect
5DA013FE	Pseudo prolate spheroidal functions
76E1A472	Double interpolation des nombres euleriens
763DD5C0	Separation of HFM and NLFM signals for radar using fractional fourier transform
7E7D1C2D	Exact and Efficient Signal Reconstruction in Frequency-Domain Optical-Coherence Tomography
791F93FE	An invitation to OT syntax and semantics
7B970FE6	Non-Local Theory Solution for an Anti-Plane Shear Permeable Crack in Functionally Graded Piezoelectric Materials
812F652A	Spectral-envelope and group-delay models for transient signals—Applications to castanets and stop consonants
7BB367AB	Dynamics and stability of coaxial cylindrical shells containing flowing fluid
7AB3038E	A spectral estimation approach to contrast transfer function detection in electron microscopy
7892F836	Fourier transform Raman spectroscopy of thin films
81354FEC	Geometric invariance in space-variant vision systems: the exponential chirp transform
7E901E53	Dynamic response of frameworks by fast fourier transform
7E4143BE	On sampling functions and Fourier reconstruction methods
7A00797F	Molecular dynamic simulations of the infrared dielectric response of silica structures
7D79754E	Generalized Gabor expansions of discrete-time signals in l/sup 2/(Z) via biorthogonal-like sequences
78F9B281	Digital holographic moiré-like patterns and an application to Fourier transform profilometry
77737996	Composition of the first coordination sphere of Ni2+ in concentrated aqueous NiBr2 solutions by x-ray diffraction
762C208C	Kinetic theory of density fluctuations in a classical liquid
7D0ED519	Optimal layout for fast Fourier transform in multilayer VLSI
7DF76E6D	Visual saliency: a biologically plausible contourlet-like frequency domain approach
7C19CEF1	Mode selection and resonant phase locking in unstable axisymmetric jets
7D27121B	LQR-type distributed linear iterative averaging strategies
756831A0	The nonlinear fracture behavior of an arbitrarily oriented dielectric crack in piezoelectric materials
59474C35	An Analysis of American Options under Heston Stochastic Volatility and Jump-Diffusion Dynamics
7C9E6D06	Parasitic diffuse reflection in a Fourier transform spectrometer yielding subharmonic ghosts and line-shape distortion
7E9D5274	Computation of spectral components in system with wind generation unit
75E7C0C3	On the measure of intersecting families, uniqueness and stability
7BD8D35A	Fast Fourier transforms for finite inverse semigroups
7F2B8CCA	Characterization of the chronobiological signals based on the continuous wavelet transform
7F4FB7BA	Estimation of 3-D Ocean Wave Spectra from Spotlight Sar Data During Saxon-Fpn
7CBC4CF3	Trace formula for systems with spin from the coherent state propagator
7CC5869A	Two parallel limited-permeable mode-I cracks or four parallel limited-permeable mode-I cracks in the piezoelectric materials
753C1FF2	Rotational spectrum and structure of the Ar3–HCl symmetric top
806ED8C3	Accelerations of Zhao's methods for the numerical inversion of Laplace transform
7B8DBF72	An optoelectronic smart detector array for the classification of fingerprints
76A746CD	Fourier fringe analysis with improved spatial resolution
7EC79B57	Optical adaptive equalization of high-speed signals using time-domain optical Fourier transformation
7A8E1EDA	Designing for User Cognition and Affect in Software Instructions.
7FAC8BDC	Tensor error correction for corrupted values in visual data
78A70B22	Genomic signal processing
772B6BE4	Effect of annealing and Nd concentration on the photoluminescence of Nd3+ ions coupled with silicon nanoparticles
782995C7	Vectorized mixed radix discrete Fourier transform algorithms
790A90B2	Finite element analyses of layered visco‐elastic system under vertical circular loading
7F4AEDEB	Characterizations of Gabor systems via the Fourier transform
774F2691	The use of the Fourier transform in cardiac digital angiography
7FE65BD9	Snakes, shapes, and gradient vector flow
807BC369	Representation-theoretical properties of the approximate quantum Fourier transform
7D03F1E5	Transient Simulation Model for a Lightning Protection System Using the Approach of a Coupled Transmission Line Network
768A1D1F	Hybrid (refractive–diffractive) Fourier processor: a novel optical architecture for achromatic processing with broadband point-source illumination
759D6B5E	Water resonance suppression in proton Fourier transform NMR using a JEOL PFT-100
79B5FCEB	Gridding-based direct Fourier inversion of the three-dimensional ray transform
7B1816D1	Temperature-dependent dielectric relaxation study of binary mixture using the time domain reflectometry method
7B627DB6	Two‐dimensional electron spin echo spectroscopy and slow motions
774D09D1	Interacting with computers by voice: automatic speech recognition and synthesis
76804A55	Determination of amylose content in starch using Raman spectroscopy and multivariate calibration analysis.
78E07734	Electrostatic image theory for two anisotropic half-spaces
77BCAF7D	Multispectrum processing approach of weak H2O profiles recorded with absorption paths ranging from 20 to
81407464	Unimodular sequence sets with good correlations for MIMO radar
6398E4A0	Harmonics and interharmonics estimation using advanced signal processing methods
7B126A0C	Quantitative analysis of forward and backward second-harmonic images of collagen fibers using Fourier transform second-harmonic-generation microscopy
8021CADF	A polarimetric extension of the van Cittert-Zernike Theorem for use with microwave Interferometers
7E4779F5	A generalized wavelet transform for Fourier analysis: the multiresolution Fourier transform and its application to image and audio signal analysis
805412C5	Effect of physical stress on the degradation of thin SiO/sub 2/ films under electrical stress
7B107925	Reconstruction of the first-derivative EPR spectrum from multiple harmonics of the field-modulated continuous wave signal
7BF18EC0	Selective measurements of the self-diffusion coefficients in acetic acid-water and methanol-water systems by pulsed-gradient fourier-transform NMR
79E35477	Photochemical reactions of antioxidant sesamol in aqueous solution
7A219D5E	Nanoscale processes simulated by transforms and image processing methods
7DF4A3E3	Digital phonocardiography: a PDA-based approach
789C7612	A hybrid ant colony optimization technique for power signal pattern classification
7964429C	Three-dimensional shape reconstruction from images blurred by motion
7834A9CA	Multi-frequency heat capacity measured with different types of TMDSC
8139234C	Characterization of a 90 degrees microstrip bend with arbitrary miter via the time-domain finite difference method
7F2A6F48	The properties of liquid nitrogen
7FBCBEE8	Some results on discrete Gabor transforms for finite periodic sequences
7E233CDE	Repeated fractional Fourier domain filtering is equivalent to repeated time and frequency domain filtering
7B7F6A26	High-k titanium silicate thin films grown by reactive magnetron sputtering for complementary metal–oxide–semiconductor applications
7F4913F8	SparseRI: A Compressed Sensing Framework for Aperture Synthesis Imaging in Radio Astronomy
7BD46436	The n.m.r. spectroscopy of derivatives of 6-amino-6-deoxy-d-glucose-6-15N. 13C Fourier-transform and internuclear, double- and triple-resonance studies
77194209	Infrared and microwave investigations of interconversion tunneling in the acetylene dimer
7DA661F0	AC 2007-1038: COMPARING THE WALSH DOMAIN TO THE FOURIER DOMAIN WITH A LABVIEW-BASED COMMUNICATION SYSTEMS TOOLKIT
7F75DE0A	Distributed control of spatially invariant systems using fast iterative solutions to rationally parametric matrix problems
7DBA16EC	Phonon dispersion in poly(L‐tryptophan)
62C199AD	Scale-Space Image Analysis Based on Hermite Polynomials Theory
7E97226A	Sinusoidal frequency estimation by signal subspace approximation
77F750D2	Discriminant analysis of edible oils and fats by FTIR, FT-NIR and FT-Raman spectroscopy
760BB1A2	Three‐Dimensional Analytical Models of Contaminant Transport From Nonaqueous Phase Liquid Pool Dissolution in Saturated Subsurface Formations
7EC294D9	UNCERTAINTY PRINCIPLES FOR THE AMBIGUITY FUNCTION
7DB19F2F	On Jacobi and continuous Hahn polynomials
78EFDB03	A Frequency Dependent Solution for Microstrip Transmission Lines
7819907B	On fourier transforms of measures with compact support
7A677214	Pontryagin duality for bornological quantum hypergroups
7B026A6E	Vibrational study of a well–barrier–well thiophene–based oligomer in relation to the effective π-conjugation length
78432433	Experimental demonstration of real-time Fourier transformation using linearly chirped fibre Bragg gratings
75F24678	Characterization of ultrashort pulses by a modified grating-eliminated no-nonsense observation of ultrafast incident laser light E fields (GRENOUILLE) method
7D13AC10	Multi-fiber reconstruction from DW-MRI using a continuous mixture of von Mises-Fisher distributions
80A7B915	Analysis of heart sounds based on continuous wavelet transform
7A1CE912	Fresnel diffraction and the fractional-order Fouriertransform
7B6232E3	An example in the calculus of Fourier transforms
79FFBEA4	Mixed mode crack initiation in piezoelectric ceramic strip
7E5AAF0B	An efficient heuristic procedure for solving the state assignment problem for event-based specifications
7E060636	Generalized series imaging with multiple references [MRI]
7AE2F2E6	Fourier-transform optical microsystems
7CB5E03C	A hybrid approach to achieving both marginal and conditional balances for stratification variables in sequential clinical trials
7EF5928A	Duality and classification of bilinear time-frequency signal representations
7CEB721D	Orientation behavior of AB and ABC block copolymers under large amplitude oscillatory shear flow
7DC5D6D5	Minimization of symbolic automata
787E3F4A	Radiometric errors in complex Fourier transform spectrometry
8149FE18	Linear prediction of the one-sided autocorrelation sequence for noisy speech recognition
75BB60D3	Limiting aspect ratios of Sagnac interferometers
7C390F03	A polarization-based fast numerical method for computing the effective conductivity of composites
81189A48	Radon Transform and Harmonical Analysis Using Lines for 3D Rotation Estimation without Correpondences from Omnidirectional Vision
7CE9E6E7	Practical aspects of DFT-based frequency division multiplexing for data transmission
7AE0C399	Green’s Functions for Elastic Networks with Rigid Body Motion
784E5FC7	On the wavelet analysis of the oscillatory phenomena in He II film boiling
586693EE	Spectroscopic Investigation of Vibration-Rotation Bands in Acetaldehyde: Focus on the nν3 (n=1-5) Aldehyde CH Stretch Bands
7E01A189	A new solution for the problem of plane wave diffraction by a 2-D aperture in a ground plane
76E15F3A	Determination of C22:5 and C22:6 marine fatty acids in pork fat with Fourier transform mid-infrared spectroscopy
758D081B	Nonhomogeneous Wavelet Systems in High Dimensions
7E809175	Separation of signals and cross-terms in the Wigner distribution using adaptive filtering
7A7BEA7D	Optimal treatment of diffraction coordinates in wave packet scattering from surfaces
7FC79F1B	Estimation of frequency-delay of arrival (FDOA) using fourth-order statistics in unknown correlated Gaussian noise sources
76DA4CB1	Oscillations of the internal CO 2 concentration in tobacco leaves transferred to low CO 2
797A0230	Rotational spectrum, inversion, and geometry of 2,5-dihydrofuran⋯ethyne and a generalization about Z⋯H–C hydrogen bonds
762C5725	Interfacing a transient digitizer to a step-scan Fourier transform spectrometer for nanosecond time resolved spectroscopy
76DED236	MICROWAVE SPECTRA OF THE $Xe-N_{2}$ VAN DER WAALS COMPLEX: A COMPARISON OF EXPERIMENT AND THEORY
7F22172D	Diffraction tomographic algorithm for the detection of three-dimensional objects buried in a lossy half-space
7EC9254E	Bandwidth and rise time calculations for digital multimode fiber-optic data links
7BE49185	Near-Infrared Electronic Transitions of Pb 2
7657D300	Hardy spaces generated by an integrability condition
7C2AEAE1	Geometrically uniform frames
75385A99	Mercury-199 fourier transform nuclear magnetic resonance spectroscopy
7B104165	Obtaining Distribution Functions by Numerical Inversion of Characteristic Functions with Applications
7B9B6591	Supersonic Molecular jet Fourier Transform Interferometry Applied to Nitric Oxides
7F81E835	Fourier Transforms from a Weighted Trace Map
7E69E16E	Fourier algorithm for four-wave-mixing signals from optically dense systems with memory
793186DF	Microwave spectra of metal chlorides produced using laser ablation
7D9BE9AD	The “best balance” allocation led to optimal balance in cluster-controlled trials
7F413D0D	All-Optical Discrete Sine Transform and Discrete Cosine Transform Based on Multimode Interference Couplers
7871C924	High-resolution far-infrared spectroscopy at NSLS beamline U12IR
7C69FB42	Calculation of matrix elements in filter diagonalization: a generalized method based on Fourier transform
7DE4AF48	A hybrid fuzzy based loss minimization technique for fast efficiency optimization for variable speed induction machine
7D55306E	Free oscillations of a spherical anelastic earth
7D2C3B04	Multiple Fundamental Frequency Estimation and Polyphony Inference of Polyphonic Music Signals
75C62DD7	ESEEM of Disordered Systems in Frequency Domain: Analytical Formulae in the Case of Nuclear Spin 1/2 and Weak Hyperfine Interaction
5ACBA94B	The determination of complex refractive indices with fourier-transform interferometry—III: Computation of the complex refractive index spectrum
80153599	Fourier transform Raman spectroscopic study of prehistoric rock paintings from the Big Bend region, Texas
7A36F885	Coherence-converted population transfer FTMW-IR double resonance spectroscopy of CH 3 OD in the OD-stretch region
762FF0D4	Implementation of complex-order Fourier transforms in complex ABCD optical systems
762BD2EC	Second-harmonic generation imaging of collagen fibers in myocardium for atrial fibrillation diagnosis
78D33C33	An experimental evaluation of modulated photocurrent spectroscopy as a density of states probe
72765C4C	Rovibrational energy transfer in ortho-H2+para-H2 collisions
750B7AA1	Particle finding in electron micrographs using a fast local correlation algorithm
8009F0DC	Sound pressure measurement utilizing Light Refractive Tomography
77F6EEE1	Resolution enhancement of EPR spectra using the Fourier transform technique. Analysis of nitrosyl cytochrome c oxidase in frozen solution
7C728F70	Spectral characterization of the stochastically simulated vehicle queue on bridges
8173453F	Temporally consistent multi-class video-object segmentation with the Video Graph-Shifts algorithm
796B65E4	Similarity between Fourier transforms of objects predicts their experimental confusions
758A28AF	Spectroscopic characterization of the hydrogen bonded OC–HI in supersonic jets
80D5AE17	The use of the wavelet transform to describe embolic signals
8179A8A9	Investigation of Waveguide Mode Profiles of AWGs Using a Low-Coherence Interferometric Method
751028AF	On a Two‐Temperature Problem for the Klein–Gordon Equation
77E563A3	Surface-enhanced Raman spectroscopy of microperoxidase-11 on roughed silver electrodes
78A0A58C	Novel compressive sensing-based Dechirp-Keystone algorithm for synthetic aperture radar imaging of moving target
7752341E	Numerical analysis of isolation of the vibration due to moving loads using pile rows
77F2E594	Influence of aliphatic spacer group on adsorption mechanisms of phosphonate derivatives of l-phenylalanine: Surface-enhanced Raman, Raman, and infrared studies
76D9C74E	On the accuracy of wavefunctions obtained by the Fourier grid Hamiltonian method
7F6BE9CF	Blind Image Blur Identification in Cepstrum Domain
808701FC	On apparent counterexamples to phase dominance
7A21EC4C	A Ka -band chirped-pulse Fourier transform microwave spectrometer
7B942039	On Dual Wavelet Tight Frames
7EEA0FC0	CRITICAL ANALYSIS OF YEE AND MATCHED LAYERS ABSORBING FDTD METHOD BOUNDARY CONDITIONS FOR 2-D AND 3-D APPLICATIONS OF THE
7BE65BF6	Fourier transform millimeter-wave spectroscopy of chlorocarbene (HCCl)
7CB12D72	Recurrences in the autocorrelation function governing the ultraviolet absorption spectra of O3
0BE7B614	Applying signal processing techniques to facilitate shape modeling in industrial design
7D59470B	Comparison of randomization techniques for clinical trials with data from the HOMERUS‐trial
808A3C34	PG 1707+427: The DOV star with the simplest fourier transform
012C789A	Demanding Parallel FFTs: Slabs & Rods
7F618D34	Visual Vehicle Egomotion Estimation using the Fourier-Mellin Transform
7C9535F5	Remarks on q -space MR propagator in partially restricted, axially-symmetric, and isotropic environments
80C57CE9	Extrapolation algorithms for discrete signals with application in spectral estimation
7FCAF2B0	A new method for moving target indication and detection in multi-channel SAR data
80742DD8	A Fractional Fourier Approach SAR Imaging Method
817007F9	A Spectral Analysis of Function Composition and its Implications for Sampling in Direct Volume Visualization
7B8FE425	Des equations de Dirac et de Schrodinger pour la transformation de Fourier
79CCF4EA	Real-Time Parameter Estimation in the Frequency Domain
798AB4AC	On Mixing and Ergodicity in Locally Compact Motion Groups
7AB13828	Temporal Structures of the North Atlantic Oscillation and Its Impact on the Regional Climate Variability
8058E3AB	Scan latch partitioning into multiple scan chains for power minimization in full scan sequential circuits
75101C65	Large-scale fast Fourier transform on a heterogeneous multi-core system
794DF9B8	An online learned CRF model for multi-target tracking
7E0C99FF	Pattern Recognition Using Invariants Defined From Higher Order Spectra- One Dimensional Inputs
7F7E2C8F	Confronting the Synchronization Problem of Semantic Region Under Geometric Attacks
76743D44	New carbon chains in the laboratory and in interstellar space
7CE838A4	The Phase Shift Time Stepping Equation and the Marmousi Data Set
7650C578	Iterative Fourier transform method for phase map recovery in electronic speckle-shearing pattern interferometry
7E4DA3BD	Minimizing energy losses: Optimal accommodation and smart operation of renewable distributed generation
7A099CC1	Microwave spectrum, structure, barrier to internal rotation, dipole moment, and deuterium quadupole coupling constants of the ethylene–sulfur dioxide complex
757E582D	Iterative correction process for optical thin film synthesis with the Fourier transform method
