08220318	Perimeter Security Post 9/11
59D986C2	Past, Present and Future of E-Business
766135FB	Terahertz spectrum of ellagic acid
7C667C92	Comparison of ROC-based and likelihood methods for fingerprint verification
83CC46D0	EFFECT OF TWO ENVIRONMENTAL CONDITIONS (HOT AND FRESH) ON THE BIOMETRIC VARIABLES IN CHICKENS OF PUTS ON WEIGHT SEPARATED BY SEX AND CORPORAL CONDITION.
0DEF3117	A Study on Authentication Server of Dynamic Signature Verification System
7E9C41D2	Robust minutiae hash for fingerprint template protection
76D7C0E2	Accuracy Enhancement for Fingerprint-Based WLAN Indoor Probability Positioning Algorithm
7CC2ABFB	Coding of fingerprint images using binary subband decomposition and vector quantization
773B3A58	Multi-Modal Biometrics Authentication Using On-Line Signature and Voice Pitch
7FDCD3E8	Identification of Repeated Denial of Service Attacks
7FD8AEEC	Security Evaluation of Pattern Classifiers under Attack
79252227	Special Section in IEEE Transactions on Instrumentation and Measurement on Biometric Instrumentation and Measurement
79D8AB19	Chance-corrected measures of the validity of a binary diagnostic test
600A334E	Notice of Retraction Two Models Multimodal Biometric Fusion Based on Fingerprint, Palm-Print and Hand-Geometry
783D114C	Real Time Face Recognition System Based on EBGM Framework
75DB96CD	On-Line Signature Recognition Based on an Analysis of Dynamic Feature
75C8D322	Tracking and Retrieval of Pen Tip Positions for an Intelligent Camera Pen
79F2BC6B	Error diffusion techniques for printing fingerprint images
8044411E	Speaker Recognition System Based on GMM Multivariate Probability Distributions built-in a Digital Watermarking Token
85212E68	Security System for Mobile Voting with Biometrics
844B6957	Biometric Cryptosystem with Renewable Templates
7911C140	Implications of the advanced mini-max (AMM) classifier on non-cooperative standoff biometrics
5F342D52	Speaker identification using cepstral analysis
8052784A	An Indoor Positioning Algorithm Based on Received Signal Strength of WLAN
77406BC7	A DWT Based Approach for Steganography Using Biometrics
7DAF46CE	Research on the extraction to the Region of Interest area in palmprint
7D71E210	Using default ARTMAP for cancer classification with MicroRNA expression signatures
44141538	Beatrix: a model for multi-modal and fine-grained authentication for online banking
0B1F54E5	Biometrics and the United Kingdom National Identity Register: Exploring the privacy dilemmas of proportionality and secondary use of biometric information
77424847	On Protocol-Independent Data Redundancy Elimination
460927E5	A Numerical Taxonomic Study of Vespidae (Hymenoptera) Species from South-East Anatolia in Turkey
7ED85BFE	Clustering Multimedia Data Using Time Series
321B2DF9	Variability Analysis on Some Vespidae Species from Diyarbakir, Mardin and Sanliurfa in South-east Anatolia
80352512	A new non-contact optical device for ocular biometry
767F04B8	Image restoration of the office of the Vice President
78278565	Fingerprint Identification Simulation System
77004DA7	Numerical implementation of the multiple image optical compression and encryption technique
75F205F8	Performance evaluation of IRIS recognition algorithms using neural network classifier
7E864002	Sex determination of juvenile Dunlins migrating through the Polish Baltic region
7ABEBC88	Fingerprint recognition of wavelet-based compressed images by neuro-fuzzy clustering
598E916E	Eye and Iris Sensors
75254D10	"Sonar target-identification by means of an acoustic spectroscopy scheme"
77EB2F9E	Adaptive multimodal biometric fusion algorithm using particle swarm
772E7AB9	MTi: A method for user identification for multitouch displays
7ED9E0DE	Online personal identification agent
7F49A1F1	Aptamer-encoded nanopore for ultrasensitive detection of bioterrorist agent ricin at single-molecule resolution
7B87704D	Multimodal human verification using stereo-based 3D inforamtion, IR, and speech
80BDD839	Design of Access Control System Considering Usability and Security --Application of Vital Sign Sensing Technology--
752CFE46	Field evaluation of Arundo donax clones for bioenergy production
794CFEE5	Fingerprint pore matching method using polar histogram
5EDEC0E7	Modeling of the backscatter behavior of typical antipersonnel landmines by computer simulations
7561521A	Applicability of F-value to Classification Problems with a Numerous Number of Explanatory Variables: Toward Classification Problems in Biometric and Kansei Engineering
7B30A3A2	A NEW FAST TECHNIQUE FOR FINGERPRINT IDENTIFICATION WITH FRACTAL AND CHAOS GAME THEORY
0514E6C6	Pulmonary function evaluation during the Skylab and Apollo-Soyuz missions
844CD4C8	Using forensic handwriting analysis techniques to enhance automatic handwritten script recognition and processing
134824C0	On Experiences with (In)direct Marking Techniques for Eye Features within Evaluation of Irides Recognizing Biometric Authentication Systems
7B94D4D8	Utilização de medidas biométricas para predizer características da carcaça de cabritos Saanen
7FCCD0B8	Statistical assessment for mass-spec protein identification using peptide fingerprinting approach
809982D8	Detection of plagiarism in database schemas using structural fingerprints
7A3D4A3B	Securing cryptographic key with fuzzy vault based on a new chaff generation method
783BEA04	Audio fingerprinting to identify TV commercial advertisement in real-noisy environment
7763BCC4	Efficient discovery of unknown ads for audio podcast content
5A5321AA	Bio-Discretization: biometrics authentication featuring face data and tokenised random number
5A099D7B	User authentication in mobile telecommunication environments using voice biometrics and smartcards
7C02AE78	Raman and FTIR microspectroscopy for detection of brain metastasis
5924E3BB	Considerações sobre os direitos à privacidade e à intimidade: as tecnologias biométricas de segurança
75BD674C	Experimental study of canvas characterization for paintings
7F64BFAE	Cleaning and Processing RSS Measurements for Location Fingerprinting
764FD62F	An interactive and secure e-examination unit (ISEEU)
79FDEE7E	Noise reduction based on Nearest Neighbor Estimation for audio feature extraction
084D98CA	Matched Sampling for Causal Effects: BASIC THEORY OF MULTIVARIATE MATCHING
7BC5CEED	Comparative study of minutiae selection algorithms for ISO fingerprint templates
7E69A89F	Level curve tracking algorithm for textural feature extraction
83B6767C	Role of Biometric security for The Enhancement of Data Security
7A7D2370	On testing methods for biometric authentication
78FC7AB2	Spectroscopy study of ephedrine hydrochloride and papaverine hydrochloride in terahertz range
06C768AB	Human identification from video using advanced gait recognition techniques
78B4516F	Observer variation in field assessments of vegetation condition: Implications for biodiversity conservation
77B7DA22	Extended feature extraction technique from fingerprint
7F47EBC7	Research on Model of Biometric Identification Emergency Response in Electronic Commerce
7D7D314A	The human genome project: software challenges and future directions
73276F8A	얼굴인식 템플릿 보호를 위한 Real Fuzzy Vault
7A78ACE4	Research iris serial images quality assessment method based on HVS
7B19417C	Quantification of Pediatric and Adult Cervical Vertebra—Anatomical Characteristics by Age and Gender for Automotive Application
78B85C99	Guest Editorial Foreword to the Special Issue on Availability, Reliability, and Security
7D5F56C0	Mouse tracking, behavioral biometrics, and GEFE
77EE5A32	Simplified chain folding models as metaheuristic benchmark for tuning real protein folding algorithms?
85D7F00D	Governing through Biometrics
7C929468	Evaluating access control locks against low technology attacks
8012B1D3	Graph analysis of psychosocial factors correlations of patients with hypertension and neoplasm in Upper Silesia, Poland
76187FE4	Palm print recognition using Local Binary Pattern operator and support vector machines
83C24B52	Privacy in India - Country Report - October 2011
77C5D781	Infrared scattering scanning near-field optical microscopy using an external cavity quantum cascade laser for nanoscale chemical imaging and spectroscopy of explosive residues
788C82AD	Clustering analysis for gene expression data
7A226C0F	Retinal verification using point set matching
797399AA	Performance characterization of structured light-based fingerprint scanner
7679DA1F	Fingerprint Compression by Ridgelet Transform
7D9CCACD	Mobile user location determination using extreme learning machine
7F1C6637	Gene-Certificate Based Method for Network Trust
858F12BF	Illumination normalization using Logarithm transforms for face authentication
7BBB8B7C	Statistical analysis of information content for training pattern recognition networks
18894167	The study of the market of biometrics
808D308B	Experiments with Skin Resistance and Temperature for Liveness Detection
78A13491	On the Security of Pointcheval-Zimmer Multi-Factor Authenticated Key Exchange Protocol
7A3EF177	Implementation of remote system using touchless palmprint recognition algorithm
7537E482	User acceptance OTM machine: in the Arab culture
75431876	A biometric approach towards recognizing face in various dark illuminations
79B950DB	Single-Site Emitter Localization via Multipath Fingerprinting
737C1AF1	Image identification using the segmented Fourier transform and competitive training in the HAVNET neural network
76864F1B	Fingerprint Image Enhancement Based on Morphological Filter
78082BB0	H.264/AVC digital fingerprinting based on spatio-temporal just noticeable distortion
7DB42FEE	Emerging trends in biometric authentication
77E11EB0	Nonparametric estimation from current status data with competing risks
7B903233	Subset Methods for Recognizing Distorted Patterns
6515F88A	Effect of age and number of parturitions on uterine and ovarian variables in owl monkeys
7EBED6CE	Detecting Similar Files Based on Hash and Statistical Analysis for Digital Forensic Investigation
7517A833	Signature verification system using Support Vector Machine
77555CBD	In vivo nickel allergic contact dermatitis: human model for topical therapeutics.
7B105C86	High speed VLSI architectures for DWT in biometric image compression: A study
7E506E06	Fingerprint Template Protection Using One-Time Fuzzy Vault
781EB716	Steganography based Multi-modal Biometrics System
5F5A2676	A fresh look into the biometric authentication Perspective from Shannon's secrecy system and a special wiretap channel
761012CB	Real-time recognition of humans by their walk
7E8BAEA7	NASA Human Health and Performance Data
26CDAD70	Checkpoint systems face tests
5B99A81C	The role of test administrator and error
75DC4548	Hi, ho, Silver! - SPECIAL ISSUE INTRODUCTION
7C5C5711	A New Method to Discriminate Wireless Location under Noisy Circumstance
82B8F89A	Los arquitectos corporales en la Educación Física y los Deportes. Entre fichas, saberes y oficios (Argentina primera mitad del siglo XX)
83EA38E8	Past, Present and Future of E-Business
7E5F4B64	Analysis of denoising filters for photo response non uniformity noise extraction in source camera identification
80F82692	A novel ultrasonic sensing based human face recognition
772FD6A3	A novel approach for matching of dental radiograph image using Zernike moment
7D0DC35A	On Automatic Absorption Detection for Imaging Spectroscopy: A Comparative Study
755A21C8	A multistage framework for dismount spectral verification in the VNIR
810337C6	Globalization of infectious diseases: the impact of migration.
7E0B5434	Structural Change Detection of Time Series Using Sequential Probability Ratio Test
2EF1C216	Przetwarzanie obrazów daktyloskopijnych w systemach automatycznych identyfikacji człowieka
75EF9B21	Chemical vapor deposition of epitaxial garnet films
7DD3E9ED	Environment-adaptive multi-channel biometrics
80B87BCE	Advanced Grid Programming with Components: A Biometric Identification Case Study
7BF33EBF	DATA ACQUISITION AND RECOGNITION OF FINGERPRINTS WITH LVQ
7B2DE3B8	A wavelet-based approach to face verification/recognition
7552DA81	Adaptive error correction codes for face identification
80F65366	Fluctuation-Enhanced Sensing With Zero-Crossing Analysis for High-Speed and Low-Power Applications
85914DAE	Distributed Wireless Face Recognition System
77A7FCFD	Rebound on Symmetric Tardos Codes
81A7129B	Taxonomic and geographic differentiation of Pinus mugo complex on the needle characteristics
860658B3	Estimating length, average diameter and surface area of roots using two different Image analyses systems : New challenges for rhizosphere research at the entrance of the 21st Century
7FC5A5B7	Affectionate computing: can we fall in love with a machine?
7AE19E63	Palmprint Authentication Based on DCT-Based Watermarking
7F893657	Fingerprint Recongnition Using Espatial Minutae Information
7E4D056E	A Parameter-Free Framework for General Supervised Subspace Learning
621A11F4	A robust personal identification through faces based on isodensity maps
79C102C3	Security applications of a remote electric-field sensor technology
7972A9BF	Relationships between Soil–Landscape and Dryland Cotton Lint Yield
7B4839BE	Mobility Should be Fun. A Consumer (Law) Perspective on Border Check Technology
7C77BFF0	Design of the new multi-purpose study state recorder of student for road sense based on fingerprint identification
6E6FF521	Biometric signature verification
7B2CCDB9	Improved object optimal synthetic description, modeling, learning and discrimination by GEOGINE© computational kernel
06F7D378	Feature Level Fusion of Palmprint and Iris
79894396	Analysis of CDOM fluorescence spectrum characteristics in coastal water and its application
75E7DC36	Muscle strength and endurance following lower limb suspension in man
59940998	Progress of Ubiquitous Information Services and Keeping Their Security by Biometrics Authentication
5B431971	Comparison between innovative approaches of RFID based localization using fingerprinting techniques for outdoor and indoor environments
142EEB13	Optical Storage and Optical Information Held in Taipei, Taiwan on 26-27 July 2000
81188567	Application of the support vector machine algorithm in distinguishing Chinese herbal medicine fingerprint diagram data
6CC1BDEE	PBAS를 이용한 실루엣 기반 걸음걸이 인식
68CD03B8	Molecular phylogeny and biometrics of lessepsian puffer fish Lagocephalus sceleratus (Gmelin, 1789) from Mediterranean and Red Seas, Egypt
76FAED5A	Robust human identification using ecg: eigenpulse revisited
7DEDC4BC	Biometric valence and arousal recognition
7B23A382	A survey of secure fingerprinting localization in wireless local area networks
7BEA5531	Performance of ASML YieldStar μDBO overlay targets for advanced lithography nodes C028 and C014 overlay process control
2FF9DDC2	Telemedicine: An expanding new science on land and sea
7692B605	Rough set analysis and cloud model algorithm to automated knowledge acquisition for classification Iris to chieve high security
7A6CB9B1	An optimized fingerprinting system for tamper proof and copy control of XML documents
59028C0E	Automatic fingerprint identification system for small sized database
2EDDB2B7	Sobre o impacto fisiopatológico da fotoquimioterapia em doentes com psoríase vulgar
805D0DD6	A novel biometric fingerprint pressure deformation algorithm
5CCA7449	MASKS: Maintaining anonymity by sequestering key statistics
764CBF11	PLC-Based Laboratory Intelligent Management System
5C35077F	Function and speed portability of audio fingerprint extraction across computing platforms
7F8C6611	A Robust Perceptual Audio Hashing using Balanced Multiwavelets
769D2A9C	Three Modals Biometric Information Fusion Based on Image Quality Estimation
5A12EDDA	Application of dual-tree C omplex wavelet transforms to burst detection and RF fingerprint classification
79DABF89	Methodology and apparatus for using the human iris as a robust biometric
78B91993	Eliminate background interference from latent fingerprints using ultraviolet multispectral imaging
80C9123A	Event Related Biometrics: Towards an Unobtrusive Sensing Seat System for Continuous Human Authentication
0BEC49C0	Découverte d'un Hominidé fossile dans le Pléistocène de la République de Djibouti
792234A7	Erratum to “Soft Biometric Traits for Continuous User Authentication” [Dec 10 771-780]
7DA8CCDA	A traffic-classified technique for filtering spam from bulk delivery E-mails
77553494	Adapted waveform analysis, wavelet packets, and local cosine libraries as a tool for image processing
75904C7D	Coherent anti-stokes Raman spectroscopy for detecting explosives in real time
7AEAB6FA	Effect of fiber surface conditioning on the acoustic emission behavior of steel fiber reinforced concrete
77C90FDE	Applications of photorefractive polymer to pattern recognition
7EC5803B	Sex differentiation of Bonelli´s eagle "Aquila fasciata" in western Europe using morphometrics and plumage colour patterns
7A8B2E05	Biometric security based application development and emulation framework - IEEE 802.15.4 for Intensive Care Units
80E08027	Using publicly known passwords with haptics and biometrics user verification
78D6128F	Morphological and Biometric Features of Male Bluethroats Luscinia svecica in Central Iberia
66BFB080	The finger vein image acquisition method and vein pattern extraction study based on near infrared
7870A1B7	On the Secure Multimedia Distribution Scheme Based on Partial Encryption
7C3BE91A	Fractal Description of Temporal Yield Variability of 10 Crops in the United States
814DF577	A new pipeline design for binarization and thinning of fingerprint images
75C49FFC	Electronics in law enforcement
7B4D2B9B	Biometric tracking with coded pyroelectric sensor clusters
8281FAE9	Expanding Continuous Authentication with Mobile Devices
80EBC5D6	Energy Generation and Utilization in Hydrogen Bacteria
7FF1784A	"Non-locality" Preserving Projection and Its Application to Palmprint Recognition
7E60079A	Randomised Individual Communication Complexity
7AD8D405	Reduced capacity in automatic processing of facial expression in restrictive anorexia nervosa and obesity
7B634CAC	Learning to generate noise-removal operators
59135FE5	Wprowadzenie do analizy obrazu w procesie detekcji i identyfikacji twarzy
76B06E2B	Minutiae extraction for fingerprint recognition
7DBB471B	PTF: Passive Temporal Fingerprinting
78DD982B	Biometric template data protection in mobile device environment using XML-database
800B4ED0	The human iris structure and its application in security system of car
67D5FA79	Improved Feature Processing for Iris Biometric Authentication System
216AA6CE	A Implementation of Iris recognition system using scale-space filtering
24FEAD0E	Gait Recognition using Cyclic HMMs(Gestures)
2C745B5C	Digital Identity: An Emergent Legal Concept: Digital Identity – The Nature of the Concept
7AC68AB1	Formal developing of security bootstrap on TPM
810CF56C	The Research of Ear Identification Based On Improved Algorithm of Moment Invariant
7957617B	Locally Adaptive Enhancement, Binarization, And Segmentation Of Images For Machine Vision
2C8C43B3	A feasibility study of limb volume measuring systems
7C2BCD2C	Real Adaboost for content identification
7BFCEB13	Fabrication of regular patterned SERS arrays by electron beam lithography
75ED534F	Spatial and temporal stability of corn grain yields
7AA06CC9	Analysis on the resolution of the different signals in an on-line handwritten signature verification system applied to portable devices
76D4B59E	Geometric soft hash functions for 2D and 3D objects
839CF6E7	A Novel Approach to Palmprint Classification using Orthogonal Moments
830F5695	Blind biometric source sensor recognition using advanced PRNU fingerprints
26E7D0F5	Senators disparage TWIC program, cite 'mismanagement,' poor planning
7F780FB7	Multimodal Biometrics-Based Student Attendance Measurement in Learning Management Systems
7A4C2BEB	Ultrasonic sensor for fingerprints recognition
231EB329	Border control faces the future
7AB62BBD	A Novel Preprocessing Algorithm of Knuckleprint
810BFA09	Legitimate data in remote monitoring
586BDF23	Identity verification using audio-visual features
7BCAD94C	Pulse Active Ratio (PAR): A new feature extraction technique for ECG biometric authentication
05CAEE5C	Recent Advances in the Development of a Keystroke Biometric Authentication System for Long-Text Inpu
7AD199A6	Significance test in operational ROC analysis
305C0160	Face authentication from cell phone camera images with illumination and temporal variations
76A09A35	Context-Aware Data Association and Authenticity in Pervasive Healthcare
5E13135B	Optical Data Encryption
7887FC29	Optimizing JPEG quantization matrices for different applications
7A66B75B	Waving Authentication: Your Smartphone Authenticate You on Motion Gesture
811D3874	Genetic and environmental influences on internalizing psychopathology vary as a function of economic status
7AC60EEE	Biometric driven initiative system for passive continuous authentication
7F2FF3CD	Research of agile supply chain management system based on Web Services
7D8EBE4D	Multi-sample data-dependent fusion of sorted score sequences for biometric verification
7BE5CAD1	Ear recognition based on edge potential function
62099A8C	Unconstrained and contactless hand geometry biometrics.
3382EEFD	Fast Algorithm for Polynomial Reconstruction of Fuzzy Fingerprint Vault
76E03032	Enhancing hyperspectral data throughput utilizing wavelet-based fingerprints
7CC6F799	The ARPEGEO project: A new look at cellular RSSI fingerprints for localization
813A53FF	A New Approach to Extracting Boundary of Retina Blood Vessel
7AB90C51	The ultimate signature identifier?
759D0E0E	Sequential decision fusion for controlled detection errors
827901B9	Territoriality and allometry in a population of harduns Laudakia stellio on Rhodes
7C84F834	Grip-pattern verification for a smart gun
757A8D64	Embedded chemicals detection using multiple frequencies excitation
79EB9473	People identification using shadow dynamics
70B37383	Edge representation and recognition using neural networks
75B2CF36	Evolutionary spectral clustering with adaptive forgetting factor
3B5FDDB7	The Potential for Adaptive Safety through In-Vehicle Biomedical and Biometric Monitoring
58D62BCD	Analiza niezawodnościowo-eksploatacyjna systemów bezpieczeństwa o nadzorze informatycznym
80E28EEA	A SIMPLE BOUNDARY EXTRACTION TECHNIQUE FOR IRREGULAR PUPIL LOCALIZATION
7427AEFC	Notice of Retraction Study on Fingerprint Spectrums of Officinal Portion from Isatis indigotica Fort
752C4A2C	Selective locality preserving projections for face recognition
3C8880AC	A comparative study of countermeasures to detect spoofing attacks in face authentication systems = : Um estudo comparativo de contramedidas para detectar ataques de spoofing em sistemas de autenticação de faces
814E69F5	Biometric technologies and their perception by the common citizen
70CDE656	Biometric authentication based on perceptual resonance between CNN emergent patterns and humans
60F8EC28	ATTENDANCE MANAGEMENT SYSTEM USING BIOMETRIC FINGERPRINT: A NEED FOR ACADEMIC ADMINISTRATION PERFORMANCE
7967B524	Introduction to the Special Section on Speaker and Language Recognition
800CECE0	Recognition using robust bit extraction
7B60AF99	A Combined Feature for Fingerprint Recognition
7DCE1EED	Compression of fingerprint images using hybrid image model
7F599489	A novel fingerprint image encryption algorithm based on chaos using APFM nonlinear adaptive filter
5E818363	Dependence characteristics of face recognition algorithms
58EF7E41	National Safety & Security Field Operational Test: technologies to improve security and efficiency in the hazardous materials transport industry
6BB5BA0E	Automated Detecting Arcus Senilis, Symptom for Cholesterol Presence Using Iris Recognition Algorithm
755CB505	Evaluation of a Fingerprint Identification Algorithm with SIFT Features
072B0320	Customer Acceptance of Biometric Technology
76FD73B6	Feature Level Fusion of Speech and Face Image Based Person Identification System
7E3832EE	Multimodal biometric systems
7AB63A63	Development of neural network techniques for finger-vein pattern classification
08816875	Révision des recommandations alimentaires pour les vaches de réforme à l'engrais. Développement d'un nouveau modèle prédictif
7E55386D	A Signal-Aware Fingerprinting-Based Positioning Technique in Cellular Networks
769A8BB6	A horse identification system using biometrics
7F19A8D1	Facial recognition: an enabling technology for augmented cognition applications
0AC5F05C	Endometrial thickness and growth during ovarian stimulation: a possible predictor of implantation in in vitro fertilization
7E5AD08B	Toward Open Set Recognition
7ADDCFE7	A Robust Biometric-Based Authentication Scheme for Wireless Body Area Network Using Elliptic Curve Cryptosystem
7B0EDF12	High-resolution Doppler model of the human gait
7840472D	Human scent as a biometric measurement
79506010	High-Speed Multispectral Iris Capture System Design
7922145E	Guided wave terahertz characterization of fingerprint lines in threat materials
7AD7D628	A novel method of fault diagnosis based on synchronized phasor measuring and flow fingerprint identification technology
781484AC	Feasibility of edge delay symbols for copy protection in optical disks
7FE0F31B	Study on the Technique of Fingerprint Images Enhancement Based on Fractional-Order Calculus
7C3AB7F0	Confidence Weighted Subspace Projection Techniques for Robust Face Recognition in the Presence of Partial Occlusions
7F9DE363	Performance evaluation of MIMO downlink WiMAX for different schedulers
85895576	Authenticating personal identities using palmprint recognition
839BA937	Identification of multiple partial discharge sources using acoustic emission technique and blind source separation
75E1DD5A	How to assess privacy preservation capability of biohashing methods?: Privacy metrics
7C5D4066	Secure Template Protection in Touch-less Based Fingeprint Verification System
85ED0805	Septa and Nephridia of maldanid polychaetes of the subfamily Maldaninae
7D06A6DF	A Hybrid Rogue Access Point Protection Framework for Commodity Wi-Fi Networks
79C8A4B5	Soft Biometrics and Its Application to Security and Business
7ED8F414	Fuzzy Private Matching (Extended Abstract)
