0B80918E	The Rascal Language Workbench
040774D9	PENGEMBANGAN CODE GENERATOR BERBASIS WEB UNTUK MEMBANGKITKAN KODE MODUL APLIKASI WEB
5E1B3E79	Tool-Supported Development with Tropos: The Conference Management System Case Study
5F183C97	HOOD and parallelism in the Softpar project
011D616F	Code generation techniques for the task-parallel programming language Spar
77B5950B	Light Weight Thread Level Health Check Framework for Highly Available Systems
7EA958F7	Illumination Multiplexing within Fundamental Limits
78B69142	Two-dimensional C++
0894B4E1	Mapping of the Refal machine onto a Von Neumann machine
80C51281	A Runtime-Monitoring-Based Dependable Software Construction Method
7A3E437C	Construction and generation of OCDMA code families using a complete row-wise orthogonal pairs algorithm
787F580C	OO techniques applied to a real-time, embedded, spaceborne application
77815D34	Full-Information Rate Distance-4 Block Codes
75DC7403	Programmable splice-free quasi-monolithic 2 Gbit/s optical fibre pulse code generator
85B608AE	Java Card code generation from B specifications
62D61D99	Time Standard System for Directing Satellite Tracking Antennas.
7F7C92FB	GeneralStore - a CASE-tool integration platform enabling model level coupling of heterogeneous designs for embedded electronic systems
5C1936F9	A MATLAB-Based Code Generator for Sparse Matrix Computations
6961A850	Consideration of VT5 etch-based OPC modeling
7A00634D	GignoMDA: exploiting cross-layer optimization for complex database applications
7844F91C	Ordered partitions and codes generated by circulant matrices
7DBA49D4	A CORBA facility for network simulation
7B8F6579	X-ray amplification dynamics at ~2.8 Å in intense laser irradiated xenon clusters: multiple hole dynamics
80C74C92	Block multiplexing codes for optical ladder network correlators
7B8EAEB3	Hardware/software partitioning of embedded system in OCAPI-xl
7E6B08B6	Generic Programming and Proving for Programming Language Metatheory
77D501E1	Runtime feedback in a meta-tracing JIT for efficient dynamic languages
7FE2D4F8	Progress in quantifying validation data
09AE4ED5	Au-tomated attack analysis and code generation in a multi-dimensional security protocol engineering
59B7A606	An illumination of the template enigma:software code generation with templates
5CA05647	Examining the feasibility of air shower core-location from polarization properties of associated Cherenkov light
7F706D66	Mathematizing C++ concurrency
80AFC492	Compiling Parallel Code for Sparse Matrix Applications
7B816375	A structured macro assembler for the Event Handler
7A2B4269	Redundant coding assessed in a visual search task
14EFCBDB	2A2-C10 Salab/Saoosによる組込みシステムのモデルベース開発に関する研究 : 自動コード生成機能の開発
73C5304D	SISKIN-a graphical language for data flow computers
7CDC17B0	Synchronizing and correlation properties of spatiotemporal chaotic sequences
7BE8A8AE	An Implementation to Mitigate the Effect of Multipath on Positioning Accuracy
0C86F96B	AFFAIRES JURIDIQUES ET ASSEMBLEES - ADMINISTRATION DU CONSEIL MUNICIPAL - FETES ET CEREMONIES - DECISIONS PRISES PAR MONSIEUR LE MAIRE EN APPLICATION DE L'ARTICLE L 2122-22 DU CODE GENERAL DES COLLECTIVITES TERRITORIALES
81A812E8	Determinacy Analysis for Logic Programs Using Mode and Type Information
7746ECCB	Tagging b jets associated with heavy neutral MSSM Higgs bosons
76E353FF	ELSIM—a problem-solving environment for electrochemical kinetic simulations. Version 3.0-solution of governing equations associated with interfacial species, independent of spatial coordinates or in one-dimensional space geometry
7A643135	Efficient compiler implementation for a spaceborne image processing demonstration system
7E7D13B8	Training-based channel estimation for multiple-antenna broadband transmissions
7A63D148	Automatic generation of graphical user interfaces for VHDL based controllers
583237E8	An Intelligent Simulation Code Generator--A Relational Database Management Approach
7FBDEA01	High Degree Toom'n'Half for Balanced and Unbalanced Multiplication
7ACCB036	A data-centric approach to synchronization
7C20D048	An Assisted GPS Acquisition Method using L2 Civil Signal in Weak Signal Environment
7DB93337	Framework for component-based development of distributed real-time systems
816D1AA2	Exploring the Performance Potential of Itanium® Processors with ILP-based Scheduling
76DE5053	Activity Diagrams : A Formal Framework to Model Business Processes and Code Generation
80E6C20B	Development tools for bus controller software
7A0E09B5	Technical Report Column
60B3B1F2	A design method for implementing specifications including control in distributed embedded systems
847AEFB9	Geração automática de código para padrões de conceção
7DC4BDA7	Learning internal representation of visual context in a neural coding network
7598CC92	Time-code generator and event marker for correlating chart and magnetic tape records
80FDA56D	Design reuse and scale: keys to practical code generation and large scale software maintenance
02FF3B90	From Petri Nets to Executable Systems: An Environment for Code Generation and Analysis
5ED44C62	Keynote Address II: Domain-Specific Modeling: No One Size Fits All
799E7721	Application of PN Code Generator Based on the FPGA in CDMA Location System
7D8C0948	A Framework for Automated Performance Tuning and Code Verification on GPU Computing Platforms
7CC7F06F	PN code generator based on generalized bent function for SW/SFH system
7AD09711	An efficient technique for exploring register file size in ASIP synthesis
7750CDFA	Using web service gateways and code generation for sustainable IoT system development
7544F9B8	morphforge: a toolbox for simulating small networks of biologically detailed neurons in Python
102D4CEC	Proceedings of the CGO 2010, The 8th International Symposium on Code Generation and Optimization, Toronto, Ontario, Canada, April 24-28, 2010
5D75A232	Efficient control flow quantification
5A61CBAC	The ROSCOE Manual. Volume 14a. Ambient Atmosphere (Major and Minor Neutral Species and Ionosphere).
78A16B17	Domain modeling as a basis for building a meshing tool software product line
7A45994C	I/O and computation overlap on SIMD systolic arrays
85AB26D9	Toward foundations for type-reflective metaprogramming
77CB213C	Smashing the Gadgets: Hindering Return-Oriented Programming Using In-place Code Randomization
09CA4067	Formal Verification of UML Diagrams: A First Step Towards Code Generation
7D3CFE7A	Optical pulse shaping for ultrahigh-bit-rate telecom applications based on III–V integrated waveguide Bragg gratings
735E5D34	Model-based engineering of web applications : the flashWeb method
76AAF9A2	SESAM/Par4All: a tool for joint exploration of MPSoC architectures and dynamic dataflow code generation
7F8641B2	Generalization of the Sethi-Ullman algorithm for register allocation
3DD375C9	Programmatic Building of Models Just for Pretty Printing
1923AA7F	Formal Verification of Synchronous Data-flow Compilers
7DC71AFD	Improving quality of code generated from OCL expressions
7E95D671	Processing high data rate streams in System S
5ACDE247	Automatic ADL-based assembler generation for ASIP programming support
715E7ECE	Geometric parallelism and cyclo-static data flow in GRAPE-II
0B872105	FACE: Fine-tuned Architecture Codesign Environment for ASIP Development
7BEFE1CC	Some suggestions for the use of tables in compilers
7D1D74AC	VOMDraw — A tool for visual object modeling
7CE4EC09	Feldspar: A domain specific language for digital signal processing algorithms
047B5395	Building a Component-based Code Generation Tool
806C4F71	Distributed code generation using object level analysis
80BFE471	Presentation Format Effects in a Levels-of-Processing Task
8066FB64	A Line-up Competition Differential Evolution Algorithm for the Generalized Assignment Problem
8270EEA8	Redundancy by Coding Versus Redundancy by Replication for Failure-Tolerant Sequential Circuits
60DCF2F9	IEC 61131-3 Compliant Control Code Generation from Discrete Event Models
78CA7D49	Cent, five cent, ten cent, dollar: hitting botnets where it really hurts
760FACF6	A slater parameter optimization method applied to the computation of collision strengths for Fe XIII
35875E11	Abstract Compiler and Runtime Support for Efficient Software Transactional Memory
7C3AB7D7	Automatic transformation of abstract AUTOSAR architectures to timed automata
092D866B	Autocoding State Machine in Erlang: A Case Study of Model-Driven Software Development
7CA9B512	A CAD tool for the automatic generation of synthesizable parallel prefix adders in VHDL
5E4B27EC	C++ Templates as Partial Evaluation
60C9C4CC	Improved multiple regions of interest coding for JPEG2000
76DEC298	Extreme gravitational lensing in vicinity of Schwarzschild-de Sitter black holes
802BC648	Simple verification technique for complex Java bytecode subroutines
758B2239	SAW device implementation of a weighted stepped chirp code signal for direct sequence spread spectrum communications systems
75EDDC24	Injury, condition, and mortality of Pacific halibut bycatch following careful release by Pacific cod and sablefish longline fisheries
7E30B324	Argos: an automaton-based synchronous language
751563B6	An overview of model driven architecture ® (MDA®): invited talk abstract
7E9741BE	Itanium: a system implementor's tale
72E78170	The J3 Process for Building Autonomic Enterprise Java Bean Systems
7E03BB8B	Eliminating Redundant Communication of Code Generation for Distributed Memory Machines
8148109F	Classifying Vehicles in Wide-Angle Radar Using Pyramid Match Hashing
0300C969	Simplifying the Development of Autonomic Enterprise Java Bean Applications via Model Driven Development
588AEAD0	Rapid Development of Modular Dynamic Web Sites Using UML
00A257E1	Formal Analysis of UML-Based Designs
7716BD15	Generating performance portable code using rewrite rules: from high-level functional expressions to high-performance OpenCL code
5DA99E96	Symbolic Analysis: A Basis for Parallelization, Optimization, and Scheduling of Programs
09E72BC9	Moving Beyond Traditional Codes of Ethics
5DA10C98	The development of a thermal extrusion based rapid prototyping mechatronics system
7DFE418A	Interconnection synthesis with geometric constraints
00B1B4D9	Compiling for Runtime Code Generation
7AF17398	Investigation of crack growth in functionally graded materials using digital image correlation
80FF961C	Multiple description wavelet coding with dual decomposition and cross packetization
622593C8	Finding the complete path and weight enumerators of convolutional codes
5C0616ED	Code generation tools for hardware implementation of FEC circuits
11E11C92	Scientific development of the advanced parallel chemistry (APACHE) climate model. Final report for CHAMMP Pilot Project
7BCE776E	Towards Semantic-Assisted Web Mashup Generation
856D1466	Large-scale Model-Driven Engineering of web user interaction
6D99320F	Branch Strategies to Optimize Decision Trees for Wide-Issue Architectures
0827863D	Clustering and Scheduling of Simulation Code Generated from Equation Based Simulation Languages
77E2AC4C	AutoF ocus - Ein Werkzeugprototyp zur Entwicklung eingebetteter Systeme
7A07B5ED	Load-store optimization for software pipelining
7A15E7F0	Reliable implementation of linear filters with fixed-point arithmetic
7CBA0062	Control of an automated machining workstation
7DD54DEA	All-optical hash code generation and verification for low latency communications
7D081C59	Codevelopment of the TMS320C6X VelociTI architecture and compiler
77480A6A	Ultra-High Upset, Megarad-Hard Si-Gate CMOS/SOS Code Generator
0A522C06	Code generation for the hype#plane method and loop interchange
75181E58	Moodler: a digital modular synthesiser with an analogue user interface
75902D83	Designing data entry programs using state diagram as a common model
5C480F1A	A Progress Report on Incremental Global Compilation of Prolog
7892D961	A specialized programming language for coordinating software execution timing in embedded systems
78622138	Collaborative evolution process in MDArte: Exchanging solutions for information systems development among projects
81504895	Data compression using hash code generated tables (abstract)
5DD01373	A conceptual discussion for an airborne graphics software support system
5F0B9F26	Code Generation and Optimization for Embedded Processors
775014E6	CAD system of microprogrammed digital systems
59A5AE73	On the Design of Codes For DNA Computing
7971E5C7	Automating the construction of domain-specific modeling languages for object-oriented frameworks
7E7012A0	Binary multilevel coset codes based on Reed-Muller codes
8172F145	Penalized Regression with Ordinal Predictors
772F17F5	Design of an integrated environment for operation and control of robotic arms (non-reviewed)
79EC1834	Computer simulation of displacement energies for several ceramic materials
7DE13589	LabVIEW™: A graphical system design environment for adaptive hardware/software systems
5F8D9A79	Experimental validation of a zero-dimensional computer model for spark-ignition engines: Progress report
803FEA5F	Transforming business process models: enabling programming at a higher level
5B7208B1	The Bosco Project - A JMI-Compliant Template-based Code Generator
80069415	Supporting Model-to-Model Transformations: The VMT Approach
7958596A	A Meta-Level Specification and Profile for AspectJ in UML
7838A4F1	New architectures support for ALMA common software: lessons learned
7F0D83E2	Model-Based Software Synthesis for Self-Reconfigurable Sensor Network in Water Monitoring
7EF69C41	Decode to channel binary block codes based on neural networks and genetic algorithm
758642CC	Internal separation distances for underground explosives storage in hard rock
7F7DE676	Decision-Model-Based Code Generation for SPLE
79E56AAD	Variable-bit-rate speech transmission using punctured convolutional codes
7ABE7C85	A platform-independent UML profile for aspect-oriented development
0A274EC5	A HOL specication of the ARM instruction set architecture
807EE9BB	Data Communication Analysis and Algorithm for the Efficiency of Data Distribution in High Performance Computing
806D4CCE	Parallelizing XQuery In a Cluster Environment
79E78D27	Development of algorithmic algebra tools to design parallel programs using heuristics
7928B347	Proofs of two conjectures on the dimensions of binary codes
01125DD9	The optimal burst-error correcting capability of the codes generated by �() = ( + 1)( + 1)/( + 1)
7FB540F5	Implementation of a non-strict functional programming language V on a threaded architecture EARTH
5F41D601	Proceedings of the second SISAL users' conference
49603D0D	Global code generation for instruction level parallelism
5E956CC7	Tool supported development of service-based systems
77B08ECB	Automated Development of Cooperative MAC Protocols - A Compiler-Assisted Approach
7D197AED	Simultaneous Gate and Interconnect Sizing for Circuit-Level Delay Optimization
812EFC8B	Spiral: Automated Computing for Linear Transforms
7ED28853	Construction of Büchi Automata for LTL Model Checking Verified in Isabelle/HOL
7F3C4055	Unified Modeling of Complex Real-Time Control Systems
7E9A3032	Efficient code caching to improve performance and energy consumption for java applications
76A161CF	Automatic generation of analytical matrix elements for electron-atom scattering
7A3EABCE	Effect of auto-tuning with user's knowledge for numerical software
5D187A8C	The Westinghouse signal processor (WSP) microcompiler
634D3B51	Managing Flexibility: Modeling Binding-Times in Simulink
6008C029	CPLD technique and application to modern time synchronization system
7DCA2060	Rapid development of high performance floating-point pipelines for scientific simulation
79FDC1DD	Efficient RTL-based code generation for specified DSP C-compiler
7DB6D6E1	GABBA Codes: Generalized Full-Rate Orthogonally Decodable Space-Time Block Codes
6331638F	Design approach for a microprocessor-based GPS time transfer receiver
065EE170	On the use of multivariate statistics to validate global climate models. Ph.D. Thesis
60658612	Nonlinear evolution of the cylindrical tearing mode and its diamagnetic stabilization
80EA8746	Data routing in dataflow graphs
79155489	There is nothing wrong with out-of-thin-air: compiler optimization and memory models
58C8FE54	Model Driven Engineering Benefits for High Level Synthesis
7D256AAF	Filet-o-fish: practical and dependable domain-specific languages for OS development
7B655990	Ontological extension to the MOF metamodel as a basis for code generation
5AFC564E	Code Generation and RISC Architectures (eingeladener Vortrag)
75A9CEA1	Architecture and Construction of a Hardware Sequential Encoder for Speech
06381DBC	Customizing UML for the development of distrib- uted reactive systems and code generation to Ada 95
01994153	A Language-based Approach to Addressing Reliability in Composite Web Services
7A47E8E4	An Integrated Compilation and Performance Analysis Environment for Data Parallel Programs
7DAB32E3	Search and determination of convolutional self-doubly orthogonal codes for iterative threshold decoding
75FF497C	Direct Implementation of Algebraic Specification of Abstract Data Types
7EDFC13B	Simple balanced codes that approach capacity
5B90C91C	Automatic Generation Of Data-Flow Analyzers: A Tool For Building Optimizers
0C11795E	Java Code Generator Using UML and OCL
736B441E	Computer vision on the MGAP
5ECF079C	Generation technique for Django MVC web framework using the stratego transformation language
76834869	Practical middleware for massively multiplayer online games
09A3FE7E	Efficient dataflow code generation for sisal
5ABF8130	ARCTIS AND RAMSES : TOOL SUITES FOR RAPID SERVICE ENGINEERING
814C7F49	Assembler through the looking glass: Understanding digital systems
776171FC	Code Generation of an XForms Client for Service Integration
5B7748A1	Supporting several levels of restriction in the UML
807138A5	Theoretical Modeling of Star-Forming Galaxies I. Emission Line Diagnostic Grids for Local and Low-Metallicity Galaxies
6F61A8BF	On component reuse in embedded systems
8166223E	Framework for model transformation and code generation
7B8AA4F4	User interface generation with OlivaNova model execution system
76D9FDCC	Using UML activities for system-on-chip design and synthesis
5D790F0F	An End-To-End Methodology for Building Embedded Systems
7B132C74	Cosmic Ray Induced Errors in I2L Microprocessors and Logic Devices
79CC8B0A	Visual Modeling for Parallel Programming Based on DSL
7A37AE98	The pinocchio algorithm: pinpointing orbit‐crossing collapsed hierarchical objects in a linear density field
7AD97D53	Public-key coding system based on grey generation and Braid group
68222C93	Design and code generation of dynamic web applications
80D9BE00	Efficient evaluation of XQuery over streaming data
5F09FC60	DC flux parametron: A new approach to Josephson junction logic
7E5FFC66	A case-based NC code generating system for prismatic parts
0980492C	PVM Code Generator for the Fortran Parallel Transformer
741486A4	A low delay sub-band audio coder (20 Hz-15 kHz) at 64 kbit/s
033BA245	Graph Traverse Software Pipelining
7EC4B535	TestML - A Test Exchange Language for Model-Based Testing of Embedded Software
7B7E0481	Visualization of Computational Processes of Procedural Abstraction Optimization Passes
766179CF	An Introduction to S/SL: Syntax/Semantic Language
78A13C0E	EFFECT OF ALGORITHM PARAMETERS ON NUMERICAL PERFORMANCE OF VARIABLE METRIC ACCEPTABLE POINT ALGORITHMS (AS REPRESENTED BY BFGS-ARMIJO)
7926F50B	Programming for FORTRAN compatibility and machine independence
7722EF0D	Lessons learned from real DSL experiments
76D27A05	Converting a portable pascal p-code interpreter to a code generator
2CB7AAF7	Automatyczny generator opisu w języku HDL na przykładzie kodera BCH
79E9D30C	Minimal Codes of Prime-Power Length
7D6922C2	Code generation for the MPEG Reconfigurable Video Coding framework: From CAL actions to C functions
7A8EA11D	Simulation of cyber physical models using SysML and numerical solvers
7697A40A	Design and Implementation of AIS Link Layer Using SDL-RT
5B46A2C9	Procedural code generation vs static expansion in modelling languages for constraint programming
0C370547	The code generator generator's work station: experiments with the graham-glanville machine independe
76082A17	A Reverse Engineering Approach to Generating Interference-Free Tool Paths in Three-Axis Machining from Scanned Data of Physical Models
611317E6	The two-way time synchronization system via a satellite voice channel
7E53D32F	New superregenerative architectures for direct-sequence spread-spectrum communications
7CF360F7	Extending Languages by Leveraging Compilers: From Modelica to Optimica
7C9CC748	Combining independent model transformations
78348F49	Using the Function Block Model for Robotic Arm Motion Control
78C4949D	Embedded software development with projectional language workbenches
7804A74F	Optimization and code generation in a compiler for several machines
337603B4	Automatically generated runtime checks for design-level constraints
7D46F20B	Generalized cofactoring for logic function evaluation
7F254D33	An Associative Architecture of CMAC for Mobile Robot Motion Control
5EA0E809	Analytic Variations on the Common Subexpression Problem
7FE80842	MDSD for the iPhone: developing a domain-specific language and IDE tooling to produce real world applications for mobile devices
5D6363F2	Hierarchic Normal Forms for Desynchronization
77A349D2	Dynamic allocation of space for attribute instances in multi-pass evaluators of attribute grammars
01DF73EE	Code generation starting from statecharts specified in UML
7C7CA674	SCERNE, an efficient CAD tool for the modeling of RF and Mixed blocks
7E8EB059	Including Malicious Agents into a Collaborative Learning Environment
79D2CB43	SMART-1: Development and lessons learnt
614001D2	SAADA: An Automatic Archival System for Astronomical Data
08CF823D	Program generator for the Incomplete Cholesky Conjugate Gradient (ICCG) method
7AC35921	Simulation of Detonation in High Explosives with Aluminum Particles
01B6DDB4	Retargetable instruction scheduling for pipelined processors
6A131B3A	Pedagogical tools for database design, development and use
614C51F4	A Satellite Time-of-Day Code Generator
7A97146E	Code specialization for memory efficient hash tries (short paper)
775A8F1D	Prototyping Hierarchically Scheduled Systems Using Task Automata and TIMES
74ECCFA0	New directions in compiler technology for embedded systems
7D3F66A6	ELF: A Tool for Automatic Synthesis of Custom Physical CAD Software
7EA664F5	Generating VHDL-AMS Models of Digital-to-Analogue Converters From MATLAB®/SIMULINK®
7D957237	The parawise expert assistant – widening accessibility to efficient and scalable tool generated OpenMP code
803B7726	THAWS: automated design and deployment of heterogeneous wireless sensor networks
6D2A69DA	Design abstraction and processes in robotics: from code-driven to model-driven engineering
6D87D315	The study of chaotic turbo encoder
5A4E5D81	An experiment in mixed compilation/interpretation
75A119A9	Controlling state explosion in static simulation by selective composition
7756F011	The Basic Building Blocks of Parallel Tasks
5E3DA1AE	Incremental Global Compilation of Prolog with the Vienna Abstract Machine
7F370562	VR-Stamp with DSP-TMS320C6711 for hand-free voice-driven monitoring robots navigation
79AC06B9	Flexible in-lined reference monitor certification: challenges and future directions
80E5CBA1	The texture animator
7129CCE0	Generating the body of the methods from class diagram operation semantics
77D27621	Bridging existing Web modeling languages to model-driven engineering: a metamodel for WebML
5DA085B7	FTOS-Verify: Analysis and Verification of Non-Functional Properties for Fault-Tolerant Systems
7EF77D04	UML for protocol engineering-extensions and experiences
763E4FE0	Modularity for the modern world: summary of invited keynote
