7D9D9127	5DA4D49B 6188C129 5990B0F3 5EA4F979
8028F1D4	76E8E43C 809748E2 7914A5A0 7F800A70 7F896809 7AFDBF1B 7B01E20E 5AD1BB40 78FED176 77D50ACC 7CA953A2 0750FB45 7F834894 7D373E85 815C333F 75CD278B
7A845BB3	7B03BDD9 754C1627 7EB60F54 80B073E6 7DF55748 8160006E 7C95A16F 801042A9 80178464 76DD4180 7E2A480B 785A3431 798993C5 7D64FE3C 7EA7160D 76A046F4 76EE91BC 7B684AB0 7CA27E42 7AC35A52 7FC2EDEB 7CC88846 819FC41F 812684FC 776CFB62 7BFDC827 7792015F
7707ED71	7F3F717C 7CF552CD 5FBC032C 800B5D28 61FE490C 5A3058D1
76BB17B1	803A791E 816A7CAD 81349353 7B104B31 7E7A7436 805CC4C2 80E332F8 7FEE8AF0 75D07531 804817B9 5ED0C1EE 5B30A5B1 7E990D71 5BC75649 5C4DB3DE 7BC4B6B6 7FD20F0D 583DD432 80C13195 5AB33BA9 78874FEF 8015F4A2 7C86A68C
81690364	797ECFF4 58DF272B 7D9EBCA0 7D912C6A 78E081E2 7E4A4E34 81196E7F 81042FF0
7C587175	7C0AE5C3 751091E4 73167F10 78EC6B08 759F0A81 04796F7C 7A030264
77516C40	77D340EC 7FAFE8E3 7C9BE611 781E599E 7C176426 7A266840 640F9441 7CA48585
7909C966	76766980 779EB9E4 79E9EAF1
7BA6FF70	7601DC90 7B00F8AE 776125C8 7856CB6D 7B35B50A 7EAE1CC0 7699D8E8 7516D165 7E9C26CC 80ED97F0 10A9CE37 7E9F5D98 7BC5FF34 7916DF6C 78CEBC83 7777F63A 7C7CF418 7BA3ED0A 79959E7B
7788C9AA	7A94FBC8 7C6068FC 79327956 7678E6E3 80616508 7950F0F3 7C377738 80861B79 7CE45584 7B8CC1C4 7E858605 8013259C 7DEB08DC
790E0DC4	774B40AE 7BF39540 75C2700A 788D207E 803FFFEE 7EB8F21E 78F81647 7CC7C0B2 76735017 7B0368EC 75966762 7EB20B5E 7912D92A 7C366423 7C6650B1 79B91DEA 7BBFBE25 7E4C1DB4 7903B9CD 780865F1 7B1844E7 80A5D9FC 760C534C 7DCEB5E0
7DD2D655	6249382A 81250263 807C2D29 80E2589F 7D424874
7E5FC92B	7B65A29A 7959F955 751B9E36 7EED5158 7B6DA44A 7FCFCD17 798CBDE3 80213F1F 7653665D 7996118F 8081874E 7EF3EEA5 7E80F474 7B451397 785C37B6 761CCA0B 7EFB8C44 79651FBE
796F9642	753A0109 756D1501 7DDC4614 80B073E6 771F6DC3 7A742FDA 786F4066 7C12AB7B 763CA7A2 7BA4A943 801AD3B4 7CC57ABA 7D2C6474 7A387B89 7B7B79E9 7CC81693 7ADD4853 7A3871A8 7DF55748 7872D60C 7B2FE4C6 779CC732 754C1627 7875FB75 796FB17E 76B646D7 79B868A4 7FC2EDEB
77276B69	7AAE14B0 80B073E6 7D32C1C3 7DC1C397 7F304076 58A78C24 7E2A480B 7B6335DA 793C7A9E 754C1627 7F188F31 81057835 7696124C 7BCB41FF 76952A0C 7F372359 78FFFDAD 8160006E 7BEB47E8
77388FEF	779FDAD0 784C95D4 78191699 7B34755B 7B62A595 7B45EDFC 79F6F0A3 7E237409
7F8F2878	7544B4ED 79F9A8D4 7BF0228C 7AB9A810 7C4E81A8 80D60A34 81E25585 7DE45F5A 819D61C5 7EAAA9B8 76C166DF 7E2E292F 7D4D0812 7DB7B57D 80DC7BF3 75399B11 7BED932A 7703E09B 75886D93 77D76418
7893EE42	79645057 7C176426 7C57F57D 60425317 7AE9864C 6239B736
7F640A5B	76710D70 79D0E1ED 74192949 7DFBA80C 815856E6 7E4754B8 7B04C32D 801CB049 8124C576 7F169061 70401605 779FA341 8145EE2B 80D911BE 7E2286D6 8012817B 7C4A8F6B 7A1755F8 75CA073C 7688B269 7F3910CB 77A34BE0 79399E5B 80373DBF 80D1A7F5
7AC18D75	7C30DEAE 63B095AC 7F4C543D 7B8066B3 59A40452 77ED8D9F 7EA00D64 75685B19 0A30F428 6239B736 80B9A353 0B553E0F 07B4B82E 63AEFC0A 08242D1C 7C509272 77F5E289
813E93A9	77ED39E3 78543D86 8048F13D 78A77FEE 7F566DA7
801A4288	85EADA29 7875D76B 7B8ED3A0
7A16CA36	7CB3EBB7 7FE73CA7 5CF27617 7B3636E8 75A039B7 7D9A035E 7960FFB8 7F114586 5F3A3145 7DA8B938 7C472134 7FACD456 79BCE4D0 79FF181A 764D9BD8
8086BCE3	798163BF 7E895CBE 7EF0A84F 7825A6D9 7F949F89 7586FCDB 7DFB0810 77CE1D62 7FF3A524 811A787A 7676526E 7A58E029 81194513 7B4BA30C 7EC7475E 7D581AA0 7EC1DA44 7FBCE9EB 24F543E2 7CA21264 801B58C0 75A2794F 80A297B1 78865D2D 7F36118C 808B6800 77A6F251 80ECB955 82445808 83662817 7CF0FFA2 7523BA75 7DCE83DC 7E2F5CB0 801323F3 78D7F605 80FA52DF 824F0E92 23C79584 772B462E 7D83CF47 7EA574C7 7EE81984 811C22F7
7B1C33C3	7992A5AE 79927430 79788F15 79EA853D 7FAD14FC 77A7BBB1 798046D3 7B61DA06 7A06B56A 7CABC420 7B5AE189 7FCF4E4F 798CB2B9 764FA6F4 804E7365 78FC82C6 790DDD6F 7F033311 77E9FC47 807D59E5
7B3BAC9E	7929A0FE 76E93F16 77D464AF 7678EC4A 78D2DC98 7B7428B6 7948DAAB 803E5DEF 7891A02B 757B3AA0 7E93DC71
77FC5BBA	6D8CA7CF 78C2B935 7865A310 7663E500 7D1DBFED 7A98C445 80CEB64D 811ADCA2 7A84AC71 7E0290BB 775A17A3 77214DBD 816688B3 7C8E7E77 769E5688 7B267BBD 758883B9 799496AB 8109BF9E 7A720280 7CAF48B3 77BF94B7 78701E95 7F021B77 7701CBC4 79535338 7B406A13 7EBE0E6E 758B1054 7916D72E 7E4B3077 799B3F11 7B0E3584 75CB9DE5 7A17E806 7A6B0868 756FA489 7B4CF214 7CFFF85B 7BD83EC8
7DA9A2D0	7B53C281 78066A63 78225F57 7EBAFF53 7697BB1A 7956D2BC 79B45DEC 73D8DD6A 7F588836 79DA4C3A 7B91E33A 76596D90 79A99C7C 7E2CE179 7FBC1674 7A6EC20B 7DF5DD02 77F1E4D9 81127BA2 7A805A4E 7F556699 787BE5A3 79E3CA7F 77CA6F09 7B95A8B9 84A4496D 81D13300
7EE96817	8068D7A3 8132753F 7C84F8DB 7CE03E6B 0739C111 7B3573B3 7FBF9B92 81610E93 7AF6601C 7BC6EC74 79CF3314 7684ACA2 7A2CFBFB 7C21B74A 7F8937A7 7F28216F 7DBFB8C5 7545F1F8 7C193617 7E44F694 7EFD5F91 7614B306 79239387 7DDC5EFB 7C0CE515 7ABD7941 7A5D8E7A
7A7A58DB	7BA0298F 812D3E33 8564635E 6F00B84D 7948E6C3 7F6EF15D 78E81B4C 5A5DDEC9 78EB4160 839FAB72 7DF125BC 819C81A4
764A7676	795F1461 7CA321BB 7CC59F74 7A9AA2F8 7C0543F7 7AA6C2C4 0A35B500 7EAA02D4 78286CC7
7FF6F5B3	7FAB0156 800DDCCA 7EAB386C 5E511858 5F91A8CA 7D278B3A
7D7AB29C	5F370AFF 7EFFAD4B 7956A408 7E7C7C5E 7F0F0848 329957BE 699CD780 6D46C6B5 7AF2DFFC 03EADAA5 806F0E7D 82575F93 7EE81E18 7BAD5482
81296D3F	80F8F324 798BCCBC 7CF3A836
77B997E1	76E5FA49 7DA1A7B3 7E199DC9 7AB718DC 7F42FA8B 7BDD7608 7EA67AA7 7D99DE1D 7B2987DA 7E7611D7 80B8EAAF 77B96C75 7FF48C0A 79B0C11B 76E429F1 77D9461A 7E51D9A7 768BFFE3 7C2ED395 7C37715F 7E9A48B2 7E8AF78C 7D78A7EE 79C46445 7BD53AB5 041CAB9E
7AB132E9	778C5288 7F46C36F 7EFB18FB 78957822 5FA4E3CD 768A9280 7CD424CA 77E16853 7B3192FD 7AB0AA3C 7C75174D 03F23B5B 76EA9A3B 78724D6A 78CCB23F 7EA5B675 5E2F4576 75C0BAFD
7A433D97	5AFFC8F1 78AE97C2 5CCA77EC 7910CA22 7F1A4B37 7EC94867 785867BF 82DE74F3
597AFCE3	5A9F836C 754E08D7 7EE9AE43 5B535BA8 7661A350 7D2E7BD3 7E9B5E8F 7605082A 7CD9F323 10F00130 76A5BE6C 76A4E3D5 7D86927A 5B8FD2DE 75B7EF1E 75AE1B22 7BABB007 58B78F33
8123F68F	78722719 7B4F7665 7A58F990 7AE5B620 7F389218 6CF2C160 79F249A0 7B792C41 7C69F320 77156E8E 75CA30F4 7610F910 78BA6096 7EDADCE0 62AF4757 7C901E78 81739CA5 7B0C0B38 7E377344 7A4673A4 05C4CCE4 76B8EFD6 808F8138 8101076C 790631ED 792D62A7 7E5A1F2B 098A1A69 7F25CDE1 6082B3EF 769F116E 77013788 7FD622FC 7FDCA0CB 7F834894 5BC79755 7C32E65A 7E397E98 770AAFB0 7F94A517 79EBEE26 75DA62B5 781F22EF 7C5DB281 7E15FA6C 7CAC899D 77F93F7F 7CDF3385 7CC21AD9 7617F75A 8168ED62 75CC8AEF 760AC77F 7AF9C2EB 7CCF6D40 7DD9A626 7FC08C53 755D7C5E 7CEA590E 803739BE
7C1CA88F	5A22D430 7B3192FD 8107B1FB 0384C546 5F2B56A1 802C2D1F 813A6C68 79C37979 7DE51504 5BCB6850 78563809 79FD26CF 7C07F6C6 095DEE8D 771E0248 7CAC8E85 7ADD9A4C 7D75E6D4 7AFD1750 803DBAC9 754D276C 7BA42999 7B99574A 7CAB60F5
7E583612	7FD73F82 59370426
7B52059B	77776224 798A9746 7A6B9DC6 772813A1 7F0FF7AF 7C5E5AB5 7F36BBA3 06D823D4 7B3F526A 7EA418B8 7EB4945F 75CEFC28 7B84C7B0 80CCFFB9 77EC4607 762CED86 0993E394 7EB881EF 76318A23 09A09D4C 779EEF79 79B829D3 7822D580 77BB6AC7 773C60A5 7BC88824
7B48AE39	0212C97B 7915ACE0 7C27D694 80A2E199 0AFD933C 7F9F06FB 796F820F 7B7A329D 76B5D5D2 7664F36B 798DCC93 7830BE4F 7C081482 7E8C7A66 09ADA307 75CC4D33 77D0F65C 791B3989 75F1A097 751DF64A 7672D343 7D0430C7 80A8A569 79ED9910 7A5DBDDA 7CAA2168 8350B081 805C9040 80043764
804A5D2F	7C8B8698 7DEA743C 5E6A13E6 71AF2AAF 808050F2 7F364750 5F034B9A 0936E7C3 7873406F 801AEA44 625F7059 7E5ADA21 7E97B987 7F6DB9A1 7EA40120 81577D70 746103D2 7F4D6342 752A7E43 81592B3F 7D722DA9 8112B1FB 7B694AAC 8010621D 80220ED9 22FA25DD 790A6F8F 76B9CBFE 70FE485A
7EC2B972	6239B736 0201B8B4 7A99A8DD 78D7E1C8 7AD4A47B 760AE3E8 78FAFF86 79C28695 7B4F9FC8 76DB468D 5B3CA0DE 5FFF9EE5 78F9EEDF 7AF7DC21 77A2C54D 7828D60A 7592109E 760FB02D 767DEBBA 7F505F6E 79592BD8 78B2027F 8016C9A5 77D0084D 7A864500
7A04C0D4	8047AC28 80C60D7D
7A4968F0	76F3CC38 597709E6 7530D6B8 7F1F167C 7C3DF3AE 75C0BAFD 77E71522 7EA5B675 76EA9A3B 7B0F9564 7C28D5BC 76224E7D 75DBD9A2 00429229 7FC2848B 7AB132E9 7539C63C 768A9280 7C5A0C8A 752C49DC 7B3192FD 761FC25F 785F447B 780B8387 806E2515
7BD01299	7884C9CD 756435F8 798A9746 7F0FF7AF 76318A23 77A1EE7B 7983C078 767B7B5F 779EEF79 759467B0 78EDD0FE 5A710294 5FF64300 75FD8A24 7B266DCB 7D6E3E39 750E0056 05576276 78F3A39E 7C5E5AB5
7ACAD034	808BC55C 79A8F781 81211210 78279314 7C92996A 7E26F7BA 80B1B575 7D8ED6BE 7AA001D1 816B625C 0592C751 7AFAF1F3 07B17042 712ED1CD 7DE234C0
7C596753	76445A4F 7C84BEC9
7A9BBA12	5956162F 7EF9C8F9 7FCB7E7A 78633B20 75DAC72C 810767B6 775DF958 7DD00C81 80D68234 79399E5B 802AD03E 7E88C95A 7FFAD673 7E5A5396 7D2171D2 7FF4E26D 7F1DB672
7F24809E	79EC6572 75382796 79587AB4 00A46A67 79A8AD3D 7B5F54B4 7BC22D58 783CA6DA 7AB599D4 76988BCD 768BFFE3 780B3DB4 76448332 0D574E27 79C91E24 7A4C73AA 7AFC19D4 73C082D1 78D60D93 78402C55 79AB1CA2 7E42D4AD 807E9F7E 772F6994
5A0DF14C	59E11898 7733D52E 223E58C9 5832949C 7E992BE2 7D2E3005 7EFFEA4E 80822E44 7F6C4D7C 80489278 675AA443 7DBA0FAA
7FA739ED	75779459 5F04DD98 75679FE2 7A57246D 7853CCB9 7D07A8DD 7D26F256
7DE917BD	7C0495E6 806515DA 79642A52 7A1A96E4 7B65A659 7F103766 08D0A8BE 77B8B1D4 8132A67A 79B829D3 7D8F42BE 6213FE0B 7FB14866 75A767D8 7EB4945F 7C10EBFD 7757B2A1
80551F92	75A3E5C8 7F7CC8C8 7978C270 79C42F8B 7A225D45 75D493F2 7E0982BD 766EE834 79A4576F 7C00901B 806ECB7B 80C2180A 76425F44 7C5A45BF 825CD59C 80973DE0 77178182 048DD1EE 7C38B094 7DDA1B04 0D2D9CA0 7EE26FA6 7FA6923A 79D1B71B
78CE14CD	7C5DD1B4 7FCF2D9A 7DF589F2 5D4B260F 80A96F90
804BC14C	77F5C51D 6190E15A 7966D087 7CE7F699 7BD76118 77D13916 59E0122B 75C6EC0D 621546C7 75F6A01C 7B2070A5 7CC89048 6091B92C 78E34A11 7511C782 023400A6 7E8A8293
80B731B5	07694615 750F20FC 7E460FC8 750E3225 7A55FBB7 7D8BEC09 085C1214 7A39D711 21A2106F 5A377A7E 5F256F0A 75B240B0 00EEB1DC 77A2C668 825CD932 78006369 79C860FC 77514152 76986F5D
7BC05815	01BEA653 095C7269
7C274D98	7CEF02F5 7FE12712 76D98A64 8474CE67 7B24529C 7809BCA6 7C5A6CF1 7C9E057F 5A238FF9 7B1BE595 75CA30F4 80D71C24 0C3FCF90 7712CF42 7C4D38D8 7CBC0C58 7AFDBF1B 7BD5C2D6
7BE7A1A2	77CC7979 7C7EAB5D 77C426BD 794EFF82 7BF8D144 799B9849 7621984D 7C72283F 763029EE 77C921B5 754742CA 76E71226 7B3BA544 7649E95F 7BDCE0A3 7ABB5F09 798AC4CB 7A7EDF6D 7AC892E7 7B58F0A8 7B572A4F 7C4679D3 768CDD34
7F9B1B96	7D91AEC0 7EB3230F 7FB5856C 594F98A5 0582224E 7CC5B59F 78C3C464 80CC2938 7709804F 780C51B5 7D43B98E 776C4818 75BF73F4 7D051635 7FCECB72 7D544FD8 7DDEC4CA 8113714B 7D3D3737 79D3F950 01F7D26A 7FD1713C 7799BA15 00D9C034 77104BE5 7FBAC8E2 77C45C58 76E9594C 7D8C5F29 7CDEE416 813FCDC0 7DBE12B5 78FE52AF 7986AEDA 78658D61 812DE6BF 5F09042A 78D7139E 795F7147
8026BF90	7AF2DFFC 081BF805 7A77FE73 7AFC7B55
0236B96E	74EEAA02 58B24AFB 05D99F7B
7B23D7AC	7E57AB1D 75BFC664 7B8816AB 76149E0B 7860A024 76A4E903
7A4EA807	758AD953 7B4F2F78 7CDCFEE6 7C9DF066 7BB85221 769C2B95 7CAE5AA0 75D2C0DC 760CDF9D 7A657428 7BC793DE
8006C671	78CF7D1A 7B305A4A 7E593949 816E68A5 75891DA8 75EB1391 76034D57 7B8F3710 76B5E083 7BE7A44E 7D1DF581 5A11EC63 76F81E1E 7BFAC293 084DC732 7F4A1952 798E0EF9 7A8FC304 8030A918 7B1B4C12 7FAFE3FB 7FEC81B6 7F242242 7CAB9388 754DEFD6
77776224	793AF368 7B84C7B0 05576276 78EB3E8C 78F3A39E 77A1EE7B 7EDE313C 7CD5818B 771B62B5 7979B12D 779EEF79
7919D7D6	777BEB05 7C5A9B77 78501EFF 7C9EF463 75D5177F 760031F3 799BCE42 7CD47CE4 75942289 7EC876EC 7AD5C703 76CE8290 7618205D 7701CBC4 792C479B 782AD8F2 5F9C8B45 7AF2D444 788A4E9F 7B5E635F 75FA665F 7B05A581 7B4CF214 755F6092 77AD5B53 765D6DFC 776B63B1 7B566E38 808AC532 7BB733B5 7EB4C723 765AE8BD 7932459E 7C4AF377 76052F91 75A1EDE0 78D9DA70 5DD63F74 77CB3EA1 7CAF7DF8 62C4DB3A 7733EC16 79089075 7C18D444 7EC52E15 7B2F03A8 7B411EBE 78083C3D 7C256214 7C6414C0 7948A8D8 793C8946 7F4DD189 7B63C6C4 7531DE69 7BA282DD 7B54D297 78055D2C
79F67B86	7B3491FB 7F423AD2 7EE6BA73 7E2908EE 7960AE6A 800C9F74 07878598 7E88324A 7EEFB333 812362FA 7DBBA4BA 7E342B4F 7EB6395E 7F37294C 7C6AE6E0 7E838589 79A29729
7850C398	06A23A6E 79184135 76D4907F 77147388 0695639D 5AAA61DD 8058E0FE 7D5693B1 76092933 80939693 7F0638F2 7C441948 772BEFA3 0B0F37A4 7723567C 780B5F77 58347668 7C4DA0C2 7541CC4D 7E021A9F 07502331 7CC154DD 5ED0EA70 7EDDBBFE 75435A7A 7BB07DE3
5EE72C45	7E578EC3 8081A436 7B84E9C0 81752C53 7812E050 758F6E7F 7DA092AC 7FC6192A 8069D742 697403E8 7FB94C65 5C56A54D 7C20FC4A 81DA27CD 80A67C06
75BDAEB2	75FD4571 04CD9D43 7C5E3CC4 80D668E8 77887954 75EBF018 5A54B182 60192965 766DA8B9 7B7B3BBB 753DD15F 7F3DEDDA 861C7BF8 7A9FF098 7ACAC164 0AC5E512
79DE0C6B	761DF0CB 7F0B7FB7 62899C15 79A92FCA 8133FC37 5AA1772F 80801F56 7CEBE9B5
7E137376	7ECCC025 5D816226 6D3ED29C 7E9BEC89 7E856312 8116FEC7 80DF1147 7CE8884A
7B84C7B0	785AF1EF 78F3A39E 78EB3E8C 7AC59458 75F03C06 76318A23 77BB6AC7 79129B91 7D6E3E39 62D550EF 7B3D17E4 7D67189C 79E85FAE 7BBEDACD 7884C9CD 789DF7BC 7C73F0A6 76E63E0F 143A2C72 779EEF79 759467B0
78F8C352	757BA9D2 7C873F14 7819791C 7977C751 7BEC9E65 7E9233DA 76685B81 800A1401 768339DC 7B58E85E
7DE9E39A	80C5DBE4 7E6B0B14 78E2CFC4 7FFDEBED 7703BB2F 808DCCD7 591734CC 74D70002 7A79BE7F 80C14B5C 5C391E35 8130FEAF 5C497405 7AE42A0B 7D8BD804 80F915F1
809EA145	5927B12B 7E9273C4 6D7BF405 7F91C8E8 80A9DBCE 7D1E5343 7BD16A5D 7FDD85BF 7E4754B8 78CD2246 7DD5E426 85502C1B 792E7138 824C8A2C 8105C261 7FF1872D 715FB25D 7C55E235 0103C23B
7EEC7438	784EA8C3 7ABA55DA 79F5CD78 80F355CD 7BD9CEEA 79AFDF56 75D0F376 76330A4A 80F187FD 7E54B60E 5911A348 5B62E982 7A70003C 76763466 78558CF4 0BC229B2 79012D92 7573036F 7BCF366D 7D5E8C79 630A330D 77F81FBA 7A61FCF8 7B2CFF0F 7DCE4D28 7EE6D0B0 77422007 77BFE7B9
7F38F73C	7EA639BE 7F0EDD98 7DE08DC6 72B4D5CB 7D04A630 7F5EF423
766FD556	7F46FC0C 62DA487E 781B941E 7B31E5D0 0578C3C8 76B9244B 79B4D2D9 7ADC35BA 58B27DA6 760134B2 7B202745 7964279D
80B6156A	7C6278DD 79FE35A9 60071F70 75483BA4 81B07CBE 7D44D403 7A435F2A 765099BC 7A1C6AC5 78626F43
81943737	7E35C3E1 7FBD2625 80075FEE 80B0F8FF 7E57AB1D 7FA0C7C3 7C280E49 711A0C0E 800011B1 7CEDC5DC
78D9B1B9	7BA083B2 7E3C965B 7E794BB7 80F8C136 75106740 7D71404A 7769F7C6 7DA9DE2D 7ED516AC 80564E93 79CFCCAE 81164217 7FDCB208 80793118 76B38191 7584E57F 77D42AF2
790EF7DB	79DCC280 7C2C6A00 7C5280AB
75D8CCFD	8127DBD5 78E7F01C 5B56252D 021275F5 7C78A174 7A648D2D 7D1883BE 7F36BBA3 81157851 7567B57F 7AB7888A 7ED28858 5BBEBDD7 772B07C4 767EBA66 77BFB2E1 4B7006B7 77F30236 7FA924D2 7CF80360 7BAAC655
7C11DA44	7DBAB52B 7BA61BA1 5C6778CB 6BA4CE1A 7D1E92F1 80E4424B 799213B8 78C30DF5 7A9BFB50 7E068B9F 7CD81089 7B1252BD 810F1596 58B41FAA 75A149EC 6DD996CF 824A9082 84BC33E8 59F83079 8244615C
7CF09060	7EF6D5E1 7E7C3EBB 7639360C
7F7DC131	7FF06492 75F58B81 7FD73F82 7E8B42A3 7F476A93 7E0801F5 7EE73C7E 7B9A2D78 5FB7DFD3 80E3638F 813D81DC 5EA69159 5F875866 8060A9BD 78B87BF2 5DE9B144 7F60B6C3 5BEFA828 7EA8F9D8 09DE6A8B 79399E5B 599A3709 7EF50040 632E0A61 7CEBFD2D 5956162F
