7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
7A6039B8	IEEE Journal of Solid-state Circuits<--A 500 MHz, 32 bit, 0.4 μm CMOS RISC processor
7966A3B1	IEEE Communications Letters<--Comments on “IEEE 1588 Clock Synchronization Using Dual Slave Clocks in a Slave”
7C98E5B5	Journal of Parallel and Distributed Computing<--A new and improved algorithm for fault-tolerant clock synchronization
7D174BE3	Computer Systems: Science & Engineering<--Demand-Driven Weak Clock Synchronization for Distributed Applications
03363CC8	Information not present<--Direct measurement of Lorentz transformation with Doppler effects
7FD5B82A	International Conference on Distributed Computing Systems<--A Weighted Average Based External Clock Synchronization Protocol for Wireless Sensor Networks
5FFDB17C	Information not present<--Recent progress of the research work on frequency and time at the NIM. [China
75EE96F9	Control Engineering Practice<--Networked control with delay measurement and estimation
7D43AE95	Journal of Lightwave Technology<--Synchronous Parallel Optical I/O on CMOS: A Case Study of the Uniformity Issue
7B873C5E	Journal of Electronic Measurement and Instrument<--Distributed Real-Time System Monitor Based on Clock Synchronization: Distributed Real-Time System Monitor Based on Clock Synchronization
7ACF6B61	ACM Transactions on Sensor Networks<--Deterministic and Energy-Optimal Wireless Synchronization
76EED4CA	Sigmetrics Performance Evaluation Review<--PC based precision timing without GPS
5B2838C7	Ieice Transactions<--Decoupled Carrier and Bit Clock Synchronizing Subsystems for the Coherent MSK/GMSK Receiver
79710560	Advanced Information Networking and Applications<--Improving the Energy Efficiency of a Clock Synchronization Protocol for WSNs Using a TDMA-Based MAC Protocol
0A39D9AA	Information not present<--Consensus Computation in Unreliable Networks
7F45B5F0	IEEE Communications Letters<--Improving TCP Vegas Fairness in Presence of Backward Traffic
63E45612	Information not present<--Precise time transfer using MKIII VLBI technology
7689EC34	European Journal of Physics<--Relativity in a substrate
7F7308C4	IEEE Transactions on Software Engineering<--Use of common time base for checkpointing and rollback recovery in a distributed system
7F1DB692	Information not present<--Pipeline damage locating based on GPS fiducial clock synchronization and clock subdivision technology
7D4868B6	IEEE Transactions on Computers<--The timewheel group communication system
59AD266C	Information not present<--Local Area Network Distributed Realtime Clock Synchronization
789978EC	Foundations of Physics<--Synchronization Gauges and the Principles of Special Relativity
7EAB8545	General Relativity and Gravitation<--A test theory of special relativity: I. Simultaneity and clock synchronization
7698F489	Information not present<--Time synchronization via clock skew correction on ZigBee networks
7BBF30AB	IEEE Sensors Journal<--Consensus Clock Synchronization for Wireless Sensor Networks
77C81498	General Relativity and Gravitation<--The physical role of gravitational and gauge degrees of freedom in general relativity — I: Dynamical synchronization and generalized inertial effects
7A5D9294	Advanced Materials Research<--A Clock Synchronization Algorithm for TTEthernet
7F980C5B	Wireless Communications and Networking Conference<--Joint Time, Frequency and Sampling Clock Synchronization for OFDM-Based Systems
7EFD0521	Real-Time Systems Symposium<--WizSync: Exploiting Wi-Fi Infrastructure for Clock Synchronization in Wireless Sensor Networks
78E69109	Hormones and Behavior<--Food availability but not melatonin affects nocturnal restlessness in a wild migrating passerine
7C8506BC	International Conference on Wireless Communications and Mobile Computing<--Clock synchronization in WSN: Simulation vs. implementation
7895DC62	IEEE Journal of Solid-state Circuits<--A dual-loop delay-locked loop using multiple voltage-controlled delay lines
7D691E7C	International Geoscience and Remote Sensing Symposium<--Clock synchronization protocol for distributed satellite networks
7ACC82C2	Proceedings of SPIE<--Optical coherence and teleportation: why a laser is a clock, and not a quantum channel
76194597	Principles of Distributed Computing<--Efficient asynchronous consensus with the weak adversary scheduler
7EFC2F3C	Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks<--An energy aware coverage-preserving scheme for wireless sensor networks
7A9BEDE1	Information not present<--The high speed bus technology development program
8140B960	ACM Special Interest Group on Data Communication<--Time-based updates in software defined networks
62E6FF7A	Information not present<--a Josephson Bit-Serial Decoder for Application in a Crossbar Switch.
7EBD9E0F	Information not present<--Investigations on fault tolerant clock synchronization within a powerline communication structure
786849E4	Information not present<--Distributed synchronization in a wireless mesh communication network
75360F96	Information not present<--Multi-module synchronic data acquisition based on T-CLK
7E69892F	Computational Intelligence<--Research on Time Synchronization of WIA-PA Industrial Wireless Networks
7F28FE90	Sensors<--Energy-aware wireless-wired communications in sensor networks
7CFFF5F3	IEEE Journal of Solid-state Circuits<--An analog synchronous mirror delay for high-speed DRAM application
7DA64162	International Symposium on Circuits and Systems<--A novel technique to reduce the metastability of Bang-Bang Phase Frequency Detectors
7F0A68EE	International Conference on Acoustics, Speech, and Signal Processing<--Maximum Likelihood Estimation of clock parameters for synchronization of wireless sensor networks
76D99244	IEEE Transactions on Software Engineering<--An authentication logic with formal semantics supporting synchronization, revocation, and recency
7EEAE6B6	International Conference on Telecommunications<--Precision Time Protocol Prototype on Wireless LAN
75491F2B	Physics Reports<--Conventionality of synchronisation, gauge dependence and test theories of relativity
623F30E0	Information not present<--Observables in Relativistic Quantum Mechanics
7D6C9F4B	Information not present<--An Efficient One-way Delay Measurement Algorithm in Packet Switching Network
76ED45D0	Foundations of Computer Science<--Clock Synchronization with Bounded Global and Local Skew
7DD871ED	IEEE Photonics Technology Letters<--All-Optical Clock Recovery Using Erbium-Doped Fiber Laser Incorporating an Electroabsorption Modulator and a Linear Optical Amplifier
09030D28	Information not present<--A Spacelab experiment on clock synchronization and one-way ranging
7A455BF5	Document Analysis Systems<--Proximity synchronization for mobile wireless sensor networks
7D9DFAF7	International Conference on Computer Communications<--A Packing Approach to Compare Slotted and Non-Slotted Medium Access Control
7BC8EE8A	Information not present<--The design and testing of a new FPGA Data Acquisition System
811FEFFA	Proceedings of the IEEE<--Time synchronization via lunar radar
7EAE43EC	Information not present<--Verifying the Interactive Convergence Clock Synchronization algorithm Using the Boyer-Moore Theorem Prover
7D6DBE87	Applied Stochastic Models in Business and Industry<--Maximum likelihood estimators of clock offset and skew under exponential delays
5D73A135	Information not present<--C.: Best paper: Stabilizing clock synchronization for wireless sensor networks
79932A6F	Applied Mechanics and Materials<--Design of Can Bus Clock Synchronous System Based on STM32
6FEF25BB	Information not present<--A DSP perspective of sigma-delta techniques and applications in communications
8098EEDA	Journal of Lightwave Technology<--Simultaneous Prescaled Clock Recovery and Serial-to-Parallel Conversion of Data Signals Using a Polarization Modulator-Based
7F527F8B	Information not present<--Security flaws and workarounds for IEEE 1588 (transparent) clocks
78969FAD	Information Technology Journal<--Range-Based Clock Synchronization Protocol for Wireless Sensor Networks
7D6B3EF3	Information not present<--A runtime stability analysis of clock synchronization precision on a time-triggered bus prototype
7E743DB0	Wireless Personal Communications<--A Clock Synchronization Algorithm for Multihop Wireless Ad Hoc Networks
7B1FC280	Information not present<--Robust time-based localization for asynchronous networks with clock offsets
7EBBBCAB	IEEE Transactions on Communications<--Some improved and generalized estimation schemes for clock synchronization of listening nodes in wireless sensor networks
63EAB9FD	Information not present<--DIVA - towards microarcsecond global astrometry
78761F2B	Distributed Computing<--Self-stabilizing 2 m -clock for unidirectional rings of odd size
7F9D9677	IEEE Transactions on Instrumentation and Measurement<--A Servo-Clock Model for Chains of Transparent Clocks Affected by Synchronization Period Jitter
073A7D61	Information not present<--Clock Synchronization in the Presence of Omission and Performance Failures, and Processor Joins
5E1963AE	International Conference on Principles of Distributed Systems<--Linear Time Byzantine Self-Stabilizing Clock Synchronization
0C29F93E	Information not present<--Clock synchronization in CAN distributed embedded systems
7DECC3A7	IEEE Transactions on Automatic Control<--Consensus Computation in Unreliable Networks: A System Theoretic Approach
7E1A1B85	Hawaii International Conference on System Sciences<--Self-timed neural model implementation: an example using CMAC
0A4EBC2B	Information not present<--NBS develops new clock synchronization technique.
7EC0AD1D	IEEE Transactions on Industrial Informatics<--On the Seamless Interconnection of IEEE1588-Based Devices Using a PROFINET IO Infrastructure
7CDD1F41	Information not present<--Joint location and parameter tracking of mobile nodes in wireless networks
8093D58B	Information not present<--s T from the SSCR LLLL(fn) with Application to Clock Sources for High-Speed ADCs
2D3981BC	Information not present<--Precision Time Synchronization System over Wireless Networks for TDOA-based Real Time Locating Systems
125F1A55	Information not present<--Design and Implementation of Precision Time Synchronization in Wireless Networks Using ZigBee
7BEB9A8E	Information not present<--Multi-node Echo Method
7E6CF586	Information not present<--Phasor assisted state estimation for NYS transmission system --Implementation & testing
814D046C	Information not present<--Clock synchronization based on distributed hidden state estimation
7F170EA8	Wireless Algorithms, Systems, and Applications<--MTSP: Multi-hop Time Synchronization Protocol for IEEE 802.11 Wireless Ad Hoc Network
7EA1A2AB	Information not present<--Time synchronization for Wireless Sensor Networks operating in extreme temperature conditions
7D9A4E89	Information not present<--TTP - A time-triggered protocol for fault-tolerant real-time systems
6B63D562	Information not present<--Real-Time Control Systems with Delays
80021BC8	Symposium on Reliable Distributed Systems<--Analytical Assessment of the Precision Degradation Caused by Faults in a Fault-Tolerant Master/Slave Clock Synchronization Service for CAN
7A88E5CB	Foundations of Physics Letters<--NONEQUIVALENCE OF ETHER THEORIES AND SPECIAL RELATIVITY. COMMENT ON RECENT INTERPRETATION OF LORENTZ' ETHER THEORY
78C5951B	Journal of Physics: Conference Series<--Clock Synchronization, Dirac Observables and Gauge Variables in Canonical Gravity and the Objectivity of Spacetime.
762599B1	Microprocessor Test and Verification<--Achieving Glitch-Free Clock Domain Crossing Signals Using Formal Verification, Static Timing Analysis, and Sequential Equivalence Checking
773E5033	Design, Automation, and Test in Europe<--ASIC implementations of five SHA-3 finalists
724BE3D3	Information not present<--Clock synchronization technology based on FPGA
80443262	Information not present<--The method of time synchronization based on the combination of COMPASS GEO pseudo-range and two-way data
805031C6	IEEE Transactions on Instrumentation and Measurement<--Experimental Characterization of Synchronization Protocols for Instrument Wireless Interface
7CEF4BED	Euromicro Conference on Real-Time Systems<--Fault-tolerant clock synchronization for embedded distributed multi-cluster systems
7F3668FA	Real-Time Systems Symposium<--Fault-tolerant clock synchronization in CAN
7DA910F5	International Conference on Distributed Computing Systems<--A clock synchronization algorithm for multi-hop wireless ad hoc networks
7D767D91	Emerging Technologies and Factory Automation<--Synchronizing sampling and actuation in the absence of global time in Networked Control Systems
76A27E5C	Emerging Technologies and Factory Automation<--Time-based localisation in unsynchronized wireless LAN for industrial automation systems
6F4B4AFF	Information not present<--Relativistic effects in GPS
061C0F13	Information not present<--ETS-VIII高精度時刻同期実験(宇宙応用シンポジウム-観測・通信衛星の軌道上評価と将来衛星搭載機器開発-)
7D24E95D	Information not present<--Self-adaptive clock synchronization based on clock precision difference
7CF9D732	Information not present<--A 2 V clock synchronizer using digital delay-locked loop
7F498585	Embedded and Real-Time Computing Systems and Applications<--Clock Free Data Streams Alignment for Sensor Networks
62A065A0	Information not present<--The LASSO experiment
0702F72D	Information not present<--Causality, faster than light signals and clock-synchronization
75C04178	IEEE Transactions on Dependable and Secure Computing<--A Time-Optimal Self-Stabilizing Synchronizer Using A Phase Clock
5C58861E	International Conference on Telecommunications<--Implementation of asynchronous performance measurement (APM) protocol for the Internet
7CC53C6A	International Symposium on Computers and Communications<--Synchronous distributed wireless network emulator for high-speed mobility: Implementation and evaluation
5E74AF06	Information not present<--IEEE 1588의 Zigbee 네트워크 확장을 위한 PTP 게이트웨이 설계 및 구현
7C16742B	International Journal of Theoretical Physics<--Clock transport synchronization and the dragging of inertial frames for elliptical orbits
5E295B07	Information not present<--York Map and Non‐Inertial Frames in General Relativity
7F650096	Emerging Technologies and Factory Automation<--A novel, high-precision timestamping platform for wireless networks
7EEBBE8E	IEEE Transactions on Instrumentation and Measurement<--Design and Implementation of a Switching Controller for Transient Improvement in a Time Synchronization System
7D72FA00	IEEE Journal on Emerging and Selected Topics in Circuits and Systems<--Designing a Process Variability Robust Energy-Efficient Control for Complex SoCs
75FE6A06	Journal of Complexity<--A clock synchronization problem with random delays
61C0D21B	Information not present<--Design of a phase-lock loop with time delay for a synchronous multiple-access system via on-board signal processing satellite
71F75089	Information not present<--CAN 네트워크의 시간동기를 위한 IEEE1588 구현
008E17BE	Information not present<--ΑΠΟΦΥΓΗ ΑΝΑΜΟΝΗΣ ΣΤΟΝ ΣΥΝΤΟΝΙΣΜΟ ΚΑΙ ΣΤΗΝ ΕΠΙΚΟΙΝΩΝΙΑ ΠΟΛΥΕΠΕΞΕΡΓΑΣΤΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ. ΑΛΓΟΡΙΘΜΙΚΑ ΘΕΜΑΤΑ
7CD3485B	Principles of Distributed Computing<--Towards a topological characterization of asynchronous complexity
76B9A27C	Journal of The Japan Society for Aeronautical and Space Sciences<--Satellite navigation method based on user's clock synchronization
7FB675AD	International Conference on Application of Concurrency to System Design<--Composable Guarded Atomic Actions: a Bridging Model for SoC Design
7FD9D0A2	IEEE Transactions on Parallel and Distributed Systems<--Fault-tolerant clock synchronization in large multicomputer systems
75A610B9	Principles of Distributed Computing<--Distributed reconfiguration of metamorphic robot chains
7D5A3C1E	Radio Science<--Practical implications of relativity for a global coordinate time scale
7A2F6BB2	Information not present<--Comparative analysis of synchronization strategies in sensor network with misbehaving clocks
79687E9D	Distributed Computing<--Using adaptive timeouts to achieve at-most-once message delivery
775A15D8	Advanced Information Networking and Applications<--A Design for Performance Improvement of Clock Synchronization in WSNs Using a TDMA-Based MAC Protocol
59DE194B	Real-time Systems<--Possible and Impossible Self-Stabilizing Digital ClockSynchronization in General Graphs
626128E7	Information not present<--Short turn-around intercontinental clock synchronization using very-long-baseline interferometry
72AE973A	Journal of Photochemistry and Photobiology B-biology<--Distributed source-destination synchronization
61161574	Information not present<--The navigation experiment NAVEX: Experimental results of clock synchronization
7EB0D1C8	IEEE Transactions on Circuits and Systems Ii-express Briefs<--A 100 MHz-to-1 GHz Fast-Lock Synchronous Clock Generator With DCC for Mobile Applications
5B748897	International Solid-State Circuits Conference<--A 330 MHz low-jitter and fast-locking direct skew compensation DLL
059EDC06	Information not present<--Self-stabilizing Byzantine Pulse and Clock Synchronization
7B35D02F	Asia and South Pacific Design Automation Conference<--Functional modeling techniques for efficient SW code generation of video codec applications
8140D6C3	International Conference on Communications<--A mutual clock synchronization method using weight coefficient for wireless ad hoc networks
627BCB91	International Symposium on Information Theory and its Applications<--Long baseline clock comparison with multichannel GPS time receivers
811F5C31	IEEE Transactions on Nuclear Science<--Assessment of Precise Time Protocol in a Prototype System for the ITER Neutral Beam Test Facility
7F041770	IEEE Transactions on Industrial Electronics<--Clock synchronization on the factory floor (FMS)
772316F0	Il Nuovo Cimento B<--Questions on universal constants and four-dimensional symmetry from a broad viewpoint. I
79C2304E	Applied Mechanics and Materials<--Clock Compensation Strategy in Train Ethernet
77830939	ACM Special Interest Group on Data Communication<--Timed consistent network updates
767C5C6F	Information not present<--Light-Sync: A low overhead synchronization algorithm for underwater acoustic networks
71CC9B67	Information not present<--The Einstein-Maxwell-Particle System in the York Canonical Basis of ADM Tetrad Gravity: III) The Post-Minkowskian N-Body Problem, its Post-Newtonian Limit in Non-Harmonic 3-Orthogonal Gauges and Dark Matter as an Inertial Effect
7EC2E3A2	Mobile Adhoc and Sensor Systems<--Analysis and implementation of scalable clock synchronization protocols in IEEE 802.11 ad hoc networks
5EE57F1F	Journal of Computing and Information Technology<--Clock Synchronization in IEEE 802.11 Ad Hoc Networks
0D093140	Information not present<--Deep very low frequency seismic activity in low frequency tremor zone: Monitoring by broadband seismic array analysis in Western Japan
81621142	Rapid System Prototyping<--Experience with RAPID prototypes
7D00CF97	Information not present<--Clock Synchronization Issues in Multi-Cluster Time-Triggered Networks
80D6524F	IEEE Communications Letters<--IEEE 1588 clock synchronization using dual slave clocks in a slave
8150BCDB	Information not present<--An optimization approach for robust transformation of measured range data into position estimates in wireless networks
77BE6D4B	Parallel Processing Letters<--On Self-Stabilizing Wait-Free Clock Synchronization
7D466127	IEEE Transactions on Communications<--Novel Clock Phase Offset and Skew Estimation Using Two-Way Timing Message Exchanges for Wireless Sensor Networks
265E2B87	Information not present<--SBAS 신호 동기 알고리듬에 관한 연구
7886BFBC	Foundations of Physics Letters<--Noninertial Observers in Special Relativity and Clock Synchronization Debates
7ECC236F	IEEE Transactions on Signal Processing<--Joint sampling clock offset and channel estimation for OFDM signals: Crame/spl acute/r-Rao bound and algorithms
79C29837	Computer Communications<--Data communications network for a merchant bank
75AE3C6F	Global Communications Conference<--A New Distributed Approach for Achieving Clock Synchronization in Heterogeneous Networks
7736B40A	Picture Coding Symposium<--Unified Time Service for virtualized Teleimmersive environments
5BAFB49E	Computer, Information, and Systems Sciences, and Engineering<--A 4 GHz Clock Synchronized Non Coherent Energy Collection UWB Transceiver
7E84FFE9	Formal Aspects of Computing<--A formal model of asynchronous communication and its use in mechanically verifying a biphase mark protocol
0E963C3B	Information not present<--The influence of effects of relativity theory on clock synchronization using a very long-base interferometer.
7981C67D	Information not present<--Structured multistage approaches for the design of on-board channelisers
59145266	Fuzzy Systems and Knowledge Discovery<--Energy efficient dynamic cluster based clock synchronization for wireless sensor network
78610C0C	Computer Communication Review<--Efficient at-most-once messages based on synchronized clocks
7FFF912D	Great Lakes Symposium on VLSI<--Rapid-prototyping of high-assurance systems
78E36207	IEEE Transactions on Instrumentation and Measurement<--Clock Synchronization via Relay II Satellite
76D2A243	Information not present<--Final Results of a World-Wide Clock Synchronization Experiment (Project WOSAC)
5C89E57C	Kommunikation in Verteilten Systemen<--Real-Time Support on Top of Ethernet
7E71F9F5	IEEE Photonics Technology Letters<--All-Optical Phase Control of a Square-Wave Photonic Clock
5CB97A23	Information not present<--The Objectivity of Spacetime: Dirac Observables and Gauge Variables for the Gravitational Field
7AE202BE	Journal of Mathematical Physics<--“Clock rate synchronizable” reference frames in curved space–times
7E8C3D75	Information not present<--A convergence function for clock synchronization protocols
808EEE46	Parallel Computing<--Scalable timestamp synchronization for event traces of message-passing applications
0AB02AA9	Information not present<--An efficient fault-tolerant algorithm for clock synchronization
083C5648	Information not present<--Calculation of the FlexRay Clock Precision
756F8235	Information not present<--Ultrafast, single-shot phase and amplitude measurement via a temporal imaging approach
60FAF6AA	Information not present<--Satellite-aided navigation - Availability and application of the Global Positioning System
80F4C40D	International Conference on Distributed Computing Systems<--Probabilistic clock synchronization in large distributed systems
8026D85D	IEEE Transactions on Instrumentation and Measurement<--An Implementation of IEEE 1588 Over IEEE 802.11b for Synchronization of Wireless Local Area Network Nodes
7DB5A99C	Information not present<--Clock synchronization in wireless distributed embedded applications
7BBD9627	Principles of Distributed Computing<--Byzantine clock synchronization
80EE5723	Information not present<--Safe deterministic replay for stimulating the clock synchronization algorithm in time-triggered systems
76DEA59F	Principles of Distributed Computing<--Clock synchronization with faults and recoveries (extended abstract)
7E4652A7	IEEE Transactions on Signal Processing<--Distributed Clock Synchronization for Wireless Sensor Networks Using Belief Propagation
80B916E6	Information not present<--Minimal cost clock synchronization using a sender-receiver protocol in Wireless Sensornets
75C7AB9E	Theoretical Computer Science<--Towards a real-time distributed computing model
7D5668E3	Information not present<--Timestamp synchronization for event traces of large-scale message-passing applications
7E459469	IEEE Transactions on Parallel and Distributed Systems<--Interleaved all-to-all reliable broadcast on meshes and hypercubes
04550C46	Information not present<--Clock synchronization with deterministic accuracy guarantee
7B6C6996	Journal of the ACM<--Simulating synchronized clocks and common knowledge in distributed systems
77C611EA	International Journal of Information Security<--Reactively secure signature schemes
7FFF28E4	Principles of Distributed Computing<--The asynchronous bounded-cycle model
7F96E29E	International Journal of Satellite Communications<--Satellite communication systems for domestic/business services
7D222ADE	Global Communications Conference<--CTH15-2: Analysis of Clock Offset and Skew Estimation in Timing-sync Protocol for Sensor Networks
021F5CD7	Information not present<--Verification of Fault-Tolerant Clock Synchronization Algorithms
5C3180B6	Information not present<--Time and frequency reference for a trajectory measurement system
79D68A0B	IEEE\/ACM Transactions on Networking<--Tracking low-precision clocks with time-varying drifts using kalman filtering
7FD9C3EA	Intelligent Information Technology Application<--A Novel Vehicle Detection Method Based on Wireless Magneto-resistive Sensor
7F7D3443	International Solid-State Circuits Conference<--A voltage-scalable biomedical signal processor running ECG using 13pJ/cycle at 1MHz and 0.4V
8103F08B	Information not present<--Evaluation of a new algorithm for fault-tolerant clock synchronization
7B1C5264	Principles of Distributed Computing<--Implementing wait-free objects on priority-based systems
76DFD911	Information not present<--A VHF-level fully integrated multi-phase switching converter using bond-wire inductors, on-chip decoupling capacitors and DLL phase synchronization
753B9FA0	Computers & Security<--Password authentication schemes with smart cards
746FA68B	International Parallel and Distributed Processing Symposium<--Switched real-time ethernet with earliest deadline first scheduling protocols and traffic handling
797A48C6	Information not present<--ポスター講演 圧縮センシングを用いた差分遅延トモグラフィにおける基準経路選択に関する研究 (ネットワークシステム) -- (特集セッション 無線分散ネットワーク)
821414DF	Sensors<--Maximum-Likelihood Estimator of Clock Offset between Nanomachines in Bionanosensor Networks
77FAFDB2	Information not present<--Quantum key distribution with 1.25 Gbps clock synchronization
63289DA3	Information not present<--Temporal distribution and clock synchronization
763B165D	Information not present<--Software-based photon counting telemetry receiver for an infrared communications satellite
7614C27E	Information not present<--Method for High Precision Clock Synchronization in Wireless Systems with Application to Radio Navigation
7E0BD240	IEEE Transactions on Consumer Electronics<--Low complexity synchronization design of an OFDM receiver for DVB-T/H
78CCC3EE	Canadian Journal of Physics<--Clock synchronization by accelerated observers: metric construction for arbitrary congruences of world lines
7EF66AF1	International Conference on Computer Communications<--Optimal Anycast Technique for Delay-Sensitive Energy-Constrained Asynchronous Sensor Networks
7CD6BE39	Information not present<--The application analysis of IEEE1588 in smart substation
7C1CB97E	Distributed Computing<--Easy impossibility proofs for distributed consensus problems
036D10FB	Information not present<--Theory of Clock Synchronization and Mutual Exclusion in Networked Control Systems
5909B319	Information not present<--Ultra-fast clock recovery for burst-mode optical packet communication
7FB43D8E	IEEE Transactions on Communications<--Clock synchronization for wavelet-based multirate transmissions
7E12A1DF	Information not present<--Sub-Clock Extraction of Optical Signals at High Rates using an Opto-Electronic Phase-Locked Loop Based on Three-Wave Mixing in Periodically-Poled Lithium Niobate
59DBD211	Journal of Information Science and Engineering<--Multi-hop time synchronization protocol for IEEE 802.11 wireless ad hoc networks
588F8C70	Information not present<--TDOA 기반의 실시간 위치 측정 시스템을 위한 고정밀 무선 시각 동기 시스템
81481D38	IEEE Transactions on Parallel and Distributed Systems<--Coupling-Based Internal Clock Synchronization for Large-Scale Dynamic Distributed Systems
779F728F	IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control<--Efficient predictive estimator for holdover in GPS-based clock synchronization
5D01BCDB	Embedded and Ubiquitous Computing<--Predicate detection using event streams in ubiquitous environments
7E51CB89	Information not present<--Over-Sampling PLL for Low-Jitter and Responsive Clock Synchronization
6B773659	Concurrency and Computation: Practice and Experience<--Clock synchronization in high‐end computing environments: a strategy for minimizing clock variance at runtime
7F5B30C8	IEEE Transactions on Instrumentation and Measurement<--Foreword to the Special Section on the 2007 IEEE International Symposium on Precision Clock Synchronization for Measurement, Control, and Communication
7C962229	IEEE Transactions on Very Large Scale Integration Systems<--Flexible and Reconfigurable Mismatch-Tolerant Serial Clock Distribution Networks
7F200392	Information not present<--PariSync: Clock synchronization in P2P networks
62F155D7	Information not present<--Periodic phase adjustment distributed clock synchronization in the hard realtime environment
5FE07381	Information not present<--Data Detection Performance of an MTR-UWB Receiver in the Presence of Timing Errors
