75E9EE08	7490F672
80AD89D7	80FEF5D2 7125E72F 71AB025B 80982FFC 68D73F41 795769A1 7C9C2B58 592524BB 59C1E935 81166302 5A4E6338 8018B70C
09260454	79C73C85 7DB42BE2 7B79A992 750BC34E 0482EFD6 072A411C 5B4FC785 7B903BAC 7F1DD39C 5DAC4BA4 58C7C867 7816DD21 7D58FA68 7C03857E 7E48AF97 7D3B4697 5C337ECA 808FA5B8 7A2B0ABC 03220AC6 600731A3 7F2FB28D 86007CEF 2E980B55 5D0AC3D2 83923FC8 03040351 7C44ADCB 5D7D163E 77B8F13C 77F92531 7C15E993 5F279D07 5A4793CD 72A7EFA3 689F1C34
7E2C7EAE	7CD4F8C6 7F3912C0 7CF94BFA 7E367F08
7E289671	04FC3967 73C11762 7EEE3B94 7D3A27D4 5F0DE099 792B3D34 7FEF5828 7E61159F 7D03ABC5 7B1EDBF1 820368DA
80B4DCF3	78554358 7B857AA6 7A30878E 7D69567D 7564C97F 7F2D5330 7B8C7805 78107C0B 79C90CCB 807764F4 789963F7 7C5029DD 770DCA6E 75B5B447 7B78812E
7F04E10C	7CF15C5C 7D277743 76CE7EE7 7C713629 7E7F4D9D 7E73E172 80415B4D 7DD8E593 81BBC664 726928B7 804A78DB 805ABC7E 7D5E458F 7768A2EA 7D0D5FAC 7FF19F50 7D24F40D
7EE31DE8	5E7DD499 5EDCD9EC 03B704B1 7F923965
8071DB7F	7D1A9BDA
7B3C7519	7F326EEA 7F572F89 7A046F7B 7BFEADC0 7858EF39 7B36F6DA 5AB57D48 7D490B5C 5DBA2BAD 8027019D 7D7AD06D 7D1637C7 8009F0E7 7ACA23F6 75CA3CEA 7DABA95A 5A7A8B8E 7E0CDBE8 59DC6726 7E679A5B
7F1C8281	79399E5B 817409D3 823590C0 68D2DE84 7FFC3CD4 7EC7B132 7D8C91C6 6100276C 796BE949 7D8A0F68 80373DBF 7E569D76 7ED6F8FE 7FBF2744 7F0AC486 816A8ED4 8178F69D 7DBE7BCA 7F9E2547 711A53C0 026AC4DE 7ED6FEC9 5D5954DD 7B17DF73 7EB0BE8F 5BE39803 7DC059CE
809322BB	7B98BCE2 7D6EA09E 61627AA4
7576411D	7D72E0FE 817736CD 7F6A85DB 7F52976C 5D8BFBBC 7E2E8999 816D56CC
7DBF5801	5A22B2E9 813F4195 06FD6779 7D2957EB 5F95FF12 02085F88 77D40BBA 77D46E02 7C6CD28F 7E81FE9E 7CE84109 09E74668 7805A0EA 79A30F4A 0AB9AD8E 8049905F 7CBB2E71 7B389D40 7684F038 7887AAA8 79841A8C 7BBBDF74 7D70B7F7 7AD3E400 77668407 805AFDF1 75478B80 7E984976 5F70C98A 80F34C2E 759E67B0
7D703D00	81238BA6 6522BFA2 768B4099 7D2C6537 8097B03A 7D902415 759D9EAD 7A56941C 75EECB49 7936FFD2 79D567C7 5B246280 6166CAB8 77534145 7BE5F2B6 75E7AC0F 795ACFC4 7D9C3C0F 5F79B9A1 06C29098 7BC8A1C8 7C520BB2 7D0933D4 752D3695 78B3D0DF 80413776 78F7756B 7AFA8FB5 7B985E85 80F6C7C5
807FDF49	7F52B66C 788D5AB8 747D4004 796CEF94 0A2F140E 809EB3EA 8141A101 78CA03BF
7F5ACB25	7D38B4F6 7E1FD505
7DBCD4F7	7D88A69B 7E44A621 80A13A1D 7CF6A32A 5DA4C261 7D9F9DD7 5D45C8E0 146A003A 8137812E 79846DA5
7BE40DF2	7BEE2635 7BFBF140 7E66AEDC 7C7A83EF 5C74EFBE 7F391D35 7F5BF69E 781B281B 7622C80A 7CD11AEC 5AE4727E 79F8639A 7ACECD14 7805A0EA 79DCB89D 7B2B408A 7627EC73 8167F9A4
7E5D8B9A	7A76763F 7FFA4FD0 79A0BD46 058A71F1 5F6A34CA 055C8887 068739C3 7E8E176C 7C267D1F 65DEE340
7E619557	8089EFA3 6326E611 61E9F8A4 7F8647B0 7EF8CBBB 80EDA9F6
77CB01CA	7D556CC2 7DE61753
7D19DE00	6D854526 00FA8B52 756A336A 7F5039CC 7818F49E 60C5DA0A 59072895 7DD20B8B
7D580974	0253C876 80F13ED8 5C2AAA98
803DFD22	7A1BFB47 7EFEBFD6 77D58DAA 7D104B3F 8173BE05 7A04054F 7972656F 7DCEDA70 7ED8F0B4 7987EFE7 7819BAB9 7AE9D1F7 813AD7FD 7D55B914 7FFDD841 7DFF2329 7CFAAF78 7AABCC8F
7D527761	808B13E5 7ED58A23 7ECAC6F5 8255F347 5BD3A1D6 81617764 5854EED1 7A474187 5D356764 80840A39 632E37AC 78A50150 7E82406F
7E0A8947	7A369D3F 78E922E5 0B989FC9 5AEA2C3F 5DC84EBB
7F35DC5F	780E4472 7A4B434A 8069BFCF
7C7ACE7A	7D29E229 7A1DCBF7 7CA4C7CA 7AF0B88C
7E6ED18A	7B741529 8091847F 7FCBF510 7CFF0888 7FE0E4C3 7E464E8F 80999CA3 7F5EF897 7D86F498 811EDD12 7D2E28F6 7F57E137 811AF076 58AA5C97 78201B3D 8091AA83 72D6EDEA 7E4576C8 81197ED4 77A3C22B
7AFA5F69	7A0469C3 7D55EB09 757BB126 8014CEA3 7E73C54C 81757DC2
80EEDBA0	805F50BC 802E7876 04020415 5853BECB 7E5197C4 02A99268 7E644356 7EA90857 7CE089B3
7F6D3A8A	803EF51A 81592338 7A45865E 7F998962 773D84E9 80D4A8E8 7D269E98 814A3EC0
8065FB58	80466F51 80C8C95B 7FD63CB6 7E57B628
807C68A0	8100A796 7DDC2B3F 7F516750 7F0DD8F6 7FA0CE40 7DCF595C 7CFF710C 5FBF16B7 8133CB5F 7F2B82CB 7FCF2917 79918996 7ABE7035 76638744 802ADAB9 7D6FECBC 77F11567
783E5F87	7614C5D7 7B908C9A 827E7A68 754AB01D 78D43762 791E11B0 7F7A3787 7A8DFA0C 7C4A6747 7D7E7929 7CBFD8D6 7BB6BE20 796B0B41 7544122E 79D20ED9 81FF4AC1 77DEE0E7 7A8ADF9D 7CAD97A9 7581A1F3 7EE63822 7E08B0AC 782FF965 7610D6B8 78B97FA3 7CBF6808 7E4B401B 7E24552A 7D15E08E
7FA02D2D	59789EDE 7E401B9F 7768A2EA 0A8A87FB
7D9B1A68	79EE1D88 264D8EEC 7D225D07 5EB08D94 789ECBAD 7F4D2466 7E75DC46 780F40A3 7AEFC4F2 58585EE9 7D1790EC
80AD8E7E	7FC7311B 8002A3F1 7D8A5D41 7F29274A 5D4E0BCB 8135D856 77468765 7F423AD2 8058DC82 7B56AB6B
7D5B9655	76B5C3AA 7767C34D 0B3EC1B7 7A57AA7F 7D646F3A 80550D49 7EFFE054 7C395D05 78307707 80BFB3FD 77B47B58 7D44F342 0A9A6481 7A80BEE2 798591A5 5A1AFB8F 5B3D715E 76DCAA31 7CFB0D23 80E9F406 7154CBD2 7BADDF2C 809A6951 811A0DBA
5C8D6709	77DECA64 7CF8AB20 7CFF1F2C 7862CBCB 7E996C3F 7F730AB6 7AD92523 75AE0CAE 7C08FE35 7B148A7A 80D7DE87 7CE9F716 79791628 76F50D3C 75BAC4DD 7943377F 7BD55429 7D5CA11B 01ADD101 7C5B1089 7771D468 77ACFDEB 80E65ED9 7C7CD21A 7CC8BA6F 7C4FA61F 7AE8F2E6 7979B627 7865528D 80269581 7E5DD1B3 75321ED5 81D3A7B1 81EAA95B
791D304D	79FD94F6 787D809B 791A416F
7EFAE5B4	8144F2AD 70FBD3CB 0378B108
76255641	8162C9FA 7E2961D2 811B2F7D 7E54E82B 7F135B5C 5E7522E9 77408984 7E2DB188 803086E6 7E58BE1F 6848153C 7922D431 7E82406F 78ACD471 04791702 813F9C36 7D1C83D1 7F913E94 81149C0E 7581421E 7BD51D9B 01F266BF 594E1844 6247FD76 8146DFD5 7B0E51CE 7D50EF49 751A4764 093811A8 7B3CC4A5 7FDCF4B0 7B3DB9F5 861DB24C
72134DE2	056A5629 084E1B25 01BD24D7 7E4896DC 7FA1DF78 78F4BD38 7EA84801 7D4237FA 80EF4F31 7BE93491 037725C3 07D6BFF6 7CEA14A6 594EE2A9 084EABF4 7E3EC6A9 0A79D246 768DE0DA
80FA0E8E	7FFD3B41 82038DD3 7F3163FE 82192DBA 59CFEB06 7BBB0659 766A5074 78290D26 7F8D6F45 7BD02BD1 7B2DCE3B 099B65EF 5A8FDDF8 5CE6A4AD 58E6BAFA 7E646DA5 80C47495 7F12AA17 7F7DC895 019B26FB 781EBD11 7E1752A1 7F619306 7D0A9A81 8111FEDC 79916C11 0753C19B 75A13D3A 00583C1B 751B63E2 7F2DF451 77913EA0 76EB3E35 77669F87 813DD84A 7015045B 812C5F5F 7F54BAA0 7F930D34 7C4CCBA7 804C0315 81190663 79512A68
7EA12F75	77A420FB 7E163EEA 7F8E4FB4 7AEF6427 7C5BAEEB 80CAA3C4 817736CD 7E2EA91C 7ADDB5A8 76AEEDF4 7E1EDFB5 7EE2623D 7EDB4AE7 7F8C4693
5E7AB4F3	7DA35781 7AD25911 6326E611 79F61B7F 7E44A621 8030FEC4 7E9955D1 7F7605F5 7B0C54AE 7E91C55E 5D52FFEE 75746EAA 7EDDC92D 8137812E 7F52E3B6 8059E745 8102A449 81542C17 5CEF6913 759A86D2
7679DDB3	62B4689F 7EFDDC73
59BB0BD8	760E58D7 77408984 80FDC3F3 7F677A15 7FA2CB38 06361EDF 80E772C7 80C13845 7828982E 77DB45ED 753E1EFA 79E38A1F 7FE28120 7D99D57C 76FE3843 7E4B7F59 7D1B265D 77002265 7A2BD769
786EB401	5F2FE554 768958A2 798E504D 75705351 790A5DAA 763E0C72 76C5C8E4 7E9E8B68 851C6FC8 77A572FC 752194F4 76ABBFE7 77163714 7572C7F8 78823AE6 7A0895D0 7669182E 80B5D30E 0225ADF3 7C91C892
8156BCC0	8120BC43 0A7B1BD5 0A654346 02D9FB55 0112A4D9 5A7540D9
031C398E	7F194B03 088FB02B 5AB545E1 7FBFD66B 75DC3B87 7641A0FB 7E5C093E 7FE115EF 7C64F9E1 7FEE12CE 0727F1CF 7832BC0A 7E759B71 77F82FAD 82E069E3 7F9BD5C5 58888815 7E366549 80091F1E 5B4DE01E 5AFD13FC 7D3F3C5F 70330558 7D3A2C02 76B45347 02B8E9EB 8053054C 75AE996F 04892421 7D4DC3DB 7F26FF0C 761A137D 04AD92F4 75CB4AE1 79F39472
7DC1FAC6	7D954966 6DC30FC3 7D4DC86C 754A9DB1 7F17C81E 6B38CB72 7E7A3694 7EFDC05C 80C61700 816A5473
7D8BDE93	5895B491 7BDADA61 81788F9E 769C99CE 7B9B7326 764471FA 80CD8D70 79A8DFCC 121CCF31
7EE253AE	809F156E 7F7A1860 00F4A832 791566A0 8016714D
7DBE7195	7EEFEBC9 7F0D4C96
814A59B7	798A22D9 7C73D684
7DBFC55F	7E12DB9C 8104616B 5B402A25 5F200625 7651CA97 80D501B8 7EE34C96
7A9A0A12	759C201A 7F1A9A7A 7757902E 80844316 7BCE23EE 81594271 7562D557 7824509C 78F64CF8 7D3F0126 7E7A1E07 7881A066 783988F0 79C5BF6A 80E82D23 80B4A98A 7D81D681 75E2E710 77FCBE14 7B5871F9 7D1B020C 7A2C61FB 80ACADAF 7D0BD30D 7EE02D09 77F82FAD 7E571D3D 7E8AA98D 7FBC9769 7A8B586C 7D75D3B8
7A8A32AF	78EA2DE5 7F874E28 81CCA06B 7EFD556E 7F39CFAC 7CF333C9 7D9004EF 80ACADAF 80F86AF7 7EBB6587 80790535 7FBC9769 7E08AA8B 7B3E7AA9 7DC28A56 7D0B23E8
760F6C9D	779CDF32 782CC08A 77254B58 7D9CB91E 77E526AA 7AF2D7E4 7B4AF1A8 7ADE1635 7E6AE2F6 77C85DCF 7CA04B4C 76CBAA33 7EE73FEA 7EC58DD9 78EB7903 802B8E91 7A2B82F9
7FCD6B5C	805746B5 7A03BFEA 806E65D6 588B9DA6
82214FC1	590EBAAA 5A72CBCE 5F408931 7F7F2CE9 80FD1BED 5AD94F5F 7E3A82ED 754E0F1E 7FF47895 7B5A4832 2703B1D5 5C41A682
80E3A983	5EB6F0FC
80F46B45	7672A8D7 81336EDF 80B6304D 7FA74D18 8165ACC2 7BFC6ECC 80779F42 7E4D6037 75FC51D7 7D06E577 810309AC 5A46CF47 7D14C05D 7E2A4711 7D79B211 592D7BDF 7D0D6746
811B7A13	80A13A1D 62634F35 04C3A697 7D136C56 5B5E30C8 7E44A621 80EDA9F6
7B33FF1E	082F47F9 7DC55D86 5C096438 79E33FD8 7DB6B2E0 7D863602 5ACC0117 7A209C6B 79EDED7B 7E71BB8B 81889984 7D5A938A 775B4EA8 856C0030
808D87F8	8071F1AF 7D784A75 75B1BB02 7E9CCC53 087FE76B 6650AD7E 77B1F937 7879A2C6 80748B71 7869BA9C 7DA07060 0FB77407 6BAA7E03 7E9159A8 7DFA859D
7E35E603	764751AF 7D325815 7D66FF58 7E2E9EE7 79865C51 7D5B43DA 80326B44 7D7698A3 5F591A42 7D149ABA 5C4D6E2F 78B1473D 7C64BAE4 7D21617F 5F34A727 810F7CE3 79C00252 5A07F1B7 7D59E371 59F67F2F 7A0A5241 7CF874C5 5B70F5BF 7A66F6FC 7F20F1E1 752A42F5 815543D1 779A8000 767ECF08 76EE805F 767E5262 7B177285 80AD558E
7E226245	7E49B5F2 0673EB00 7E69EB04 80E7F6D0 815A8373 00B82383 7A6BCC27 79D50FA0 7CB7218E 78A76429 7D65E10A 7E920F71 7D33F015 252C6827 7C09384A 804FA9E6 07784785 7F6BDD5D 1559A5F3 7B36F6DA 80A4A6CB 7CEE69FC
77B42F1C	793869A3 78BA4554 73E89B1F 7B38F656 5FC74280 7DA86FE6 7DD11E9F 06C6E3DF 6AB36472 7EBB0DB7 5CA50262
79AC7D91	7A002909 7E66AEDC 7934226D 7BD9BC47 75B5B447 79DF9152 776276CF 7A18CFF1 7AA8E8C5 753EEDD8 78E606E9 79C998BA 760E6A2B 769D10AB 804ABE13 7DD4F193 7BD15B17 78F1F5FE 7B7AE2C1 75B753F7 80BEFA98 7A66B00F 7C19531D 779926C5 76FE306C 7BFBF140 7760862B 7B5D3FE7 78D6E4D4
7CF77F30	7EFFF39D 813733F0
7DD9BB5A	79D3F950 7D518145 7E7A781A 7DDEC4CA 7E43B70E 813B4EF9 7A61CB58 7CDEE416 59CCA55E 7F52A792 5C84E575 7DFEB00A 7BFC9006 7F45FA58 8139130A 5A7550A0 7FAFA84E 811D2C27 712A50EF 7DDFBE1E 6CADCE75 7C54C6E8 80CC2938
7DD70262	7908B97D 7C09FF32
7D44D69D	7FC9AC97 80127DE2 819B4087 589614CE 7B656D0D 7D4DAF74 80D1A2FC 7D0933D4 812442B6 00C40D78 80E7D29D 768A52DB 7D91215F 8141EABB 09C108EF 7B4A61F8 0773E721 77C96109
7874901B	78A29352 759FD794 75608D13 7B636E70 75CDE661 7983273F 7EA1EEE0 7A7475F0 7B248472 80829289 76361BA9 6DC53DAF 79C48019 7F21F811 7F2E4EEB 79143CAB 7F6AEF92 7800C7DF 7D5EC6BC 7E08DD11 7DCFFB95 813E273A
8123EC03	7FEE14C8 81000F2D 7FDA6C6C 7F2061D5 7E8D393C 7EDD80D0 7EE05833 7EAE619C 5BA3C8B7 7EA82D21 5A17CB67 7FC3717B 817955D6 757299A8
809C93FD	7E1EC85B 7F2D4AB6 797AEB03 7F01D2A9 77DB079A 5AEE6A8E
7FFDBE01	7F3CBACE 58D96EB7 59578A99
8094321B	811AFE99 81604224 7E1F3C78 75132D9F 79EC10B5 815AD38D 756EC397 7D5D1FB0 7D94506A 06FEC32E 7A28F897 7E97B37A 7876ACC6 767D539B 7A0D3EF3 753F28E6 59E9E9C7 758F1A6D
80185663	7C438AB7 78E48EFF 7611A43C 7991ADE9 80DB6A8B
78E7C37B	8094AFC2 7B5B3B46 7BF864A2 7911E96F 781F7979 79B01422 751C10C5 80FFD99A 75815914 80AE00F0 78B6EDA6 7E303CB3 0BC7E9EF 7D769CD0 7FA6E378 77C4049E 7B8BEDE6 799BF75E 7CD2673B 7EB46B7C 7EDC2FA0 7AA9B1DB
7D120B14	75746EAA 5E0CE936 7D68DB4B 7E44A621 5D4F8C1C 7DCD63BE 80A13A1D 61DF5954 65643F21 5D640E60 80EDA9F6 8030B86A 7E96EF14
7F352F4D	77FF2648 7F33056D 7D9AE95F 787F9201 7D23D396 751EF436 67C81BB0 78B3B5CC
7EF35CD6	7B4074A3 07498FC1 81692F79 756BD00E
7F630227	7507C05A 788B3CA1 7DD467E6 02F5A112 8173F784 7F6BDD5D 81186AAE 7EC6A5B8 81BA3E5F 80771413 0031A626 7E2A164D 7F7D9FDA 7F65DD7A 6F118002 7F216538
811CC61E	7D490B5C 7E06FD5A 077630C3 5CE43992 5F6312DA 5F4266A4
7BC4ECFB	7CC83E72 7DD50420 025592DA
7F878773	80196577 7C188101 6269AEFD 7B132B81 5C30D261 59C818AC 6CC1B54A 7A5CC46A 0BBA16F1
7D075F5B	7A0A5241 7E65C567 6A8EA88D 7D18F136 128E621B 7EC52393 812FDF6E 59460D02 61898D9D 7ECA7A32 7F69BF3C 79DE9413 7D21617F 8009F0E7 78447291 7D45119D 7E884394 7D9B8AA4 7DC04B09 60C112C0 8395B7A8 7C64BAE4 80793547 7F316560 779A8000 7D78FE72
7728B6CA	76EACD59 7C286DF9 81476C8F 7FA22188 824DC371 7B788DF4 7BA2D714 7A838CFD 7C4921EF 75FDC7BF 794C86E6
7EDDAFA9	7EA704EA 7E254E89 812F2E98 5EB45962 0597217B 7E31FF3A
7C8F040A	7D60BC70 7602E8DF 7841121F 7987A63B 77BE48EE 76220E4B 7A641EE1 7D890361 7D754A7B 7B8E4F74 7EEE782A 8310DB3E 22BBE66C 7CB7B224 792CAD3B 7EBE8518 02A7B854 792C47A7 7B9B7326 75B5B447 7CA0F37B 7F2F00A2 76F91D5A 7B6A4483 7932B1B8 7A430945 77066930 77F501B2 7BE72418 79BD7EC2 7841B49E
7D1C2934	0A7C2B69 808C7C57 777C60D6
7B17B52C	5F87067B 7B89431E 799579B5 789ECBAD 7617F8F6 7B2B9212 77DCD84A 7CCD2847 5F5D0D29 7A30878E 79A87C4E 7BE020BB 7C5EE0FE 789731AA 7B3433AF 593995C5 7970CE32 77AEF97A 76B64927
7FFF8D63	7E3C225B 7AF51A70 033AB95E 7D9B1813 7F4F90D4 7D2401F1 79E1D3CB 7FB601A7 7D80F6AA 816B141E 0BD9E137 75CBFFB6 7FFA17EE 09DCFF2F 5BADD9B3 7630627B 75F994FD 794FBA7D 7951797E 754F41C2
7616FFFC	7B6B0586 5B7DE898 60DF43C5 7DA852C0 5E91D6C6
7A601055	7D4EABDE 0B5203B7 79FD3EC4 78BA5ABB
75662E7F	7E72238B 6F63A479 63BD544D
4AFAE3D2	7D1B777B 80652826 76CF7C18 804AA91B 76AC98C0 7A179F4E 78AA0A90 7DC72E31 7F30FB26 7DDCFA82 7DC2A6E0 7F22EBEB 799E11D5 6EC191C1 7C47F54C
7F261040	5EF6C601
7D1E4C27	7DE36109 7E2741F2 7B3CC4A5 02390F04 80392257 7D044740 7F492100 5CFF629F 7E86DA3F 7F1AC732 58CA2E50
7D8E4EC0	5AED3725 7D41DB7A 794ED35D 7CFBB4CB 78CA3D84 7FB99EF4 5FD4F8DA 7D257447 7ED470A9 7CE3819E
8060D809	76BB5729 348F5CB6 7B012268 7B46FF00 7C7D9945 835998D1 0BF07ECC 7631E514 5C7D3650 75DB4817 7681D3F4 76BA0355 77CA11B5 7AA3A383 776F6FB2 7BA2A677 026AB1C1 7BE7B63E 7C33EFD4 077DD35B 79D44AC6 7917DE76 0169FDD2 6040C922 107F6E78 5B4AF10C 759DE04D 7F93C82C 79554183 7A478FB4 0554CBA9 7F06042C 7F6E0861 76E43972 756B6D26 7934D991 057C5D68 596153C6 72C8A127 7A5E5D06 7D240B48 7530FF8E 7A50951C 62838B82 7534099E 0032F5D4 00A64DF5 7BA99770 7CD95BC5
7FE34F69	78B21B7C 764471FA 76E84BB0 7A850B4D 7C7811EC 769C99CE 7691F86C 79CD4900 77D345FC 78F56F51 751753ED 782671D5 79A044F8 7DB5EF2B 7919C934 76C254FE 7905901A
8166893D	7EC52549 5B4E4B39 7631C0CE 79BA7BE4
7F51C25B	787E362A
8098507E	7788D04D 817736CD
7E8A8FA9	770D6F78 813F8EE7 077B2518 7DB2F4E9 7CF6A32A 8146DFD5 80EDA9F6 5B21BA44 7DF4687E 7AA6B283 80374B28 80CE534D 80B14B5E 7D07F454 7D1A1737 80E8B26D 7E66BAC3 7EBA6DFC 77DDB5FF 7F29C934 7F2FDFA8 7F9CDE00 583CCF67 7DE12B05 814D6396 803689DF 7EA3F0A7
7D6CF8E3	5ECD4355 0350D650 7F462A0E 7E91B124 7C730370
808EED38	7C6301EA 064C8C17 5C23E6BC 77F48EC4 7C08CAD7 808BC6B2 5AB3AFB8 769CE26C
7FB6E0BE	795F1BB2 7BC4B8A2 8156CFA0 775F1258 7FD58C6C 029DE5A4 81363442 79F90808 813E7701 81506099 78688C67 7B4FC885 7EAC89EF 5DBCEF13 76E8E592 7A775BBA 7DEA162A 7E190688 5D55A35E
8090444A	639AB18C 7AA8B2B2 7DBDBD4E 7F76A391 7F9D70AE 7E5B9FF8 6C85880C
8189993B	78C859F6 0BBFB09F 7A2FF337 7F6CF75D 791C1D72 01B5FF5C 7258F4EB
7DD1DD7F	7B00E8E7 7D1F2E74 8048724F 5F67C813 5FCECED5 7EAD0D7E 0AEA55C9
7F3A9F25	023FE827
7951C55C	759E91D1 7954E35C 83A0C1CC 730739C4 7E1752A1 7B2DCE3B 77879312 75BAEA3F 7F92727B 80B90775 7BDB436B 8098F36E 720A531E 79916C11 7E679F26 8005A306 80206EB6 809FDF11 7A47C351 80174CF1 739550E6 812C5F5F 5B648875 7E5B493F 6E9C2F80 8111FEDC 5CF53EC6 80EE6504 7E405ACE
73AB7834	7E5A970B 7DF10D79 7CECB031 583F8173 00531704 7D982D4F
7DA6148E	80CD7326 5E791AEF 5E68DF11 5B41376E 0B41A261 7A2EA335 7FD2C7C8 803BE1D6
80D2FFB1	594969DA 58C1EC9D 7843104B 8030C92F 5D5A75E3 04E66765 7F39A4AF 5DDFBEEA 815D0875 7BBD6286 7AC8A645 000A5FF4 790A6635 5D54CBAF 77081C38
8323EBCD	85CA3E46 62475939 0A8E3095 7E44A621 5CE51218 7C75BC6F 5DD5EB4D 7C7389CC 5BB1F1F4 77FBC2BE 7D9981E7
80483868	80BBA030 77F2B282 78FF2CED 815487A7 784B7999 80ADC2B4 7801903C 7B706914 80C7DCF0 7C81482B 7AE1B958 7165D231 7D2098C3 7A8CEDDE 6E330063 784BBDD2
