7538AFB4	Signal Processing-image Communication<---A region-based subband coding scheme
7C522CCC	IEEE Transactions on Circuits and Systems for Video Technology<---Fast Inter-Mode Selection in the H.264/AVC Standard Using a Hierarchical Decision Process
80D39DB5	Information not present<---Fast mode decision algorithm in H.264/AVC base on statistical feature
5A6D57A0	International Conference on Multimedia and Expo<---A fast algorithm and hardware implementation for rate-distortion optimization in JPEG2000
77C13AFC	Picture Coding Symposium<---Fast rate distortion optimization for the emerging HEVC standard
75ADC59E	Information not present<---Rate-distortion optimized reference picture selection
7FD0D470	Picture Coding Symposium<---Edge-adaptive transforms for efficient depth map coding
7FAE3722	IEEE Signal Processing Letters<---Optimum Rate-Distortion Dictionary Selection for Compression of Atomic Decompositions of Electric Disturbance Signals
8129D85C	IEEE Transactions on Image Processing<---Robust Video Transmission With Distributed Source Coded Auxiliary Channel
81585F38	International Conference on Image Processing<---Parallel rate-distortion optimized intra mode decision on multi-core graphics processors using greedy-based encoding orders
7E350D88	International Conference on Acoustics, Speech, and Signal Processing<---A novel image/video coding method based on Compressed Sensing theory
7F0252E4	IEEE Transactions on Multimedia<---Multistreaming of 3-D Scenes With Optimized Transmission and Rendering Scalability
73617FBE	Information not present<---An efficient fast mode selection for intra prediction
811E516A	International Symposium on Circuits and Systems<---Unequal authenticity protection (UAP) for rate-distortion-optimized secure streaming of multimedia over wireless networks
77DB2C63	Information not present<---Fast Mode Decision for H.264/AVC P Slices Using Classification of SKIP Mode Distortion
7ED126F1	Information not present<---H.264/AVC의 인터 예측 부호화를 위한 고속 율왜곡 최적화 알고리즘
816F9F13	International Conference on Acoustics, Speech, and Signal Processing<---Fast inter-mode decision and selective quarter-pel refinement in H.264 video coding
7D3C7C2B	International Conference on Acoustics, Speech, and Signal Processing<---Progressive Transmission Of Pointtexture 3-D Images
5E6B439E	International Conference on Image Processing<---Server diversity in rate-distortion optimized media streaming
79DB515C	Visual Communications and Image Processing<---Design of a highly efficient wavelet-based video coding scheme
7E898E7D	International Conference on Multimedia and Expo<---Improving video coding quality by perceptual rate-distortion optimization
7F44842C	International Conference on Multimedia and Expo<---On the Performance Improvement of H. 264 Through Foreground and Background Analyses
8112EA9D	IEEE Transactions on Biomedical Engineering<---A rate distortion optimal ECG coding algorithm
7DB51E7D	IEEE Transactions on Circuits and Systems for Video Technology<---Matching-pursuit video coding .II. Operational models for rate and distortion
79852E0A	IEEE Transactions on Circuits and Systems for Video Technology<---A Fast and Efficient Multi-View Depth Image Coding Method Based on Temporal and Inter-View Correlations of Texture Images
7E915BC1	Information not present<---On the optimal Lagrangian parameter for motion estimation: A low-cost and effective method for improving video coding performance
7DE02EE8	Signal Processing<---Image compression using an edge adapted redundant dictionary and wavelets
75F0BBE4	IEEE Transactions on Image Processing<---Rate-Distortion Optimized Scheduling for Redundant Video Representations
807F24F9	International Symposium on Multimedia<---Error Resilient Motion Estimation and Mode Decision for Robust H.264/AVC Video Transmission
7E5F9449	Rapid System Prototyping<---A CABAC Encoder Design of H.264/AVC with RDO Support
75F8B184	Information not present<---Optimal joint power-rate adaptation for error resilient video coding
7543C6FA	Optical Engineering<---Integer-based, post-compression rate-distortion optimization computation in JPEG2000 compression
78FA5BB2	Information not present<---Optimal Mode Selection of Disparity-Compensated Wavelet Lifting for Multi-View Image Coding
7D5A3CAD	International Conference on Multimedia and Expo<---Rate-Distortion Optimized Video Streaming for Scalable H.264
80EB856C	International Conference on Multimedia and Expo<---Using Rate-Distortion Metrics for Real-Time Internet Video Streaming with TCP
7E89F206	Information not present<---The bit allocation and RDO mode based rate control algorithm
6DE2A15A	Information not present<---A VLSI architecture for rate-distortion optimized motion compensation using variable size blocks
7A7D5F87	Proceedings of SPIE<---Online smoothing for scalable media stream delivery
7E1743DE	IEEE Transactions on Multimedia<---Dependent Packet Transmission Policies in Rate-Distortion Optimized Media Scheduling
80582868	Multimedia Signal Processing<---Structured network coding and cooperative local peer-to-peer repair for MBMS video streaming
593FFE4B	International Conference on Image Processing<---Rate distortion optimal ECG signal compression
7EE1ADA0	International Conference on Multimedia and Expo<---Optimal compression plane (OCP) — A new framework for H.264 video coding
7E3539C8	IEEE Transactions on Circuits and Systems for Video Technology<---Motion and disparity field estimation using rate-distortion optimization
7A4090D5	Intelligent Information Hiding and Multimedia Signal Processing<---A Pixel-Level Rate Control Algorithm for the Optimal Prediction Residual
7B13C4D2	Information not present<---Fast Inter-Mode Decision Algorithm for P Slices in H.264/AVC Video Standard
0045F8AD	Information not present<---Rate-distortion Optimized Streaming of Compressed Light Fields with Multiple Representations
7739D203	Information not present<---A Fast Intra-Mode Decision Algorithm for P-Slices in H.264/AVC Video Coding
7FBB303A	International Conference on Image Processing<---Space-frequency quantization for a space-varying wavelet packet image coder
7E1652DD	International Symposium on Circuits and Systems<---A NMR Optimized Bitrate Transcoder for MPEG-2/4 LC-AAC
804CCC86	International Conference on Multimedia and Expo<---Low-complexity rate-distortion optimization for robust H.264 video coding
79FBD40A	Ieice Transactions<---Constant Bit-Rate Multi-Stage Rate Control for Rate-Distortion Optimized H.264/AVC Encoders
79094D8A	International Conference on Image Processing<---Rate-Distortion Optimized Transmission Power Adaptation for Video Streaming over Wireless Channels
7B6F1C4C	Proceedings of SPIE<---Motion vector prediction with reference frame consideration
802BC3E3	International Conference on Multimedia and Expo<---Low-complexity rate-distortion optimal macroblock mode selection for MPEG-like video coders
719924D1	Multimedia Signal Processing<---Rate-distortion optimization in a robust video transmission based on unbalanced multiple description coding
814A0B75	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-Distortion Optimization of Rate Control for H.264 With Adaptive Initial Quantization Parameter Determination
7BB21687	Wireless Communications and Mobile Computing<---Advances in channel‐adaptive video streaming
7CC011D6	Proceedings of SPIE<---Wavelet-based highly efficient scalable video coding
77D06415	Systems and Computers in Japan<---Motion‐compensated video coding using sliced blocks
7D1244B1	Information not present<---A fast mode decision algorithm for intra prediction in AVS-M video coding
7BEACC84	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimal sinusoidal modeling of audio and speech using psychoacoustical matching pursuits
812CDD80	IEEE Transactions on Circuits and Systems for Video Technology<---Rate control for VBR video over ATM: simplification and implementation
7B9DCB96	Designs, Codes and Cryptography<---Fast Rate Distortion Optimized Quantization for H.264/AVC
7B95859A	International Conference on Image Processing<---AN efficient algorithm for joint QP and quantization optimization for H.264/AVC
81691345	IEEE Signal Processing Letters<---Sinusoidal modeling using psychoacoustic-adaptive matching pursuits
7738E8D4	International Journal of Imaging Systems and Technology<---Rate‐distortion optimized intra update for error resilience in MPEG‐4 video coding
750C03F9	Information not present<---Unbalanced quantized multiple description video transmission using path diversity
7AE810C7	Journal of Visual Communication and Image Representation<---An extension of direct macroblock coding in Predictive (P) slices of the H.264 standard
7F9DCE9D	International Symposium on Circuits and Systems<---A fast direction predictor of inter frame prediction for multi-view video coding
80C963D0	ACS/IEEE International Conference on Computer Systems and Applications<---A Superior Low Complexity Rate Control Algorithm
7D56D770	Global Communications Conference<---Rate-distortion optimized motion compensation for video compression using fixed or variable size blocks
7D99AC4D	International Symposium on Circuits and Systems<---Image compression using DC coefficient restoration and optimal AC coefficient thresholding
7ECB8F1C	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimal video summarization: a dynamic programming solution
7F6DA497	IEEE Transactions on Image Processing<---Adaptive Rate-Distortion Optimal In-Loop Quantization for Matching Pursuit
7FDDD053	International Conference on Image Processing<---Real time implementation of rate-distortion optimized coding mode selection for H.263 video coders
7D10567B	IEEE Transactions on Audio, Speech, and Language Processing<---A trellis-based optimal parameter value selection for audio coding
773B8F8A	Multimedia Signal Processing<---Joint Data Partition and Rate-Distortion Optimized Mode Selection for H.264 Error-Resilient Coding
7ADDB5A8	Information not present<---Scalable video transmission over Rayleigh fading channels using LDPC codes
6F64E551	Information not present<---A BER model for turbo codes on AWGN channel
7A0A00F5	International Journal of Reconfigurable Computing<---Algorithm and Hardware Design of a Fast Intra Frame Mode Decision Module for H.264/AVC Encoders
7B95E0EB	Information not present<---Rate-distortion optimizations for motion estimation in low-bit-rate video coding
77238BC0	Information not present<---New rate control Scheme based on Cauchy Rate-Distortion Optimization Model for H.264 Video Coding
7FDFF32D	Asia Pacific Conference on Circuits and Systems<---Cauchy based Rate-Distortion Optimization Model for H.264 Rate Control
7A3CA93D	IEEE Transactions on Circuits and Systems for Video Technology<---A Novel Distortion Model and Lagrangian Multiplier for Depth Maps Coding
7B6C96EC	Information not present<---Analysis of pixel-mapping rounding on geometric distortion as a prediction for view synthesis distortion
3160C9C9	Information not present<---Optimal Packet Scheduling and Rate Control for Video Streaming
7E097074	IEEE Transactions on Consumer Electronics<---Hierarchical Disparity Estimation Using Spatial Correlation
7D6F3FED	International Symposium on Circuits and Systems<---Low complexity RDO mode decision based on a fast coding-bits estimation model for H.264/AVC
790520FE	International Conference on Multimedia and Expo<---Advanced Lagrange Multiplier Selection for Hybrid Video Coding
823D1EDF	Information not present<---Fast intra/inter frame coding algorithm for H.264/AVC
59D1A0E8	Information not present<---Rate distortion optimal adaptive quantization and qoefficient thresholding for MPEG coding
7CF7F3E7	International Conference on Image Processing<---A single-pass based adaptive interpolation filtering algorithm for video coding
7E096B7B	IEEE Transactions on Circuits and Systems for Video Technology<---Fine-Granular Motion Matching for Inter-View Motion Skip Mode in Multiview Video Coding
21747000	Ieice Transactions<---Rate-Distortion Optimized Selection of Motion Vectors for Video Transmission over Packet-Loss Channels(Multimedia Systems for Communications)
800A713F	International Conference on Image Processing<---Rate-Distortion Optimal Depth Maps in the Wavelet Domain for Free-Viewpoint Rendering
7E2DE418	International Conference on Image Processing<---A Fast Inter Frame Prediction Algorithm for Multi-View Video Coding
817525B8	International Conference on Multimedia and Expo<---Rate-complexity-distortion evaluation for hybrid video coding
80FA3640	International Conference on Acoustics, Speech, and Signal Processing<---Rate-Distortion Optimized Image Compression Using Generalized Principal Component Analysis
81569F97	International Conference on Image Processing<---Error protection for scalable image over 3G-IP network
8164745D	International Symposium on Circuits and Systems<---Drift-free multiple description video coding with redundancy rate-distortion optimization
7FD545C4	International Conference on Image Processing<---Receiver-driven rate-distortion optimized streaming of light fields
7BADDB8E	International Conference on Image Processing<---Adaptive intra modes reduction by clustering for H.264/AVC
8080E6F8	Information not present<---Cost-effective scenarios of CABAC in H.264/AVC codec
7CE93454	Signal Processing Systems<---Fast Block Mode Decision for H.264/AVC on a Programmable Digital Signal Processor
7EB00C67	International Conference on Image Processing<---Threshold-free pattern-based low bit rate video coding
7F598D68	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimized data partitioning for video using backward adaptation
26BE36E0	Information not present<---EXTENDED LAGRANGE MULTIPLIER SELECTION FOR HYBRID VIDEO CODING USING INTERFRAME CORRELATION
7E543EAA	International Conference on Multimedia and Expo<---Adaptive rate-distortion optimization using perceptual hints
7DD67C1E	IEEE Transactions on Circuits and Systems for Video Technology<---JPEG2000 Quality Scalability Without Quality Layers
767D8853	Signal Processing-image Communication<---A fast intra prediction mode decision using DCT and quantization for H.264/AVC
59498152	Information not present<---A novel fast intermode decision algorithm with rate-distortion optimization for H.264/AVC
797943A0	Information not present<---An Efficient Mode Selection Algorithm for H.264 Encoder for Application in Low Computational Power Devices
7E246861	Information not present<---Adaptive FMO selection strategy for error resilient H.264 coding
7FAFF65F	International Conference on Image Processing<---Advances in channel-adaptive video streaming
7D62FA82	Information not present<---Rate-distortion model for motion prediction efficiency in scalable wavelet video coding
71975229	Designs, Codes and Cryptography<---RD-optimization of hierarchical structured adaptive vector quantization for video coding
80A9D744	Multimedia Signal Processing<---Region-of-interest based H.264 encoder for videophone with a hardware macroblock level face detector
64D9B537	Multimedia Signal Processing<---Rate-distortion optimized sender-driven streaming over best-effort networks
751361EA	Electronics and Communications in Japan Part Iii-fundamental Electronic Science<---Fast rate‐distortion optimized coding mode decision for H.264
086CC2BB	Information not present<---Fast Rate Distortion Optimization Algorithm for Inter Predictive Coding of H.264/AVC
80C64109	IEEE Transactions on Multimedia<---Joint Source-Channel-Authentication Resource Allocation and Unequal Authenticity Protection for Multimedia Over Wireless Networks
6FADD9BA	International Symposium on Circuits and Systems<---Rate-distortion optimization for fast hierarchical B-picture transcoding
049234CF	Pacific-Asia Workshop on Computational Intelligence and Industrial Application<---End-to-end rate distortion optimization for H.264/AVC in error prone environment
7E4C4D07	ACS/IEEE International Conference on Computer Systems and Applications<---Adaptive Fast Inter Mode Decision Algorithm Using Dynamic Threshold Technique for H.264/AVC P Slices
7B27CD78	Multimedia Signal Processing<---Data hiding of motion information in chroma and luma samples for video compression
7ED38307	International Conference on Acoustics, Speech, and Signal Processing<---A rate-distortion optimal coding alternative to matching pursuit
78708008	International Conference on Multimedia and Expo<---Wireless Video Streaming with Collaborative Admission Control for Home Networks
81296697	International Symposium on Circuits and Systems<---Quality-biased rate allocation for compound image coding with block classification
38AAC024	Information not present<---AVS quick mode selection algorithm based on adaptive threshold
77C9B4B4	International Conference on Intelligent Computing<---An SSIM-optimal H.264/AVC inter frame encoder
7D745193	International Conference on Acoustics, Speech, and Signal Processing<---Jointly optimal time segmentation, component selection and quantization for sinusoidal coding of audio and speech
756D1310	ACM Multimedia<---Layered coding vs. multiple descriptions for video streaming over multiple paths
7F0227B0	IEEE Transactions on Signal Processing<---Theory of rate-distortion-optimal, constrained filterbanks-application to IIR and FIR biorthogonal designs
80C58AB9	International Conference on Image Processing<---Fast Mode Decision for Intra Prediction in H.264/AVC Encoder
5A330191	Information not present<---Proxy-driven ratedistortion optimized video streaming over wireless network using asynchronous clocks
7E4CA788	Information not present<---Most probable mode-based fast 4 × 4 intra-prediction in H.264/AVC
59AF51F8	International Symposium on Circuits and Systems<---A simplified algorithm of JPEG2000 rate control for VLSI implementation
7870E33D	International Conference on Multimedia and Expo<---SSIM-Inspired Perceptual Video Coding for HEVC
6DC80AAC	International Conference on Acoustics, Speech, and Signal Processing<---Sinusoidal modeling of audio and speech using psychoacoustic-adaptive matching pursuits
80061C9A	International Conference on Acoustics, Speech, and Signal Processing<---A Novel Rate-Quantization Source Modeling Framework for H.264/AVC
7A6B3306	International Conference on Acoustics, Speech, and Signal Processing<---On the choice of 'wavelet' filter for still image compression
7F8E3000	IEEE Transactions on Image Processing<---An efficient rate-distortion optimal shape coding approach utilizing a skeleton-based decomposition
795FCA89	Multimedia Signal Processing<---Improvements to the Intra-Coding Modes Offered by H.264
78F70218	Journal of Visual Communication and Image Representation<---A joint encoder–decoder error control framework for stereoscopic video coding
7765125A	Information not present<---Fast Reference Frame Selection with Adaptive Motion Search Using RD Cost
7E740993	Information not present<---Rate-distortion optimized zerotree image coding using wavelet transforms
85439510	Signal Processing-image Communication<---Analysis of the depth-shift distortion as an estimator for view synthesis distortion
0388AFB0	Information not present<---Rate-distortion optimized receiver-driven streaming over best-effort networks
7AF5019E	Electronics Letters<---Rate-distortion estimation for fast JPEG2000 compression at low bit-rates
00AAEDF3	Information not present<---DECODING COMPLEXITY CONSTRAINED RATE-DISTORTION OPTIMIZATION FOR THE COMPRESSION OF CONCENTRIC MOSAICS
78559BD4	International Conference on Image Processing<---A Fast Motion-Cost Based Algorithm for H.264/AVC Inter Mode Decision
5CAB48CC	International Conference on Image Processing<---MINMAX frame rate control using a rate-distortion optimized wavelet coder
58A5C43C	Computer Analysis of Images and Patterns<---The Coefficient Based Rate Distortion Model for the Low Bit Rate Video Coding
7DCC062D	IEEE Transactions on Image Processing<---Efficient Rate–Distortion Optimal Packetization of Embedded Bitstreams Into Independent Source Packets
7606D085	IEEE Transactions on Circuits and Systems for Video Technology<---Transactions letters. A rate-distortion optimal hybrid scalable/multipledescription video codec
7D9E3551	IEEE Transactions on Circuits and Systems for Video Technology<---Improved Resilience for Video Over Packet Loss Networks With MDC and Optimized Packetization
58C01B0F	Information not present<---A new approach to reduce encoding time in EBCOT algorithm for JPEG2000
7B0F8F9C	IEEE Transactions on Image Processing<---Multiple Description Image Coding Based on Lagrangian Rate Allocation
80CE8D38	International Conference on Acoustics, Speech, and Signal Processing<---An efficient fast mode decision algorithm for H.264/AVC intra/inter predictions
7CAC30FA	IEEE Transactions on Image Processing<---Adaptive Directional Lifting-Based Wavelet Transform for Image Coding
7FE3CD2C	IEEE Transactions on Consumer Electronics<---An efficient fast intra mode decision method based on orthogonal modes elimination
816FF201	Designs, Codes and Cryptography<---On the complexity of rate-distortion optimal streaming of packetized media
