7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
7E18F476	Studia Informatica Universalis<--Test and calibration of sonobuoys in the air environment
6B717A8D	Information not present<--Adaptive beamforming for wideband jamming cancellation
7F916723	Vehicular Technology Conference<--Fade Duration Distribution and Minimum Duration Outage in Weibull Fading Channels
59F5777D	Information not present<--An interference cancellation system for spread spectrum communication channels with cochannel FM interferers
78FE1C0C	Information not present<--Ultrasonic Characterization of Interfaces in Composite Bonds
79D99744	Optics Express<--All-optical modulation format conversion from frequency-shift-keying to phase-shift-keying
824E49C1	Information not present<--Microwave signal generation using sideband injection locking in an Fabry-Pérot laser diode
7819699D	BioMedical Engineering and Informatics<--FPGA-based multi-frequency excitation and modulation technology in EIT system
851B7B90	Information not present<--Extensions of the Discrete-Average Model for Converter Power S
804A4A23	Journal of Lightwave Technology<--Effect of laser-diode power change on optical heterodyne interferometry
7A7CC39F	Information not present<--An algorithm for jamming recognition based on inspecting spectrum of satellite communication
34715F98	The Journal of The Institute of Image Information and Television Engineers<--新周波数対応ラジオマイクの開発 (特集 700MHz帯周波数移行の現状と動向) -- (ラジオマイクの周波数移行)
5DA1D592	Information not present<--CSEC:s samverkan
79F521C3	Proceedings of The Institution of Electrical Engineers<--New bound for the spectrum of an f.m. wave
7F262CA2	Information not present<--An optimized Frequency Locked Loop in a small scale CPT based rubidium atomic clock
01BD9091	Information not present<--Multicore, Multithreaded, Phase-Synchronous FM Sound Synthesizer
72431AAC	International Conference on Acoustics, Speech, and Signal Processing<--Generalized tamed frequency modulation
757466B9	IEEE Journal of Solid-state Circuits<--A 120 GHz Fully Integrated 10 Gb/s Short-Range Star-QAM Wireless Transmitter With On-Chip Bondwire Antenna in 45 nm Low Power CMOS
7FD44479	IEEE Microwave and Wireless Components Letters<--Resistive SiC-MESFET mixer
750C8B47	Information not present<--Pure intensity modulated frequency doubled optical clock signal generation by using ultra low-chirp and high extinction-ratio optical modulation
148F0E61	Information not present<--Operation REDWING, Pacific Proving Grounds Project 31.2, Release Tone System. May - July 1956.
776F2909	IEEE Transactions on Components, Packaging and Manufacturing Technology<--Reduction of Electromagnetic Interference Susceptibility in Small-Signal Analog Circuits Using Complementary Split-Ring Resonators
753B9616	IEEE Vehicular Technology Magazine<--AM & FM's digital conversion: how HD radio TM will spur innovative telematics services for the automotive industry
7ACD9258	IEEE Transactions on Aerospace and Electronic Systems<--Concentration of Binary FM Spectra
6F72BC83	Epilepsy & Behavior<--Clinical and economic burden of breakthrough seizures
7C347A2D	The Astrophysical Journal<--Transition probabilities for the Swan and Mulliken C sub 2 bands.
78E42FE0	IEEE Transactions on Consumer Electronics<--Indoor Unit for Direct Broadcast Satellite (DBS) (RF to Demodulation Part)
735D723A	Information not present<--Direct modeling of envelope dynamics in resonant inverters
778BEB3C	Information not present<--Comparison of Cascaded H-Bridge, Neutral Point Clamped and Flying Capacitor multilevel inverters using multicarrier PWM
7F4095B8	Information not present<--Radar waveform for automotive radar systems and applications
777A126C	IEEE Transactions on Very Large Scale Integration Systems<--Piecewise Linear Modulation Technique for Spread Spectrum Clock Generation
7DC7DA81	Educational Data Mining<--The CV curve investigation of MIS structure based on CdHgTe
79778208	IEEE Signal Processing Magazine<--One City—Two Giants: Armstrong and Sarnoff: Part 2 [dsp History]
6CB6BE73	Information not present<--A Comparison of Run-Length-Limited Codes for Equalized Peak Detection
2DDF2CC5	Information not present<--Effects of soil and canopy characteristics on microwave backscattering of vegetation
58518B09	International Symposium on Circuits and Systems<--FM/PWM control scheme on class DE inverter for keeping high power conversion efficiency
782B740F	International Symposium on Circuits and Systems<--Low-Complexity Ultra Wideband Communications
5A7561AA	Information not present<--Marine Weather Dissemination Systems Study. Volume III. Systems Effectiveness Measurement.
7F99C6CA	IEEE Transactions on Image Processing<--Stereoscopic ranging by matching image modulations
7CEC6DF1	IEEE Transactions on Consumer Electronics<--Development of VCR video/audio signal processing LSI chip
7FD5AD05	Information not present<--Electro-optical scanning null-line improving detection sensitivity of phased array system
7DF8A2BE	Information not present<--PRESENTAN EL ATLAS DE LA SALUD EN MÉXICO
5D5CBF27	Information not present<--Hybrid LBDD PWM modulator for digital class-BD audio amplifier based on STM32F407VGT6 microcontroller and analog DLL
5E5536BF	Information not present<--Experimental demonstration of in-service dispersion monitoring in the whole transmission bandwidth of WDM systems by optical frequency-modulation method
7F5C7A3B	IEEE Transactions on Power Electronics<--A unified approach to modeling, synthesizing, and analyzing quasi-resonant converters
7B54CAA0	Information not present<--Low frequencies and peak amplitude in UWB pulse propagation
7DB24E33	IEEE Transactions on Communications<--Coherent subcarrier fiber-optic communication systems with phase-noise cancellation
7895CB50	Information not present<--Anti-noise performance of correlation detection method for ranging system based on combined modulation
7DC27EDB	Information not present<--AM-FM analysis over spatially bounded domains for applications in medical imaging
77981527	Information not present<--Analysis and experimental verification for multiple solutions of bipolar SHEPWM waveforms applied in control system of induction machines
7EF3602A	Information not present<--Hybrid time-frequency RFID system
7B1AB73A	Information not present<--Radio-frequency waveform generation with a CMOS compatible on-chip spectral shaper
7F4AD568	Information not present<--FM laser operation in SOA-based fiber ring lasers
73D5E309	Vehicular Technology Conference<--Low power frequeney-to-time conversion for cellular systems using predictive zero-crossing
7FDD1AFB	Information not present<--Thermo-optical effects on the transduction of mechanical motion of a microspherical pendulum
7B783913	Proceedings of the IEEE<--Asymptotic evaluation of the ambiguity functions of high-gain FM matched filter sonar systems
7EAE00EB	IEEE Transactions on Evolutionary Computation<--Differential Evolution Using a Neighborhood-Based Mutation Operator
774C9FF6	Information not present<--The General Mathematical Model and Performance Analysis of Multi-pulse Three-level STATCOM
7B05341B	Electronics Letters<--Bandwidth expressions of Gaussian weighted chirp
6F79AE56	Information not present<--DONAN A MEDICINA 107 TRABAJOS PERIODÍSTICOS
76CFA446	Information not present<--Electromechanically switchable diamagnetism for efficient terahertz modulation
15ECB9F9	Information not present<--8005 オフィスビルによる電力の使用状況と節電における建築的アプローチの考察(建築経済・住宅問題)
59027CEF	Information not present<--STUDY AND INVESTIGATION OF A PROTON MASER ANTENNA.
7761481E	Information not present<--Microwave Properties of High Modal Gain Quantum Dot InAs/GaAs Fabry-Pérot Lasers Emitting at 1.3 μm
7EC0E1FA	Information not present<--Blind GPS Anti-jamming Based on the Multiple Parallel CM Array
7CC9BFB6	Information not present<--Low level optical feedback in semiconductor lasers as a tool to identify nonlinear enhancement of device noise
77A9D611	Food and Chemical Toxicology<--Safety evaluation of an IPP tripeptide-containing milk protein hydrolysate.
264AB100	Information not present<--Chaos-Based Generation of PWM-Like Signals for Low-EMI Induction Motor Drives : Analysis and Experimental Results(Electronic Circuits)
2355F432	Information not present<--Feasibility Study of Non-Contact, High-Speed Elastic Property Measurement of Pavements: Theoretical and Experimental Results
83CCCC5B	Information not present<--Compensation system for FM-to-AM effects in high-power laser system
7BA6A6A4	IEEE Transactions on Microwave Theory and Techniques<--Direct Frequency Modulation In AlGaAs Semiconductor Lasers
78F1638A	Ire Transactions on Broadcast and Television Receivers<--Transistorized FM and TV Limiter Design and Performance
60C9CB4B	Information not present<--Parameter Estimation of a Tactical Missile using Linear Regression
7D112F7A	Journal of Lightwave Technology<--Frequency-locked 1.3- and 1.5- mu m semiconductor lasers for lightwave systems applications
75CC419E	Information not present<--Minority Carrier Lifetime Measurement by MW-PCD Based on Doppler Effect
7F71265B	Information not present<--High resolution (0.2 mm) and fast response (2 ms) range finder for industrial use in air
7D2E244C	IEEE Transactions on Signal Processing<--Tomographic time-frequency analysis and its application toward time-varying filtering and adaptive kernel design for multicomponent linear-FM signals
76E98031	Plasma and Fusion Research<--Relative Frequency Calibration for Fast Frequency Sweep Microwave Reflectometry
84BAD171	Information not present<--ACMI: FM-based Indoor Localization via Autonomous Fingerprinting
5D7DF72F	Information not present<--Towards zero latency Software Defined 5G Networks
7B8B18DF	IEEE Transactions on Terahertz Science and Technology<--A Microwave Reflection Readout Scheme for Hot Electron Bolometric Direct Detector
7D822F2D	Information not present<--A High-Accuracy Parameter Estimation Algorithm for Jointless Frequency-Shift Track Circuit
79E9CFB1	Journal of Lightwave Technology<--Analog Signal Transmission in a High-Contrast-Gratings-Based Hollow-Core-Waveguide
81EC062A	Information not present<--Development and investigation of two optimized soft switching pulsed power resonant converters for RF applications
768DB930	Quantum Electronics<--Stabilisation of self-modulation oscillations in a ring chip laser by phase self-locking of the relaxation frequency
771851CD	Information not present<--A novel PWM pulse modifying method for reconstructing three-phase AC currents from DC bus currents of inverter
85F37CDE	Information not present<--HOY, DÍA MUNDIAL DEL MEDIO AMBIENTE. MÉXICO, DECIMOQUINTO EN CONSUMO DE TABACO
7E9AC0E0	Vehicular Technology Conference<--16 QAM modulation with orthogonal frequency division multiplexing in a Rayleigh-fading environment
7C74E998	Information not present<--Issue of FM to AM conversion on the National Ignition Facility
7EF03B24	Information not present<--RF Pulse Formation in Nonlinear Transmission Lines
7D399F4A	Information not present<--THD and Power Losses Optimization by Means of Variable Frequency Space Vector Modulation
7CDC16E1	Information not present<--DOA estimation of multi-component LFM in complex environment using ESPRIT based on FRFT
788D4CD5	IEEE Communications Letters<--Downlink Outage Probability of Co-Channel Femtocells in Hierarchical 3-Sector Macrocells
7F370559	Information not present<--Uncooled 20 Gb/s direct modulation of high yield, highly reliable 1300 nm InGaAlAs ridge DFB lasers
7EED4695	Information not present<--Generation and transmission of high frequency radio signals through fiber links up to 125 km by means of the optical frequency multiplication technique
7C306A5F	IEEE Journal of Selected Topics in Quantum Electronics<--Rapidly Tunable Quantum Cascade Lasers
800A8249	IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control<--Designing Waveforms for Temporal Encoding Using a Frequency Sampling Method
790979EE	IEEE Transactions on Microwave Theory and Techniques<--Improvement of a Microwave Discriminator by an Injection Phase-Locked Oscillator
7762942B	IEEE Transactions on Geoscience and Remote Sensing<--Ultrawideband Gated Step Frequency Ground-Penetrating Radar
80E4F106	Information not present<--Operation and evaluation of the coordinated HVDC damping control system of China Southern Power Grid
7DA18F92	International Joint Conferences on Bioinformatics, Systems Biology and Intelligent Computing<--A Quadratic Time Algorithm for Computing the Quartet Distance between Two General Trees
7FD5A12E	International Conference on Computational Science and Its Applications<--Trajectory of a Baseball and Its Characters Under the Influence of a Drag Force and the Magnus Effect
7FC14F0D	Journal of The American Academy of Dermatology<--Clinical and histopathologic spectrum of alopecia mucinosa/follicular mucinosis and its natural history in children
76367D9D	Information not present<--Resolution of center frequency for LFM signals in fractional Fourier domain
75A48E0D	Information not present<--A review of various carrier based PWM methods for multilevel inverter
760BC05B	IEEE Transactions on Aerospace and Electronic Systems<--Discriminator Detection of Wide-Band PCM/FM
82F6EEA2	Information not present<--Energy consumption monitoring of the steam pipe network based on affinity propagation clustering
7C56617C	Symposium on Applied Computational Intelligence and Informatics<--On scaling properties of the dispersion diagram of a multi-scale printed surface embedded in a parallel-plate waveguide
7BC16C9B	Information not present<--Spectrum sensing and vector signal analysis preprocessing based on compressed sampling
7D5A3287	Information not present<--A 700uA, 405MHz fractional-N All digital frequency-locked loop for MICS band applications
791687CD	Information not present<--Frequency-modulated Source Broadening to Reduce Rayleigh Backscattering in Bidirectional Centralized Light Source WDM-PON Access Networks
7E868FC7	Structure<--Baseline restoration using current conveyors
106B2962	Information not present<--TELEMETRY FM/FM BASEBAND STRUCTURE STUDY. VOLUME 1
7F7688E1	Vehicular Technology Conference<--A differential FM detector for low-IF radios
7FB9637C	IEEE Transactions on Electron Devices<--A cyclotron-wave rectifier for S-band and X-band
7C385AF5	IEEE Transactions on Aerospace and Electronic Systems<--Adaptive Array Behavior with Sinusoidal Envelope Modulated Interference
76829BFA	Information not present<--Magnetic-free, fully integrated, compact microwave circulator using angular-momentum biasing
7E3CF831	International Symposium on Circuits and Systems<--An Undersampling Digital Microphone
10445DD5	Information not present<--NETWORK RESPONSE TO A FREQUENCY PULSE MODULATED WAVE
79643651	Radiophysics and Quantum Electronics<--Effect of nonsinusoidal phase modulation on the zero shift in a fiber ring interferometer
80FCDF87	Information not present<--Implementing IEEE 1641 - resource drivers & COTS languages
7F32B95A	IEEE Transactions on Antennas and Propagation<--A design of AM/FM mobile telephone triband antenna
59B4483F	Information not present<--Low Q body-dithered laser gyro assembly
7DB132FE	Information not present<--Harmonics reduction using multilevel inverter with SMES by OHPDPWM technique
62FB97D3	Information not present<--Polar Azimuth Diversity HF Propagation Experiment,
14242F07	Information not present<--Mode Locking of Coupled Transitions in Krypton Lasers.
7F5CD22D	Biometric Technology Today<--A PCMCIA weather satellite receiver
772E759D	Journal of Quantitative Spectroscopy & Radiative Transfer<--Experimental studies, line-shape analysis and semi-empirical calculations of broadening coefficients for CH 3 35 Cl–CO 2 submillimeter transitions
80CFDA63	Information not present<--An optimized ΔΣ modulator in fractional-N frequency synthesizer for UHF RFID reader
79E4CEB9	IEEE Microwave and Wireless Components Letters<--A 60 GHz 2.5 Gbps OOK Modulator with Data-Dependent Impedance Cell for Enhanced ON/OFF Isolation in 0.18 $\mu$ m BiCMOS Process
7711209C	The Journal of Pediatrics<--Language and Motor Skills Are Impaired in Infants with Biliary Atresia Before Transplantation
75FA2C48	IEEE Transactions on Broadcasting<--Optimum Pre-Emphasis Network for Satellite Transmission of an FM TV Signal near or at Threshold
810169A1	IEEE Transactions on Communications<--Frequency Locked Loop FM Demodulator
75AA47D5	IEEE Transactions on Industrial Informatics<--A Novel Absolute Value Logic SPWM Control Strategy Based on De-Re-Coupling Idea for High Frequency Link Matrix Rectifier
595030B6	Information not present<--Analysis of pitch-synchronous modulation effects by using analytic filters
7E69E987	American Control Conference<--Fundamental performance limitations of modulated and demodulated control systems
0011D126	Information not present<--FM/CW Radar Signals and Digital Processing
71F7213B	Information not present<--EL CEREBRO, 86 MIL MILLONES DE NEURONAS. EN ESTUDIO, SUS PROCESOS DE AUTORREPARACIÓN
7F188534	International Conference on Acoustics, Speech, and Signal Processing<--Signal-dependent error in specular multipath estimation
7D57FD95	Information not present<--Target Signal Extraction by Adaptive Signal Decomposition Methods
7CA45007	IEEE Transactions on Instrumentation and Measurement<--Synchrophasor Estimators Accuracy: A Comparative Analysis
5DFAEE26	Information not present<--Chaos-Based Generation of PWM-Like Signals for Low-EMI Induction Motor Drives : Analysis and Experimental Results
7D638AA5	Information not present<--Design and implementation of a wireless link coupled channel emulator for DSRC wireless systems
7774FEFF	Optics Letters<--BER performance of MSK in ground-to-satellite uplink optical communication under the influence of atmospheric turbulence and detector noise
7BC4CC64	Information not present<--Signal pre-processing method suitable for compressive sensing based on frequency modulation
7673D6A6	Information not present<--Carrier frequency offset estimation & compensation in AMC OFDM
79139F7D	Information not present<--A Novel Single Card FMCW Radar Transceiver With On Board Monopulse Processing
032D24A1	Information not present<--O2 Herzberg State Reaction with N2: A Possible Source of Stratospheric N2O
802CE039	Information not present<--Constant envelope OFDM for power-efficient radar and data communications
7F4325B1	Information not present<--The performance of a CPFSK trellis code in non-Gaussian noise
721C09E2	International Conference on Acoustics, Speech, and Signal Processing<--High-resolution spectral estimation: Rethinking the Fourier transform
81346E9A	Information not present<--A low-power and small-area all-digital spread-spectrum clock generator in 65nm CMOS technology
5A473E96	Epilepsy & Behavior<--Compression of periodic optical pulses without propagation in dispersive delay line
77DD9DBF	Information not present<--High efficiency resonance ionization mass spectrometric analysis by external laser cavity enhancement techniques
7E1C29AC	Information not present<--Distribution of 3 FM-HDTV and 10 satellite FM-NTSC signals and 622 Mb/s data over 10 km of fiber to 128 customers using a packaged traveling-wave laser amplifier
7D3DD382	Vehicular Technology Conference<--Evaluation of VHF FM, SSB, and ACSSB radio systems in the interference context of the land mobile bands
75995E28	IEEE Transactions on Instrumentation and Measurement<--Linear FM chirp filters in pulse compression radars
7856DEC3	Information not present<--A bank of virtual sensors for active Fault Tolerant Control of LPV systems
7E99AABF	IEEE Signal Processing Letters<--Generalized energy demodulation for large frequency deviations and wideband signals
7B205A19	Cognitive Brain Research<--Electrophysiological evidence implicates automatic low-level feature detectors in perceptual asymmetry
7751FE22	International Conference on Signal and Image Processing Applications<--Single channel time-varying amplitude LFM interference blind separation using MHMPSO particle filtering
5AFD9EF4	Information not present<--Transverse mode competition in index-antiguided planar waveguide lasers with large mode area
8083B6EA	Information not present<--A novel digital modulator for voltage source inverter with adaptive switching frequency selection
7BC779AD	Information not present<--Estimation of respiratory rhythm during night sleep using a bio-radar
7EDE2585	Vehicular Technology Conference<--Spectral pollution in TDMA: digital FM and P/4-QPSK experimental study and CAD improvement
840EE994	Information not present<--RADAR ANTICOLLISION WARNING SYSTEM FOR ROAD VEHICLES
7DB8DCCC	IEEE Transactions on Communications<--Squarewave frequency modulation techniques
6C44BE96	Information not present<--DISTINGUEN SEIS INVESTIGACIONES MULTIDISCIPLINARIAS
7EEDFD01	IEEE Transactions on Magnetics<--First-Principles Study of Magnetic Exchange Interactions of $3{\rm -D}$ Transition Mental Adatoms on Graphene
7EED5A93	IEEE Journal of Quantum Electronics<--Frequency and amplitude characteristics of a high repetition rate hybrid TEA-CO 2 laser
6E52EABD	Information not present<--Time-frequency analysis of frequency-coded signals
7F79D34C	IEEE Journal on Selected Areas in Communications<--Subcarrier multiplexing for lightwave networks and video distribution systems
7EE75A1F	Information not present<--Optimal control using the Fast Marching Method
74E28DC3	Information not present<--Modulation scheme for a TDM FMCWMIMO radar in the presence of motion
764ED761	Brain Research<--Altered auditory processing in a mouse model of fragile X syndrome
763DD5C0	Information not present<--Separation of HFM and NLFM signals for radar using fractional fourier transform
7F13CEEC	Information not present<--Performance evaluation of phasor measurement systems
7BC20465	Iee Proceedings F Communications, Radar and Signal Processing<--Zero-crossing-based approximate demodulation of wide-deviation FM
780CA042	Information not present<--An improved algorithm of multipath parameter estimation
812F652A	International Conference on Acoustics, Speech, and Signal Processing<--Spectral-envelope and group-delay models for transient signals—Applications to castanets and stop consonants
0507386C	Information not present<--11055 BIM・FM 連携の効果検証(BIM・生産,2013年度日本建築学会大会(北海道)学術講演会・建築デザイン発表会)
8120221A	Proceedings of The Institute of Radio Engineers<--Low Power Radio Transmitters for Broadcasting
101B5724	Information not present<--High Dispersive Acoustic Filter Study.
7AA97908	Information not present<--High-speed laser scanner with tunable scan rate, wavelength resolution and spectral coverage
5E3F9A24	Information not present<--DEVELOPMENT OF EXPECTED NOISE SPECTRA, SIREN PROGRAMMING TECHNIQUES, AND EXPERIMENT PLANS FOR THE ASD SONIC FATIGUE FACILITY.
7933EA10	Information not present<--Sensitive detection of molecular species by modulation techniques: a measure of information content in spectroscopy
7D2C7B62	IEEE Transactions on Microwave Theory and Techniques<--A K-band oscillator locked to the first water resonance
800D0983	Information not present<--Asymmetric Carrier Random PWM
8163E4B0	IEEE Journal on Selected Areas in Communications<--Design techniques for subcarrier multiplexed broadcast optical networks
5BF993B9	Information not present<--MUESTRA DE FOTOGRAFIA EXPERIMENTAL
5E557C58	Information not present<--Short-range FMCW monopulse radar for hand-gesture sensing
80703000	Proceedings of the IEEE<--Ultra-wide bandwidth laser communications: Part II&#8212;An operating laboratory system
586C4BB1	Information not present<--Targets detection for FMICW radar
7D34A441	Custom Integrated Circuits Conference<--A 3 GHz Spread Spectrum Clock Generator for SATA applications using chaotic PAM modulation
590715C9	Information not present<--Carrier recovery cirquit using a set of coupling oscillators
7A7EDC46	IEEE Photonics Technology Letters<--Reduction of fiber four-wave mixing influence using frequency modulation in multichannel IM/DD transmission
7ACE69F7	Information not present<--High level modelling and optimization of an MSK modulator with experimental design methodology
7F674463	Information not present<--Error bounds for estimating bandpassed FM signals
79A9281F	Foundations of Computer Science<--On tape Bounded probabilistic turing machine transducers
7F483E21	IEEE Transactions on Industrial Electronics<--Unified SPICE compatible model for large and small-signal envelope simulation of linear circuits excited by modulated signals
814003AF	IEEE Transactions on Industrial Electronics<--Three-Phase Cascaded Multilevel Inverter Using Power Cells With Two Inverter Legs in Series
7569ACBA	Information not present<--Design of charge pump with very low conducted emission controlling the majority carrier injection
76E397D6	Electronics Letters<--Efficient millimetre-wave signal generation through FM-IM conversion in dispersive optical fibre links
7A029674	Information not present<--SMOTE-Out, SMOTE-Cosine, and Selected-SMOTE: An enhancement strategy to handle imbalance in data level
5E112463	International Conference on Bioinformatics and Biomedical Engineering<--Notice of Retraction A Protective Effect of Calcium on Seawater Stress-Induced Oxidative Damage to Photosynthesis of Helianthus tuberosus Leaves
7E0809B9	Information not present<--Ultra-low-power sensor signal processing unit for implantable biosensor applications
7D91B636	IEEE Engineering in Medicine and Biology Magazine<--Clinical Uses of Biotelemetry
7B3B3558	Proceedings of The Institute of Radio Engineers<--Combination of Amplitude and Frequency Modulation for Communication in Seismograph Exploration for Petroleum Reservoirs
7AB1E0A2	IEEE Transactions on Consumer Electronics<--A Study On The Digitization Of Audio Signals For S-VHS VCR
80033CA5	Information not present<--Ultra-stable Mid-IR quantum cascade laser for high-resolution spectroscopy and metrology
797FA7EE	Information not present<--Very large, tunable, positive and negative group delay for high-bandwidth signals
7ECE43E6	IEEE Transactions on Image Processing<--Oriented texture completion by AM-FM reaction-diffusion
7CB8B328	Information not present<--Aural and photonic spectrum based digital pest controller for Oryza Sativa (rice)
7ED999C2	International Conference on Acoustics, Speech, and Signal Processing<--A sum-of-products model for effective coherent modulation filtering
7A725CEB	IEEE Journal of Quantum Electronics<--Passive demodulation of optical interferometric sensors
7F293EA1	Information not present<--Impact of optical fiber nonlinearities in WDM CATV lightwave systems
80CA89BD	Grid and Cooperative Computing<--A new generalized approach for performance evaluation of communication systems with intentional/non-intentional jamming
63688A98	Information not present<--Crosstalk analysis of a broadband data communications system
58701695	Information not present<--Digital Sound Synthesis for Multimedia Audio
75E1F99A	Information not present<--A cognitive radio application of OM-OFDM for implementation in DVB-T2
75E76570	Information not present<--Low Noise Figure Microwave Photonic Link
81579C3A	IEEE Transactions on Signal Processing<--Instantaneous frequency estimation of polynomial FM signals using the peak of the PWVD: statistical performance in the presence of additive gaussian noise
7D2F7A89	IEEE Transactions on Vehicular Technology<--Statistical properties of mobile-to-mobile land communication channels
7A7C5D52	Information not present<--Investigation of electrical base-band memory effects in high-power 20W LDMOS transistors using IF passive load pull
7E25180C	Information not present<--Chaos Synchronization Based on Phase-Locked Loops
7FC47C55	Custom Integrated Circuits Conference<--A fully integrated high performance FM stereo decoder
7F642563	Information not present<--Switch-mode power amplifier linearization
861E0274	Information not present<--CONGRESO DE ALUMNOS DE POSGRADO
70C6522E	Information not present<--A AM/FM single component signal reconstruction using a nonsequential time segmentation and polynomial modeling
5E297764	Information not present<--Performance of a coded hybrid spread spectrum communication system in the presence of partial band noise and multiple access interference
7E28E70D	IEEE Transactions on Power Electronics<--Acoustic Resonance Characterization of Low-Wattage Metal-Halide Lamps Under Low-Frequency Square-Waveform Operation
